  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
Number of "drawing" timesteps:    499
  exp. factor        a1             a2             a3         exp. ratio   
      0.408488    818.516081     50.122343     19.209311      4.084884
      0.410514    851.947726     50.747880     19.397853      4.105142
      0.412535    886.648715     51.374537     19.586458      4.125350
      0.414551    922.664018     52.002281     19.775123      4.145509
      0.416562    960.040088     52.631081     19.963847      4.165619
      0.418568    998.824901     53.260907     20.152627      4.185681
      0.420569   1039.068009     53.891728     20.341460      4.205694
      0.422566   1080.820579     54.523516     20.530346      4.225660
      0.424558   1124.135452     55.156244     20.719283      4.245579
      0.426545   1169.067183     55.789883     20.908267      4.265451
      0.428528   1215.672101     56.424408     21.097299      4.285277
      0.430506   1264.008356     57.059792     21.286376      4.305058
      0.432479   1314.135980     57.696011     21.475495      4.324793
      0.434448   1366.116934     58.333040     21.664657      4.344483
      0.436413   1420.015176     58.970856     21.853860      4.364128
      0.438373   1475.896712     59.609434     22.043101      4.383730
      0.440329   1533.829660     60.248754     22.232379      4.403287
      0.442280   1593.884312     60.888793     22.421694      4.422802
      0.444227   1656.133201     61.529530     22.611044      4.442273
      0.446170   1720.651161     62.170945     22.800428      4.461702
      0.448109   1787.515399     62.813018     22.989844      4.481089
      0.450043   1856.805564     63.455729     23.179291      4.500434
      0.451974   1928.603818     64.099059     23.368769      4.519737
      0.453900   2002.994906     64.742990     23.558275      4.538999
      0.455822   2080.066239     65.387505     23.747810      4.558220
      0.457740   2159.907964     66.032586     23.937372      4.577401
      0.459654   2242.613045     66.678216     24.126961      4.596542
      0.461564   2328.277347     67.324380     24.316574      4.615643
      0.463470   2416.999717     67.971061     24.506212      4.634705
      0.465373   2508.882073     68.618243     24.695874      4.653727
      0.467271   2604.029487     69.265913     24.885558      4.672711
      0.469166   2702.550280     69.914056     25.075264      4.691656
      0.471056   2804.556113     70.562658     25.264992      4.710563
      0.472943   2910.162083     71.211704     25.454740      4.729433
      0.474826   3019.486820     71.861182     25.644507      4.748264
      0.476706   3132.652587     72.511080     25.834294      4.767059
      0.478582   3249.785385     73.161384     26.024099      4.785816
      0.480454   3371.015056     73.812082     26.213922      4.804537
      0.482322   3496.475395     74.463163     26.403762      4.823221
      0.484187   3626.304256     75.114616     26.593618      4.841869
      0.486048   3760.643671     75.766429     26.783491      4.860481
      0.487906   3899.639966     76.418592     26.973379      4.879058
      0.489760   4043.443879     77.071094     27.163282      4.897600
      0.491611   4192.210685     77.723925     27.353199      4.916106
      0.493458   4346.100321     78.377076     27.543130      4.934578
      0.495301   4505.277518     79.030537     27.733075      4.953015
      0.497142   4669.911933     79.684298     27.923033      4.971418
      0.498979   4840.178284     80.338352     28.113003      4.989787
      0.500812   5016.256489     80.992688     28.302986      5.008122
      0.502642   5198.331815     81.647299     28.492980      5.026423
      0.504469   5386.595018     82.302177     28.682985      5.044692
      0.506293   5581.242498     82.957314     28.873002      5.062927
      0.508113   5782.476453     83.612701     29.063029      5.081130
      0.509930   5990.505036     84.268332     29.253066      5.099300
      0.511744   6205.542520     84.924200     29.443113      5.117438
      0.513554   6427.809462     85.580297     29.633170      5.135543
      0.515362   6657.532874     86.236617     29.823236      5.153617
      0.517166   6894.946402     86.893152     30.013311      5.171659
      0.518967   7140.290498     87.549897     30.203395      5.189670
      0.520765   7393.812613     88.206846     30.393487      5.207649
      0.522560   7655.767376     88.863992     30.583587      5.225598
      0.524352   7926.416795     89.521330     30.773695      5.243516
      0.526140   8206.030452     90.178853     30.963810      5.261403
      0.527926   8494.885702     90.836557     31.153933      5.279260
      0.529709   8793.267890     91.494436     31.344062      5.297086
      0.531488   9101.470554     92.152485     31.534199      5.314883
      0.533265   9419.795650     92.810699     31.724342      5.332650
      0.535039   9748.553774     93.469074     31.914492      5.350388
      0.536810  10088.064388     94.127603     32.104648      5.368096
      0.538577  10438.656060     94.786284     32.294809      5.385775
      0.540342  10800.666699     95.445111     32.484977      5.403425
      0.542105  11174.443807     96.104080     32.675150      5.421046
      0.543864  11560.344727     96.763187     32.865329      5.438639
      0.545620  11958.736901     97.422427     33.055512      5.456203
      0.547374  12369.998139     98.081798     33.245701      5.473739
      0.549125  12794.516886     98.741295     33.435895      5.491247
      0.550873  13232.692501     99.400915     33.626094      5.508727
      0.552618  13684.935543    100.060653     33.816297      5.526179
      0.554360  14151.668059    100.720507     34.006505      5.543604
      0.556100  14633.323884    101.380473     34.196717      5.561002
      0.557837  15130.348948    102.040548     34.386933      5.578372
      0.559572  15643.201584    102.700729     34.577153      5.595715
      0.561303  16172.352853    103.361012     34.767377      5.613032
      0.563032  16718.286869    104.021395     34.957605      5.630322
      0.564758  17281.501133    104.681874     35.147837      5.647585
      0.566482  17862.506883    105.342447     35.338072      5.664822
      0.568203  18461.829436    106.003112     35.528310      5.682033
      0.569922  19080.008558    106.663865     35.718552      5.699218
      0.571638  19717.598824    107.324704     35.908797      5.716376
      0.573351  20375.170000    107.985627     36.099045      5.733510
      0.575062  21053.307427    108.646630     36.289297      5.750617
      0.576770  21752.612419    109.307713     36.479551      5.767700
      0.578476  22473.702662    109.968872     36.669808      5.784756
      0.580179  23217.212633    110.630105     36.860068      5.801788
      0.581880  23983.794020    111.291410     37.050330      5.818795
      0.583578  24774.116158    111.952786     37.240595      5.835777
      0.585273  25588.866469    112.614229     37.430863      5.852735
      0.586967  26428.750920    113.275739     37.621133      5.869668
      0.588658  27294.494484    113.937313     37.811405      5.886576
      0.590346  28186.841616    114.598949     38.001680      5.903460
      0.592032  29106.556738    115.260646     38.191957      5.920320
      0.593716  30054.424739    115.922402     38.382236      5.937157
      0.595397  31031.251480    116.584215     38.572517      5.953969
      0.597076  32037.864316    117.246083     38.762800      5.970758
      0.598752  33075.112630    117.908006     38.953085      5.987523
      0.600426  34143.868374    118.569981     39.143372      6.004264
      0.602098  35245.026628    119.232007     39.333661      6.020982
      0.603768  36379.506169    119.894082     39.523951      6.037678
      0.605435  37548.250054    120.556206     39.714244      6.054350
      0.607100  38752.226214    121.218376     39.904538      6.070999
