  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.34828
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.391428      1.494767      1.639447      1.000000
      0.612781      0.104050      1.397276      1.495069      1.630682      1.040505
      0.648212      0.108024      1.402526      1.495337      1.622953      1.080236
      0.683643      0.111925      1.407265      1.495578      1.616088      1.119249
      0.719074      0.115759      1.411565      1.495796      1.609948      1.157594
      0.754505      0.119531      1.415484      1.495992      1.604426      1.195314
      0.789936      0.123245      1.419070      1.496172      1.599432      1.232448
      0.825367      0.126903      1.422365      1.496336      1.594893      1.269030
      0.860798      0.130509      1.425401      1.496486      1.590751      1.305093
      0.896229      0.134066      1.428209      1.496625      1.586955      1.340664
      0.931660      0.137577      1.430813      1.496753      1.583464      1.375769
      0.967091      0.141043      1.433235      1.496872      1.580243      1.410432
      1.002522      0.144467      1.435494      1.496982      1.577261      1.444674
      1.037953      0.147851      1.437604      1.497085      1.574493      1.478515
      1.073384      0.151197      1.439581      1.497181      1.571916      1.511973
      1.108815      0.154506      1.441436      1.497271      1.569511      1.545064
      1.144246      0.157781      1.443181      1.497355      1.567262      1.577805
      1.179677      0.161021      1.444824      1.497434      1.565155      1.610210
      1.215108      0.164229      1.446376      1.497509      1.563175      1.642292
      1.250539      0.167406      1.447842      1.497580      1.561312      1.674064
      1.285970      0.170554      1.449231      1.497646      1.559555      1.705537
      1.321401      0.173672      1.450547      1.497709      1.557897      1.736722
      1.356832      0.176763      1.451797      1.497769      1.556328      1.767629
      1.392263      0.179827      1.452985      1.497826      1.554842      1.798269
      1.427694      0.182865      1.454116      1.497879      1.553433      1.828650
      1.463125      0.185878      1.455194      1.497931      1.552094      1.858780
      1.498556      0.188867      1.456223      1.497980      1.550821      1.888669
      1.533987      0.191832      1.457205      1.498026      1.549608      1.918322
      1.569418      0.194775      1.458144      1.498071      1.548452      1.947749
      1.604849      0.197695      1.459043      1.498113      1.547348      1.976954
      1.640280      0.200595      1.459904      1.498154      1.546294      2.005945
      1.675711      0.203473      1.460729      1.498193      1.545286      2.034729
      1.711142      0.206331      1.461522      1.498230      1.544320      2.063310
      1.746573      0.209169      1.462283      1.498266      1.543395      2.091695
      1.782004      0.211989      1.463014      1.498301      1.542508      2.119888
      1.817435      0.214789      1.463718      1.498334      1.541656      2.147895
      1.852866      0.217572      1.464395      1.498366      1.540838      2.175721
      1.888297      0.220337      1.465048      1.498396      1.540051      2.203369
      1.923728      0.223085      1.465677      1.498426      1.539294      2.230846
      1.959159      0.225815      1.466283      1.498454      1.538565      2.258154
      1.994590      0.228530      1.466869      1.498482      1.537863      2.285298
      2.030021      0.231228      1.467435      1.498508      1.537186      2.312282
      2.065452      0.233911      1.467981      1.498534      1.536532      2.339109
      2.100883      0.236578      1.468510      1.498558      1.535901      2.365784
      2.136314      0.239231      1.469022      1.498582      1.535292      2.392308
      2.171745      0.241869      1.469517      1.498605      1.534703      2.418687
      2.207176      0.244492      1.469996      1.498628      1.534133      2.444922
      2.242607      0.247102      1.470461      1.498649      1.533582      2.471018
      2.278038      0.249698      1.470911      1.498670      1.533048      2.496976
      2.313469      0.252280      1.471348      1.498691      1.532531      2.522800
      2.348900      0.254849      1.471773      1.498710      1.532030      2.548493
      2.384331      0.257406      1.472184      1.498730      1.531544      2.574057
      2.419762      0.259949      1.472584      1.498748      1.531072      2.599494
      2.455193      0.262481      1.472973      1.498766      1.530615      2.624808
      2.490624      0.265000      1.473350      1.498784      1.530170      2.650000
      2.526055      0.267507      1.473717      1.498801      1.529739      2.675073
      2.561486      0.270003      1.474075      1.498817      1.529320      2.700029
      2.596917      0.272487      1.474422      1.498833      1.528912      2.724870
      2.632348      0.274960      1.474761      1.498849      1.528515      2.749599
      2.667779      0.277422      1.475090      1.498864      1.528129      2.774216
      2.703210      0.279873      1.475412      1.498879      1.527754      2.798725
      2.738641      0.282313      1.475725      1.498894      1.527388      2.823128
      2.774072      0.284742      1.476030      1.498908      1.527032      2.847425
      2.809503      0.287162      1.476327      1.498922      1.526685      2.871619
      2.844934      0.289571      1.476617      1.498935      1.526347      2.895711
      2.880365      0.291970      1.476901      1.498948      1.526017      2.919704
      2.915796      0.294360      1.477177      1.498961      1.525696      2.943598
      2.951227      0.296740      1.477447      1.498973      1.525382      2.967396
      2.986658      0.299110      1.477711      1.498986      1.525076      2.991099
      3.022089      0.301471      1.477968      1.498997      1.524777      3.014708
      3.057520      0.303823      1.478220      1.499009      1.524485      3.038225
      3.092951      0.306165      1.478466      1.499020      1.524200      3.061652
      3.128382      0.308499      1.478706      1.499031      1.523922      3.084989
      3.163813      0.310824      1.478941      1.499042      1.523650      3.108238
      3.199244      0.313140      1.479171      1.499053      1.523384      3.131401
      3.234675      0.315448      1.479396      1.499063      1.523124      3.154478
      3.270106      0.317747      1.479616      1.499073      1.522869      3.177471
      3.305537      0.320038      1.479832      1.499083      1.522620      3.200382
      3.340968      0.322321      1.480043      1.499093      1.522377      3.223210
      3.376399      0.324596      1.480250      1.499103      1.522139      3.245958
      3.411830      0.326863      1.480452      1.499112      1.521905      3.268627
      3.447261      0.329122      1.480650      1.499121      1.521677      3.291217
      3.482692      0.331373      1.480845      1.499130      1.521453      3.313730
      3.518123      0.333617      1.481035      1.499139      1.521234      3.336167
      3.553554      0.335853      1.481222      1.499147      1.521020      3.358529
      3.588985      0.338082      1.481405      1.499156      1.520809      3.380816
      3.624416      0.340303      1.481584      1.499164      1.520603      3.403030
      3.659847      0.342517      1.481761      1.499172      1.520401      3.425172
      3.695278      0.344724      1.481933      1.499180      1.520202      3.447243
      3.730709      0.346924      1.482103      1.499188      1.520008      3.469243
      3.766140      0.349117      1.482269      1.499195      1.519817      3.491173
      3.801571      0.351304      1.482433      1.499203      1.519630      3.513035
      3.837002      0.353483      1.482593      1.499210      1.519447      3.534829
      3.872433      0.355656      1.482750      1.499217      1.519266      3.556556
      3.907864      0.357822      1.482905      1.499225      1.519089      3.578217
      3.943295      0.359981      1.483057      1.499232      1.518916      3.599813
      3.978726      0.362134      1.483206      1.499238      1.518745      3.621344
      4.014157      0.364281      1.483353      1.499245      1.518578      3.642811
      4.049588      0.366422      1.483497      1.499252      1.518413      3.664215
      4.085019      0.368556      1.483638      1.499258      1.518252      3.685557
      4.120450      0.370684      1.483777      1.499265      1.518093      3.706837
      4.155881      0.372806      1.483914      1.499271      1.517937      3.728057
      4.191312      0.374922      1.484049      1.499277      1.517783      3.749216
      4.226743      0.377032      1.484181      1.499283      1.517632      3.770315
      4.262174      0.379136      1.484311      1.499289      1.517484      3.791356
      4.297605      0.381234      1.484439      1.499295      1.517338      3.812338
      4.333036      0.383326      1.484565      1.499301      1.517195      3.833263
      4.368467      0.385413      1.484689      1.499306      1.517054      3.854131
      4.403898      0.387494      1.484811      1.499312      1.516915      3.874942
      4.439329      0.389570      1.484931      1.499317      1.516779      3.895698
      4.474760      0.391640      1.485049      1.499323      1.516644      3.916399
      4.510191      0.393705      1.485165      1.499328      1.516512      3.937045
      4.545622      0.395764      1.485280      1.499333      1.516382      3.957637
      4.581053      0.397818      1.485393      1.499338      1.516254      3.978176
      4.616484      0.399866      1.485504      1.499344      1.516128      3.998662
      4.651915      0.401910      1.485613      1.499349      1.516004      4.019095
      4.687346      0.403948      1.485721      1.499353      1.515881      4.039477
      4.722777      0.405981      1.485827      1.499358      1.515761      4.059807
      4.758208      0.408009      1.485931      1.499363      1.515642      4.080087
      4.793639      0.410032      1.486034      1.499368      1.515526      4.100316
      4.829070      0.412050      1.486136      1.499372      1.515411      4.120495
      4.864501      0.414063      1.486236      1.499377      1.515297      4.140626
      4.899932      0.416071      1.486335      1.499382      1.515185      4.160707
      4.935363      0.418074      1.486432      1.499386      1.515075      4.180740
      4.970794      0.420073      1.486528      1.499390      1.514967      4.200725
      5.006225      0.422066      1.486622      1.499395      1.514860      4.220663
      5.041656      0.424055      1.486715      1.499399      1.514754      4.240554
      5.077087      0.426040      1.486807      1.499403      1.514650      4.260398
      5.112518      0.428020      1.486898      1.499407      1.514548      4.280196
      5.147949      0.429995      1.486987      1.499411      1.514447      4.299948
      5.183380      0.431966      1.487075      1.499415      1.514347      4.319656
      5.218811      0.433932      1.487162      1.499419      1.514249      4.339318
      5.254242      0.435894      1.487248      1.499423      1.514152      4.358936
      5.289673      0.437851      1.487333      1.499427      1.514056      4.378510
      5.325104      0.439804      1.487417      1.499431      1.513962      4.398040
      5.360535      0.441753      1.487499      1.499435      1.513869      4.417527
      5.395966      0.443697      1.487580      1.499438      1.513777      4.436971
      5.431397      0.445637      1.487661      1.499442      1.513686      4.456372
      5.466828      0.447573      1.487740      1.499446      1.513596      4.475732
      5.502259      0.449505      1.487818      1.499449      1.513508      4.495049
      5.537690      0.451433      1.487896      1.499453      1.513421      4.514325
      5.573121      0.453356      1.487972      1.499456      1.513335      4.533560
      5.608552      0.455275      1.488047      1.499460      1.513250      4.552755
      5.643983      0.457191      1.488122      1.499463      1.513166      4.571909
      5.679414      0.459102      1.488195      1.499466      1.513083      4.591023
      5.714845      0.461010      1.488268      1.499470      1.513001      4.610097
      5.750276      0.462913      1.488340      1.499473      1.512920      4.629132
      5.785707      0.464813      1.488411      1.499476      1.512841      4.648128
      5.821138      0.466708      1.488481      1.499479      1.512762      4.667085
      5.856569      0.468600      1.488550      1.499483      1.512684      4.686003
      5.892000      0.470488      1.488618      1.499486      1.512607      4.704884
      5.927431      0.472373      1.488686      1.499489      1.512531      4.723727
      5.962862      0.474253      1.488752      1.499492      1.512456      4.742532
