  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.40345
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.407446      1.515013      1.665613      1.000000
      0.612781      0.104050      1.412485      1.514137      1.655048      1.040505
      0.648212      0.108024      1.417004      1.513357      1.645750      1.080236
      0.683643      0.111925      1.421079      1.512659      1.637503      1.119249
      0.719074      0.115759      1.424772      1.512031      1.630140      1.157594
      0.754505      0.119531      1.428136      1.511461      1.623526      1.195314
      0.789936      0.123245      1.431211      1.510943      1.617551      1.232448
      0.825367      0.126903      1.434034      1.510470      1.612128      1.269030
      0.860798      0.130509      1.436635      1.510037      1.607183      1.305093
      0.896229      0.134066      1.439038      1.509637      1.602655      1.340664
      0.931660      0.137577      1.441266      1.509268      1.598495      1.375769
      0.967091      0.141043      1.443336      1.508927      1.594659      1.410432
      1.002522      0.144467      1.445266      1.508610      1.591110      1.444674
      1.037953      0.147851      1.447068      1.508314      1.587818      1.478515
      1.073384      0.151197      1.448756      1.508038      1.584755      1.511973
      1.108815      0.154506      1.450339      1.507780      1.581899      1.545064
      1.144246      0.157781      1.451827      1.507538      1.579229      1.577805
      1.179677      0.161021      1.453229      1.507310      1.576728      1.610210
      1.215108      0.164229      1.454552      1.507096      1.574380      1.642292
      1.250539      0.167406      1.455801      1.506894      1.572171      1.674064
      1.285970      0.170554      1.456984      1.506703      1.570090      1.705537
      1.321401      0.173672      1.458105      1.506523      1.568125      1.736722
      1.356832      0.176763      1.459170      1.506352      1.566267      1.767629
      1.392263      0.179827      1.460181      1.506190      1.564509      1.798269
      1.427694      0.182865      1.461144      1.506035      1.562841      1.828650
      1.463125      0.185878      1.462061      1.505889      1.561257      1.858780
      1.498556      0.188867      1.462936      1.505749      1.559751      1.888669
      1.533987      0.191832      1.463771      1.505616      1.558317      1.918322
      1.569418      0.194775      1.464570      1.505488      1.556950      1.947749
      1.604849      0.197695      1.465334      1.505367      1.555646      1.976954
      1.640280      0.200595      1.466066      1.505250      1.554401      2.005945
      1.675711      0.203473      1.466767      1.505139      1.553210      2.034729
      1.711142      0.206331      1.467440      1.505032      1.552070      2.063310
      1.746573      0.209169      1.468087      1.504930      1.550978      2.091695
      1.782004      0.211989      1.468708      1.504831      1.549930      2.119888
      1.817435      0.214789      1.469306      1.504737      1.548925      2.147895
      1.852866      0.217572      1.469881      1.504646      1.547960      2.175721
      1.888297      0.220337      1.470435      1.504559      1.547032      2.203369
      1.923728      0.223085      1.470969      1.504474      1.546139      2.230846
      1.959159      0.225815      1.471484      1.504393      1.545279      2.258154
      1.994590      0.228530      1.471981      1.504315      1.544451      2.285298
      2.030021      0.231228      1.472461      1.504240      1.543653      2.312282
      2.065452      0.233911      1.472925      1.504167      1.542882      2.339109
      2.100883      0.236578      1.473373      1.504096      1.542139      2.365784
      2.136314      0.239231      1.473807      1.504028      1.541421      2.392308
      2.171745      0.241869      1.474227      1.503962      1.540727      2.418687
      2.207176      0.244492      1.474634      1.503898      1.540055      2.444922
      2.242607      0.247102      1.475028      1.503837      1.539406      2.471018
      2.278038      0.249698      1.475410      1.503777      1.538777      2.496976
      2.313469      0.252280      1.475781      1.503719      1.538168      2.522800
      2.348900      0.254849      1.476140      1.503663      1.537578      2.548493
      2.384331      0.257406      1.476489      1.503608      1.537006      2.574057
      2.419762      0.259949      1.476828      1.503555      1.536451      2.599494
      2.455193      0.262481      1.477157      1.503504      1.535912      2.624808
      2.490624      0.265000      1.477477      1.503454      1.535389      2.650000
      2.526055      0.267507      1.477789      1.503405      1.534881      2.675073
      2.561486      0.270003      1.478091      1.503358      1.534388      2.700029
      2.596917      0.272487      1.478386      1.503312      1.533908      2.724870
      2.632348      0.274960      1.478673      1.503267      1.533441      2.749599
      2.667779      0.277422      1.478952      1.503224      1.532988      2.774216
