  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.65172
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.900000      0.800000      1.000000
      0.612781      0.104050      1.060531      0.959139      0.858369      1.040505
      0.648212      0.108024      1.121061      1.018278      0.916738      1.080236
      0.683643      0.111925      1.181592      1.077417      0.975107      1.119249
      0.719074      0.115759      1.242122      1.136556      1.033476      1.157594
      0.754505      0.119531      1.302653      1.195695      1.091845      1.195314
      0.789936      0.123245      1.363184      1.254834      1.150214      1.232448
      0.825367      0.126903      1.423714      1.313973      1.208583      1.269030
      0.860798      0.130509      1.484245      1.373112      1.266952      1.305093
      0.896229      0.134066      1.544775      1.432251      1.325321      1.340664
      0.931660      0.137577      1.605306      1.491390      1.383690      1.375769
      0.967091      0.141043      1.665836      1.550528      1.442059      1.410432
      1.002522      0.144467      1.726367      1.609667      1.500428      1.444674
      1.037953      0.147851      1.786898      1.668806      1.558798      1.478515
      1.073384      0.151197      1.847428      1.727945      1.617167      1.511973
      1.108815      0.154506      1.907959      1.787084      1.675536      1.545064
      1.144246      0.157781      1.968489      1.846223      1.733905      1.577805
      1.179677      0.161021      2.029020      1.905362      1.792274      1.610210
      1.215108      0.164229      2.089551      1.964501      1.850643      1.642292
      1.250539      0.167406      2.150081      2.023640      1.909012      1.674064
      1.285970      0.170554      2.210612      2.082779      1.967381      1.705537
      1.321401      0.173672      2.271142      2.141918      2.025750      1.736722
      1.356832      0.176763      2.331673      2.201057      2.084119      1.767629
      1.392263      0.179827      2.392204      2.260196      2.142488      1.798269
      1.427694      0.182865      2.452734      2.319335      2.200857      1.828650
      1.463125      0.185878      2.513265      2.378474      2.259226      1.858780
      1.498556      0.188867      2.573795      2.437613      2.317595      1.888669
      1.533987      0.191832      2.634326      2.496752      2.375964      1.918322
      1.569418      0.194775      2.694856      2.555891      2.434333      1.947749
      1.604849      0.197695      2.755387      2.615030      2.492702      1.976954
      1.640280      0.200595      2.815918      2.674169      2.551071      2.005945
      1.675711      0.203473      2.876448      2.733307      2.609440      2.034729
      1.711142      0.206331      2.936979      2.792446      2.667809      2.063310
      1.746573      0.209169      2.997509      2.851585      2.726178      2.091695
      1.782004      0.211989      3.058040      2.910724      2.784547      2.119888
      1.817435      0.214789      3.118571      2.969863      2.842916      2.147895
      1.852866      0.217572      3.179101      3.029002      2.901285      2.175721
      1.888297      0.220337      3.239632      3.088141      2.959654      2.203369
      1.923728      0.223085      3.300162      3.147280      3.018024      2.230846
      1.959159      0.225815      3.360693      3.206419      3.076393      2.258154
      1.994590      0.228530      3.421224      3.265558      3.134762      2.285298
      2.030021      0.231228      3.481754      3.324697      3.193131      2.312282
      2.065452      0.233911      3.542285      3.383836      3.251500      2.339109
      2.100883      0.236578      3.602815      3.442975      3.309869      2.365784
      2.136314      0.239231      3.663346      3.502114      3.368238      2.392308
      2.171745      0.241869      3.723876      3.561253      3.426607      2.418687
      2.207176      0.244492      3.784407      3.620392      3.484976      2.444922
      2.242607      0.247102      3.844938      3.679531      3.543345      2.471018
      2.278038      0.249698      3.905468      3.738670      3.601714      2.496976
      2.313469      0.252280      3.965999      3.797809      3.660083      2.522800
      2.348900      0.254849      4.026529      3.856948      3.718452      2.548493
      2.384331      0.257406      4.087060      3.916086      3.776821      2.574057
      2.419762      0.259949      4.147591      3.975225      3.835190      2.599494
      2.455193      0.262481      4.208121      4.034364      3.893559      2.624808
      2.490624      0.265000      4.268652      4.093503      3.951928      2.650000
      2.526055      0.267507      4.329182      4.152642      4.010297      2.675073
      2.561486      0.270003      4.389713      4.211781      4.068666      2.700029
      2.596917      0.272487      4.450243      4.270920      4.127035      2.724870
      2.632348      0.274960      4.510774      4.330059      4.185404      2.749599
      2.667779      0.277422      4.571305      4.389198      4.243773      2.774216
      2.703210      0.279873      4.631835      4.448337      4.302142      2.798725
      2.738641      0.282313      4.692366      4.507476      4.360511      2.823128
      2.774072      0.284742      4.752896      4.566615      4.418881      2.847425
      2.809503      0.287162      4.813427      4.625754      4.477250      2.871619
      2.844934      0.289571      4.873958      4.684893      4.535619      2.895711
      2.880365      0.291970      4.934488      4.744032      4.593988      2.919704
      2.915796      0.294360      4.995019      4.803171      4.652357      2.943598
      2.951227      0.296740      5.055549      4.862310      4.710726      2.967396
      2.986658      0.299110      5.116080      4.921449      4.769095      2.991099
      3.022089      0.301471      5.176611      4.980588      4.827464      3.014708
      3.057520      0.303823      5.237141      5.039727      4.885833      3.038225
      3.092951      0.306165      5.297672      5.098865      4.944202      3.061652
      3.128382      0.308499      5.358202      5.158004      5.002571      3.084989
      3.163813      0.310824      5.418733      5.217143      5.060940      3.108238
      3.199244      0.313140      5.479263      5.276282      5.119309      3.131401
      3.234675      0.315448      5.539794      5.335421      5.177678      3.154478
      3.270106      0.317747      5.600325      5.394560      5.236047      3.177471
      3.305537      0.320038      5.660855      5.453699      5.294416      3.200382
      3.340968      0.322321      5.721386      5.512838      5.352785      3.223210
      3.376399      0.324596      5.781916      5.571977      5.411154      3.245958
      3.411830      0.326863      5.842447      5.631116      5.469523      3.268627
      3.447261      0.329122      5.902978      5.690255      5.527892      3.291217
      3.482692      0.331373      5.963508      5.749394      5.586261      3.313730
      3.518123      0.333617      6.024039      5.808533      5.644630      3.336167
      3.553554      0.335853      6.084569      5.867672      5.702999      3.358529
      3.588985      0.338082      6.145100      5.926811      5.761368      3.380816
      3.624416      0.340303      6.205631      5.985950      5.819737      3.403030
      3.659847      0.342517      6.266161      6.045089      5.878107      3.425172
      3.695278      0.344724      6.326692      6.104228      5.936476      3.447243
      3.730709      0.346924      6.387222      6.163367      5.994845      3.469243
      3.766140      0.349117      6.447753      6.222506      6.053214      3.491173
      3.801571      0.351304      6.508283      6.281644      6.111583      3.513035
      3.837002      0.353483      6.568814      6.340783      6.169952      3.534829
      3.872433      0.355656      6.629345      6.399922      6.228321      3.556556
      3.907864      0.357822      6.689875      6.459061      6.286690      3.578217
      3.943295      0.359981      6.750406      6.518200      6.345059      3.599813
      3.978726      0.362134      6.810936      6.577339      6.403428      3.621344
      4.014157      0.364281      6.871467      6.636478      6.461797      3.642811
      4.049588      0.366422      6.931998      6.695617      6.520166      3.664215
      4.085019      0.368556      6.992528      6.754756      6.578535      3.685557
      4.120450      0.370684      7.053059      6.813895      6.636904      3.706837
      4.155881      0.372806      7.113589      6.873034      6.695273      3.728057
      4.191312      0.374922      7.174120      6.932173      6.753642      3.749216
      4.226743      0.377032      7.234651      6.991312      6.812011      3.770315
      4.262174      0.379136      7.295181      7.050451      6.870380      3.791356
      4.297605      0.381234      7.355712      7.109590      6.928749      3.812338
      4.333036      0.383326      7.416242      7.168729      6.987118      3.833263
      4.368467      0.385413      7.476773      7.227868      7.045487      3.854131
      4.403898      0.387494      7.537303      7.287007      7.103856      3.874942
      4.439329      0.389570      7.597834      7.346146      7.162225      3.895698
      4.474760      0.391640      7.658365      7.405285      7.220594      3.916399
      4.510191      0.393705      7.718895      7.464423      7.278963      3.937045
