  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.34828
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.900000      0.800000      1.000000
      0.612781      0.104050      1.056926      0.955039      0.853659      1.040505
      0.648212      0.108024      1.113853      1.010078      0.907317      1.080236
      0.683643      0.111925      1.170779      1.065116      0.960976      1.119249
      0.719074      0.115759      1.227705      1.120155      1.014635      1.157594
      0.754505      0.119531      1.284632      1.175194      1.068293      1.195314
      0.789936      0.123245      1.341558      1.230233      1.121952      1.232448
      0.825367      0.126903      1.398485      1.285271      1.175611      1.269030
      0.860798      0.130509      1.455411      1.340310      1.229270      1.305093
      0.896229      0.134066      1.512337      1.395349      1.282928      1.340664
      0.931660      0.137577      1.569264      1.450388      1.336587      1.375769
      0.967091      0.141043      1.626190      1.505427      1.390246      1.410432
      1.002522      0.144467      1.683116      1.560465      1.443904      1.444674
      1.037953      0.147851      1.740043      1.615504      1.497563      1.478515
      1.073384      0.151197      1.796969      1.670543      1.551222      1.511973
      1.108815      0.154506      1.853896      1.725582      1.604880      1.545064
      1.144246      0.157781      1.910822      1.780620      1.658539      1.577805
      1.179677      0.161021      1.967748      1.835659      1.712198      1.610210
      1.215108      0.164229      2.024675      1.890698      1.765856      1.642292
      1.250539      0.167406      2.081601      1.945737      1.819515      1.674064
      1.285970      0.170554      2.138527      2.000776      1.873174      1.705537
      1.321401      0.173672      2.195454      2.055814      1.926833      1.736722
      1.356832      0.176763      2.252380      2.110853      1.980491      1.767629
      1.392263      0.179827      2.309307      2.165892      2.034150      1.798269
      1.427694      0.182865      2.366233      2.220931      2.087809      1.828650
      1.463125      0.185878      2.423159      2.275969      2.141467      1.858780
      1.498556      0.188867      2.480086      2.331008      2.195126      1.888669
      1.533987      0.191832      2.537012      2.386047      2.248785      1.918322
      1.569418      0.194775      2.593938      2.441086      2.302443      1.947749
      1.604849      0.197695      2.650865      2.496125      2.356102      1.976954
      1.640280      0.200595      2.707791      2.551163      2.409761      2.005945
      1.675711      0.203473      2.764718      2.606202      2.463419      2.034729
      1.711142      0.206331      2.821644      2.661241      2.517078      2.063310
      1.746573      0.209169      2.878570      2.716280      2.570737      2.091695
      1.782004      0.211989      2.935497      2.771318      2.624396      2.119888
      1.817435      0.214789      2.992423      2.826357      2.678054      2.147895
      1.852866      0.217572      3.049349      2.881396      2.731713      2.175721
      1.888297      0.220337      3.106276      2.936435      2.785372      2.203369
      1.923728      0.223085      3.163202      2.991474      2.839030      2.230846
      1.959159      0.225815      3.220129      3.046512      2.892689      2.258154
      1.994590      0.228530      3.277055      3.101551      2.946348      2.285298
      2.030021      0.231228      3.333981      3.156590      3.000006      2.312282
      2.065452      0.233911      3.390908      3.211629      3.053665      2.339109
      2.100883      0.236578      3.447834      3.266668      3.107324      2.365784
      2.136314      0.239231      3.504760      3.321706      3.160982      2.392308
      2.171745      0.241869      3.561687      3.376745      3.214641      2.418687
      2.207176      0.244492      3.618613      3.431784      3.268300      2.444922
      2.242607      0.247102      3.675540      3.486823      3.321959      2.471018
      2.278038      0.249698      3.732466      3.541861      3.375617      2.496976
      2.313469      0.252280      3.789392      3.596900      3.429276      2.522800
      2.348900      0.254849      3.846319      3.651939      3.482935      2.548493
      2.384331      0.257406      3.903245      3.706978      3.536593      2.574057
      2.419762      0.259949      3.960171      3.762017      3.590252      2.599494
      2.455193      0.262481      4.017098      3.817055      3.643911      2.624808
      2.490624      0.265000      4.074024      3.872094      3.697569      2.650000
      2.526055      0.267507      4.130951      3.927133      3.751228      2.675073
      2.561486      0.270003      4.187877      3.982172      3.804887      2.700029
      2.596917      0.272487      4.244803      4.037210      3.858545      2.724870
      2.632348      0.274960      4.301730      4.092249      3.912204      2.749599
      2.667779      0.277422      4.358656      4.147288      3.965863      2.774216
      2.703210      0.279873      4.415582      4.202327      4.019521      2.798725
      2.738641      0.282313      4.472509      4.257366      4.073180      2.823128
      2.774072      0.284742      4.529435      4.312404      4.126839      2.847425
      2.809503      0.287162      4.586362      4.367443      4.180498      2.871619
      2.844934      0.289571      4.643288      4.422482      4.234156      2.895711
      2.880365      0.291970      4.700214      4.477521      4.287815      2.919704
      2.915796      0.294360      4.757141      4.532559      4.341474      2.943598
      2.951227      0.296740      4.814067      4.587598      4.395132      2.967396
      2.986658      0.299110      4.870993      4.642637      4.448791      2.991099
      3.022089      0.301471      4.927920      4.697676      4.502450      3.014708
      3.057520      0.303823      4.984846      4.752715      4.556108      3.038225
      3.092951      0.306165      5.041772      4.807753      4.609767      3.061652
      3.128382      0.308499      5.098699      4.862792      4.663426      3.084989
      3.163813      0.310824      5.155625      4.917831      4.717084      3.108238
      3.199244      0.313140      5.212552      4.972870      4.770743      3.131401
      3.234675      0.315448      5.269478      5.027908      4.824402      3.154478
      3.270106      0.317747      5.326404      5.082947      4.878061      3.177471
      3.305537      0.320038      5.383331      5.137986      4.931719      3.200382
      3.340968      0.322321      5.440257      5.193025      4.985378      3.223210
      3.376399      0.324596      5.497183      5.248064      5.039037      3.245958
      3.411830      0.326863      5.554110      5.303102      5.092695      3.268627
      3.447261      0.329122      5.611036      5.358141      5.146354      3.291217
      3.482692      0.331373      5.667963      5.413180      5.200013      3.313730
      3.518123      0.333617      5.724889      5.468219      5.253671      3.336167
      3.553554      0.335853      5.781815      5.523257      5.307330      3.358529
      3.588985      0.338082      5.838742      5.578296      5.360989      3.380816
      3.624416      0.340303      5.895668      5.633335      5.414647      3.403030
      3.659847      0.342517      5.952594      5.688374      5.468306      3.425172
      3.695278      0.344724      6.009521      5.743413      5.521965      3.447243
      3.730709      0.346924      6.066447      5.798451      5.575624      3.469243
      3.766140      0.349117      6.123374      5.853490      5.629282      3.491173
      3.801571      0.351304      6.180300      5.908529      5.682941      3.513035
      3.837002      0.353483      6.237226      5.963568      5.736600      3.534829
      3.872433      0.355656      6.294153      6.018606      5.790258      3.556556
      3.907864      0.357822      6.351079      6.073645      5.843917      3.578217
      3.943295      0.359981      6.408005      6.128684      5.897576      3.599813
      3.978726      0.362134      6.464932      6.183723      5.951234      3.621344
      4.014157      0.364281      6.521858      6.238762      6.004893      3.642811
      4.049588      0.366422      6.578785      6.293800      6.058552      3.664215
      4.085019      0.368556      6.635711      6.348839      6.112210      3.685557
      4.120450      0.370684      6.692637      6.403878      6.165869      3.706837
      4.155881      0.372806      6.749564      6.458917      6.219528      3.728057
      4.191312      0.374922      6.806490      6.513955      6.273187      3.749216
      4.226743      0.377032      6.863416      6.568994      6.326845      3.770315
      4.262174      0.379136      6.920343      6.624033      6.380504      3.791356
      4.297605      0.381234      6.977269      6.679072      6.434163      3.812338
      4.333036      0.383326      7.034196      6.734111      6.487821      3.833263
      4.368467      0.385413      7.091122      6.789149      6.541480      3.854131
      4.403898      0.387494      7.148048      6.844188      6.595139      3.874942
