  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.51379
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.900000      0.800000      1.000000
      0.612781      0.104050      1.058892      0.957275      0.856228      1.040505
      0.648212      0.108024      1.117785      1.014550      0.912456      1.080236
      0.683643      0.111925      1.176677      1.071826      0.968684      1.119249
      0.719074      0.115759      1.235569      1.129101      1.024912      1.157594
      0.754505      0.119531      1.294462      1.186376      1.081140      1.195314
      0.789936      0.123245      1.353354      1.243651      1.137368      1.232448
      0.825367      0.126903      1.412246      1.300927      1.193596      1.269030
      0.860798      0.130509      1.471138      1.358202      1.249824      1.305093
      0.896229      0.134066      1.530031      1.415477      1.306052      1.340664
      0.931660      0.137577      1.588923      1.472752      1.362280      1.375769
      0.967091      0.141043      1.647815      1.530028      1.418508      1.410432
      1.002522      0.144467      1.706708      1.587303      1.474736      1.444674
      1.037953      0.147851      1.765600      1.644578      1.530964      1.478515
      1.073384      0.151197      1.824492      1.701853      1.587192      1.511973
      1.108815      0.154506      1.883385      1.759129      1.643420      1.545064
      1.144246      0.157781      1.942277      1.816404      1.699648      1.577805
      1.179677      0.161021      2.001169      1.873679      1.755876      1.610210
      1.215108      0.164229      2.060062      1.930954      1.812104      1.642292
      1.250539      0.167406      2.118954      1.988229      1.868331      1.674064
      1.285970      0.170554      2.177846      2.045505      1.924559      1.705537
      1.321401      0.173672      2.236738      2.102780      1.980787      1.736722
      1.356832      0.176763      2.295631      2.160055      2.037015      1.767629
      1.392263      0.179827      2.354523      2.217330      2.093243      1.798269
      1.427694      0.182865      2.413415      2.274606      2.149471      1.828650
      1.463125      0.185878      2.472308      2.331881      2.205699      1.858780
      1.498556      0.188867      2.531200      2.389156      2.261927      1.888669
      1.533987      0.191832      2.590092      2.446431      2.318155      1.918322
      1.569418      0.194775      2.648985      2.503707      2.374383      1.947749
      1.604849      0.197695      2.707877      2.560982      2.430611      1.976954
      1.640280      0.200595      2.766769      2.618257      2.486839      2.005945
      1.675711      0.203473      2.825662      2.675532      2.543067      2.034729
      1.711142      0.206331      2.884554      2.732808      2.599295      2.063310
      1.746573      0.209169      2.943446      2.790083      2.655523      2.091695
      1.782004      0.211989      3.002338      2.847358      2.711751      2.119888
      1.817435      0.214789      3.061231      2.904633      2.767979      2.147895
      1.852866      0.217572      3.120123      2.961909      2.824207      2.175721
      1.888297      0.220337      3.179015      3.019184      2.880435      2.203369
      1.923728      0.223085      3.237908      3.076459      2.936663      2.230846
      1.959159      0.225815      3.296800      3.133734      2.992891      2.258154
      1.994590      0.228530      3.355692      3.191009      3.049119      2.285298
      2.030021      0.231228      3.414585      3.248285      3.105347      2.312282
      2.065452      0.233911      3.473477      3.305560      3.161575      2.339109
      2.100883      0.236578      3.532369      3.362835      3.217803      2.365784
      2.136314      0.239231      3.591262      3.420110      3.274031      2.392308
      2.171745      0.241869      3.650154      3.477386      3.330259      2.418687
      2.207176      0.244492      3.709046      3.534661      3.386487      2.444922
      2.242607      0.247102      3.767938      3.591936      3.442715      2.471018
      2.278038      0.249698      3.826831      3.649211      3.498943      2.496976
      2.313469      0.252280      3.885723      3.706487      3.555171      2.522800
      2.348900      0.254849      3.944615      3.763762      3.611399      2.548493
      2.384331      0.257406      4.003508      3.821037      3.667627      2.574057
      2.419762      0.259949      4.062400      3.878312      3.723855      2.599494
      2.455193      0.262481      4.121292      3.935588      3.780083      2.624808
      2.490624      0.265000      4.180185      3.992863      3.836311      2.650000
      2.526055      0.267507      4.239077      4.050138      3.892539      2.675073
      2.561486      0.270003      4.297969      4.107413      3.948766      2.700029
      2.596917      0.272487      4.356862      4.164688      4.004994      2.724870
      2.632348      0.274960      4.415754      4.221964      4.061222      2.749599
      2.667779      0.277422      4.474646      4.279239      4.117450      2.774216
      2.703210      0.279873      4.533539      4.336514      4.173678      2.798725
      2.738641      0.282313      4.592431      4.393789      4.229906      2.823128
      2.774072      0.284742      4.651323      4.451065      4.286134      2.847425
      2.809503      0.287162      4.710215      4.508340      4.342362      2.871619
      2.844934      0.289571      4.769108      4.565615      4.398590      2.895711
      2.880365      0.291970      4.828000      4.622890      4.454818      2.919704
      2.915796      0.294360      4.886892      4.680166      4.511046      2.943598
      2.951227      0.296740      4.945785      4.737441      4.567274      2.967396
      2.986658      0.299110      5.004677      4.794716      4.623502      2.991099
      3.022089      0.301471      5.063569      4.851991      4.679730      3.014708
      3.057520      0.303823      5.122462      4.909267      4.735958      3.038225
      3.092951      0.306165      5.181354      4.966542      4.792186      3.061652
      3.128382      0.308499      5.240246      5.023817      4.848414      3.084989
      3.163813      0.310824      5.299139      5.081092      4.904642      3.108238
      3.199244      0.313140      5.358031      5.138367      4.960870      3.131401
      3.234675      0.315448      5.416923      5.195643      5.017098      3.154478
      3.270106      0.317747      5.475815      5.252918      5.073326      3.177471
      3.305537      0.320038      5.534708      5.310193      5.129554      3.200382
      3.340968      0.322321      5.593600      5.367468      5.185782      3.223210
      3.376399      0.324596      5.652492      5.424744      5.242010      3.245958
      3.411830      0.326863      5.711385      5.482019      5.298238      3.268627
      3.447261      0.329122      5.770277      5.539294      5.354466      3.291217
      3.482692      0.331373      5.829169      5.596569      5.410694      3.313730
      3.518123      0.333617      5.888062      5.653845      5.466922      3.336167
      3.553554      0.335853      5.946954      5.711120      5.523150      3.358529
      3.588985      0.338082      6.005846      5.768395      5.579378      3.380816
      3.624416      0.340303      6.064739      5.825670      5.635606      3.403030
      3.659847      0.342517      6.123631      5.882946      5.691834      3.425172
      3.695278      0.344724      6.182523      5.940221      5.748062      3.447243
      3.730709      0.346924      6.241415      5.997496      5.804290      3.469243
      3.766140      0.349117      6.300308      6.054771      5.860518      3.491173
      3.801571      0.351304      6.359200      6.112047      5.916746      3.513035
      3.837002      0.353483      6.418092      6.169322      5.972973      3.534829
      3.872433      0.355656      6.476985      6.226597      6.029201      3.556556
      3.907864      0.357822      6.535877      6.283872      6.085429      3.578217
      3.943295      0.359981      6.594769      6.341147      6.141657      3.599813
      3.978726      0.362134      6.653662      6.398423      6.197885      3.621344
      4.014157      0.364281      6.712554      6.455698      6.254113      3.642811
      4.049588      0.366422      6.771446      6.512973      6.310341      3.664215
      4.085019      0.368556      6.830339      6.570248      6.366569      3.685557
      4.120450      0.370684      6.889231      6.627524      6.422797      3.706837
      4.155881      0.372806      6.948123      6.684799      6.479025      3.728057
      4.191312      0.374922      7.007015      6.742074      6.535253      3.749216
      4.226743      0.377032      7.065908      6.799349      6.591481      3.770315
      4.262174      0.379136      7.124800      6.856625      6.647709      3.791356
      4.297605      0.381234      7.183692      6.913900      6.703937      3.812338
      4.333036      0.383326      7.242585      6.971175      6.760165      3.833263
      4.368467      0.385413      7.301477      7.028450      6.816393      3.854131
      4.403898      0.387494      7.360369      7.085726      6.872621      3.874942
      4.439329      0.389570      7.419262      7.143001      6.928849      3.895698
      4.474760      0.391640      7.478154      7.200276      6.985077      3.916399
      4.510191      0.393705      7.537046      7.257551      7.041305      3.937045
      4.545622      0.395764      7.595939      7.314826      7.097533      3.957637
      4.581053      0.397818      7.654831      7.372102      7.153761      3.978176
      4.616484      0.399866      7.713723      7.429377      7.209989      3.998662
      4.651915      0.401910      7.772615      7.486652      7.266217      4.019095
      4.687346      0.403948      7.831508      7.543927      7.322445      4.039477
      4.722777      0.405981      7.890400      7.601203      7.378673      4.059807
      4.758208      0.408009      7.949292      7.658478      7.434901      4.080087
      4.793639      0.410032      8.008185      7.715753      7.491129      4.100316
      4.829070      0.412050      8.067077      7.773028      7.547357      4.120495
      4.864501      0.414063      8.125969      7.830304      7.603585      4.140626
      4.899932      0.416071      8.184862      7.887579      7.659813      4.160707
      4.935363      0.418074      8.243754      7.944854      7.716041      4.180740
      4.970794      0.420073      8.302646      8.002129      7.772269      4.200725
      5.006225      0.422066      8.361539      8.059405      7.828497      4.220663
      5.041656      0.424055      8.420431      8.116680      7.884725      4.240554
      5.077087      0.426040      8.479323      8.173955      7.940953      4.260398
      5.112518      0.428020      8.538215      8.231230      7.997181      4.280196
      5.147949      0.429995      8.597108      8.288505      8.053408      4.299948
      5.183380      0.431966      8.656000      8.345781      8.109636      4.319656
      5.218811      0.433932      8.714892      8.403056      8.165864      4.339318
      5.254242      0.435894      8.773785      8.460331      8.222092      4.358936
      5.289673      0.437851      8.832677      8.517606      8.278320      4.378510
      5.325104      0.439804      8.891569      8.574882      8.334548      4.398040
      5.360535      0.441753      8.950462      8.632157      8.390776      4.417527
      5.395966      0.443697      9.009354      8.689432      8.447004      4.436971
      5.431397      0.445637      9.068246      8.746707      8.503232      4.456372
      5.466828      0.447573      9.127139      8.803983      8.559460      4.475732
      5.502259      0.449505      9.186031      8.861258      8.615688      4.495049
      5.537690      0.451433      9.244923      8.918533      8.671916      4.514325
      5.573121      0.453356      9.303815      8.975808      8.728144      4.533560
      5.608552      0.455275      9.362708      9.033084      8.784372      4.552755
      5.643983      0.457191      9.421600      9.090359      8.840600      4.571909
      5.679414      0.459102      9.480492      9.147634      8.896828      4.591023
      5.714845      0.461010      9.539385      9.204909      8.953056      4.610097
      5.750276      0.462913      9.598277      9.262185      9.009284      4.629132
      5.785707      0.464813      9.657169      9.319460      9.065512      4.648128
      5.821138      0.466708      9.716062      9.376735      9.121740      4.667085
      5.856569      0.468600      9.774954      9.434010      9.177968      4.686003
      5.892000      0.470488      9.833846      9.491285      9.234196      4.704884
      5.927431      0.472373      9.892739      9.548561      9.290424      4.723727
      5.962862      0.474253      9.951631      9.605836      9.346652      4.742532
      5.998293      0.476130     10.010523      9.663111      9.402880      4.761300
      6.033724      0.478003     10.069415      9.720386      9.459108      4.780031
      6.069155      0.479873     10.128308      9.777662      9.515336      4.798725
      6.104586      0.481738     10.187200      9.834937      9.571564      4.817384
      6.140017      0.483601     10.246092      9.892212      9.627792      4.836006
      6.175448      0.485459     10.304985      9.949487      9.684020      4.854592
      6.210879      0.487314     10.363877     10.006763      9.740248      4.873143
      6.246310      0.489166     10.422769     10.064038      9.796476      4.891658
      6.281741      0.491014     10.481662     10.121313      9.852704      4.910139
      6.317172      0.492858     10.540554     10.178588      9.908932      4.928585
      6.352603      0.494700     10.599446     10.235864      9.965160      4.946996
      6.388034      0.496537     10.658339     10.293139     10.021388      4.965373
      6.423465      0.498372     10.717231     10.350414     10.077616      4.983716
      6.458896      0.500203     10.776123     10.407689     10.133843      5.002026
      6.494327      0.502030     10.835015     10.464964     10.190071      5.020302
      6.529758      0.503855     10.893908     10.522240     10.246299      5.038545
      6.565189      0.505675     10.952800     10.579515     10.302527      5.056755
