  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.51379
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.439481      1.555506      1.717947      1.000000
      0.612781      0.104050      1.442847      1.552185      1.703634      1.040505
      0.648212      0.108024      1.445858      1.549239      1.691086      1.080236
      0.683643      0.111925      1.448568      1.546608      1.679994      1.119249
      0.719074      0.115759      1.451019      1.544243      1.670119      1.157594
      0.754505      0.119531      1.453247      1.542107      1.661272      1.195314
      0.789936      0.123245      1.455282      1.540168      1.653299      1.232448
      0.825367      0.126903      1.457147      1.538400      1.646077      1.269030
      0.860798      0.130509      1.458862      1.536780      1.639506      1.305093
      0.896229      0.134066      1.460446      1.535292      1.633500      1.340664
      0.931660      0.137577      1.461912      1.533920      1.627989      1.375769
      0.967091      0.141043      1.463273      1.532650      1.622916      1.410432
      1.002522      0.144467      1.464540      1.531472      1.618230      1.444674
      1.037953      0.147851      1.465723      1.530376      1.613887      1.478515
      1.073384      0.151197      1.466829      1.529353      1.609853      1.511973
      1.108815      0.154506      1.467867      1.528398      1.606094      1.545064
      1.144246      0.157781      1.468841      1.527502      1.602584      1.577805
      1.179677      0.161021      1.469758      1.526662      1.599299      1.610210
      1.215108      0.164229      1.470623      1.525871      1.596218      1.642292
      1.250539      0.167406      1.471439      1.525125      1.593322      1.674064
      1.285970      0.170554      1.472211      1.524422      1.590596      1.705537
      1.321401      0.173672      1.472943      1.523757      1.588024      1.736722
      1.356832      0.176763      1.473637      1.523127      1.585595      1.767629
      1.392263      0.179827      1.474297      1.522529      1.583295      1.798269
      1.427694      0.182865      1.474924      1.521962      1.581116      1.828650
      1.463125      0.185878      1.475521      1.521423      1.579049      1.858780
      1.498556      0.188867      1.476091      1.520909      1.577084      1.888669
      1.533987      0.191832      1.476634      1.520420      1.575214      1.918322
      1.569418      0.194775      1.477154      1.519952      1.573433      1.947749
      1.604849      0.197695      1.477651      1.519506      1.571734      1.976954
      1.640280      0.200595      1.478126      1.519080      1.570112      2.005945
      1.675711      0.203473      1.478582      1.518671      1.568562      2.034729
      1.711142      0.206331      1.479019      1.518280      1.567079      2.063310
      1.746573      0.209169      1.479439      1.517905      1.565658      2.091695
      1.782004      0.211989      1.479843      1.517544      1.564297      2.119888
      1.817435      0.214789      1.480230      1.517198      1.562991      2.147895
      1.852866      0.217572      1.480604      1.516866      1.561737      2.175721
      1.888297      0.220337      1.480963      1.516546      1.560532      2.203369
      1.923728      0.223085      1.481309      1.516238      1.559373      2.230846
      1.959159      0.225815      1.481643      1.515941      1.558257      2.258154
