  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.43103
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.900000      0.800000      1.000000
      0.612781      0.104050      1.057909      0.956157      0.854943      1.040505
      0.648212      0.108024      1.115819      1.012314      0.909887      1.080236
      0.683643      0.111925      1.173728      1.068471      0.964830      1.119249
      0.719074      0.115759      1.231637      1.124628      1.019773      1.157594
      0.754505      0.119531      1.289547      1.180785      1.074717      1.195314
      0.789936      0.123245      1.347456      1.236942      1.129660      1.232448
      0.825367      0.126903      1.405365      1.293099      1.184603      1.269030
      0.860798      0.130509      1.463275      1.349256      1.239547      1.305093
      0.896229      0.134066      1.521184      1.405413      1.294490      1.340664
      0.931660      0.137577      1.579093      1.461570      1.349433      1.375769
      0.967091      0.141043      1.637003      1.517727      1.404377      1.410432
      1.002522      0.144467      1.694912      1.573884      1.459320      1.444674
      1.037953      0.147851      1.752821      1.630041      1.514263      1.478515
      1.073384      0.151197      1.810731      1.686198      1.569207      1.511973
      1.108815      0.154506      1.868640      1.742355      1.624150      1.545064
      1.144246      0.157781      1.926549      1.798512      1.679093      1.577805
      1.179677      0.161021      1.984459      1.854669      1.734037      1.610210
      1.215108      0.164229      2.042368      1.910826      1.788980      1.642292
      1.250539      0.167406      2.100277      1.966983      1.843923      1.674064
      1.285970      0.170554      2.158187      2.023140      1.898867      1.705537
      1.321401      0.173672      2.216096      2.079297      1.953810      1.736722
      1.356832      0.176763      2.274005      2.135454      2.008753      1.767629
      1.392263      0.179827      2.331915      2.191611      2.063697      1.798269
      1.427694      0.182865      2.389824      2.247768      2.118640      1.828650
      1.463125      0.185878      2.447734      2.303925      2.173583      1.858780
      1.498556      0.188867      2.505643      2.360082      2.228527      1.888669
      1.533987      0.191832      2.563552      2.416239      2.283470      1.918322
      1.569418      0.194775      2.621462      2.472396      2.338413      1.947749
      1.604849      0.197695      2.679371      2.528553      2.393357      1.976954
      1.640280      0.200595      2.737280      2.584710      2.448300      2.005945
      1.675711      0.203473      2.795190      2.640867      2.503243      2.034729
      1.711142      0.206331      2.853099      2.697024      2.558187      2.063310
      1.746573      0.209169      2.911008      2.753181      2.613130      2.091695
