  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.29310
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.375411      1.474521      1.613280      1.000000
      0.612781      0.104050      1.382048      1.475970      1.606266      1.040505
      0.648212      0.108024      1.388014      1.477264      1.600070      1.080236
      0.683643      0.111925      1.393405      1.478425      1.594557      1.119249
      0.719074      0.115759      1.398301      1.479474      1.589620      1.157594
      0.754505      0.119531      1.402767      1.480425      1.585172      1.195314
      0.789936      0.123245      1.406858      1.481292      1.581145      1.232448
      0.825367      0.126903      1.410618      1.482086      1.577482      1.269030
      0.860798      0.130509      1.414086      1.482815      1.574135      1.305093
      0.896229      0.134066      1.417295      1.483487      1.571065      1.340664
      0.931660      0.137577      1.420273      1.484108      1.568240      1.375769
      0.967091      0.141043      1.423045      1.484684      1.565630      1.410432
      1.002522      0.144467      1.425629      1.485220      1.563213      1.444674
      1.037953      0.147851      1.428046      1.485720      1.560968      1.478515
      1.073384      0.151197      1.430311      1.486187      1.558876      1.511973
      1.108815      0.154506      1.432438      1.486624      1.556924      1.545064
      1.144246      0.157781      1.434438      1.487035      1.555096      1.577805
      1.179677      0.161021      1.436324      1.487421      1.553382      1.610210
      1.215108      0.164229      1.438104      1.487785      1.551772      1.642292
      1.250539      0.167406      1.439787      1.488128      1.550256      1.674064
      1.285970      0.170554      1.441381      1.488453      1.548826      1.705537
      1.321401      0.173672      1.442893      1.488760      1.547476      1.736722
      1.356832      0.176763      1.444329      1.489051      1.546198      1.767629
      1.392263      0.179827      1.445695      1.489328      1.544987      1.798269
      1.427694      0.182865      1.446995      1.489591      1.543838      1.828650
      1.463125      0.185878      1.448234      1.489841      1.542746      1.858780
      1.498556      0.188867      1.449417      1.490080      1.541707      1.888669
      1.533987      0.191832      1.450546      1.490308      1.540718      1.918322
      1.569418      0.194775      1.451627      1.490525      1.539774      1.947749
      1.604849      0.197695      1.452661      1.490733      1.538873      1.976954
      1.640280      0.200595      1.453652      1.490932      1.538012      2.005945
      1.675711      0.203473      1.454602      1.491123      1.537189      2.034729
      1.711142      0.206331      1.455514      1.491305      1.536400      2.063310
      1.746573      0.209169      1.456391      1.491481      1.535644      2.091695
      1.782004      0.211989      1.457233      1.491649      1.534919      2.119888
      1.817435      0.214789      1.458043      1.491811      1.534223      2.147895
      1.852866      0.217572      1.458824      1.491967      1.533554      2.175721
      1.888297      0.220337      1.459576      1.492117      1.532910      2.203369
      1.923728      0.223085      1.460300      1.492261      1.532291      2.230846
      1.959159      0.225815      1.461000      1.492400      1.531695      2.258154
      1.994590      0.228530      1.461675      1.492535      1.531120      2.285298
      2.030021      0.231228      1.462327      1.492664      1.530566      2.312282
      2.065452      0.233911      1.462957      1.492790      1.530031      2.339109
      2.100883      0.236578      1.463567      1.492911      1.529514      2.365784
      2.136314      0.239231      1.464156      1.493028      1.529016      2.392308
      2.171745      0.241869      1.464727      1.493141      1.528533      2.418687
      2.207176      0.244492      1.465281      1.493251      1.528067      2.444922
      2.242607      0.247102      1.465817      1.493357      1.527615      2.471018
      2.278038      0.249698      1.466336      1.493460      1.527178      2.496976
      2.313469      0.252280      1.466841      1.493559      1.526754      2.522800
      2.348900      0.254849      1.467330      1.493656      1.526343      2.548493
      2.384331      0.257406      1.467805      1.493750      1.525945      2.574057
      2.419762      0.259949      1.468266      1.493841      1.525559      2.599494
      2.455193      0.262481      1.468715      1.493930      1.525184      2.624808
      2.490624      0.265000      1.469151      1.494016      1.524820      2.650000
      2.526055      0.267507      1.469575      1.494099      1.524466      2.675073
      2.561486      0.270003      1.469987      1.494181      1.524122      2.700029
      2.596917      0.272487      1.470388      1.494260      1.523788      2.724870
      2.632348      0.274960      1.470779      1.494337      1.523462      2.749599
      2.667779      0.277422      1.471160      1.494412      1.523146      2.774216
      2.703210      0.279873      1.471531      1.494484      1.522838      2.798725
      2.738641      0.282313      1.471892      1.494556      1.522538      2.823128
      2.774072      0.284742      1.472244      1.494625      1.522246      2.847425
      2.809503      0.287162      1.472588      1.494692      1.521961      2.871619
      2.844934      0.289571      1.472923      1.494758      1.521684      2.895711
      2.880365      0.291970      1.473250      1.494823      1.521413      2.919704
      2.915796      0.294360      1.473570      1.494885      1.521149      2.943598
      2.951227      0.296740      1.473881      1.494946      1.520892      2.967396
      2.986658      0.299110      1.474186      1.495006      1.520641      2.991099
      3.022089      0.301471      1.474484      1.495065      1.520395      3.014708
      3.057520      0.303823      1.474774      1.495122      1.520156      3.038225
      3.092951      0.306165      1.475058      1.495177      1.519922      3.061652
      3.128382      0.308499      1.475336      1.495232      1.519693      3.084989
      3.163813      0.310824      1.475608      1.495285      1.519470      3.108238
      3.199244      0.313140      1.475874      1.495337      1.519252      3.131401
      3.234675      0.315448      1.476134      1.495388      1.519038      3.154478
      3.270106      0.317747      1.476388      1.495438      1.518829      3.177471
      3.305537      0.320038      1.476637      1.495486      1.518625      3.200382
      3.340968      0.322321      1.476881      1.495534      1.518425      3.223210
      3.376399      0.324596      1.477120      1.495581      1.518229      3.245958
      3.411830      0.326863      1.477354      1.495627      1.518038      3.268627
      3.447261      0.329122      1.477584      1.495672      1.517850      3.291217
      3.482692      0.331373      1.477808      1.495715      1.517666      3.313730
      3.518123      0.333617      1.478028      1.495758      1.517486      3.336167
      3.553554      0.335853      1.478244      1.495801      1.517310      3.358529
      3.588985      0.338082      1.478456      1.495842      1.517137      3.380816
