  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.23793
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.900000      0.800000      1.000000
      0.104050      1.055616      0.953548      0.851946      1.040505
      0.108024      1.111231      1.007096      0.903892      1.080236
      0.111925      1.166847      1.060643      0.955838      1.119249
      0.115759      1.222463      1.114191      1.007783      1.157594
      0.119531      1.278079      1.167739      1.059729      1.195314
      0.123245      1.333694      1.221287      1.111675      1.232448
      0.126903      1.389310      1.274835      1.163621      1.269030
      0.130509      1.444926      1.328382      1.215567      1.305093
      0.134066      1.500542      1.381930      1.267513      1.340664
      0.137577      1.556157      1.435478      1.319458      1.375769
      0.141043      1.611773      1.489026      1.371404      1.410432
      0.144467      1.667389      1.542574      1.423350      1.444674
      0.147851      1.723005      1.596122      1.475296      1.478515
      0.151197      1.778620      1.649669      1.527242      1.511973
      0.154506      1.834236      1.703217      1.579188      1.545064
      0.157781      1.889852      1.756765      1.631133      1.577805
      0.161021      1.945468      1.810313      1.683079      1.610210
      0.164229      2.001083      1.863861      1.735025      1.642292
      0.167406      2.056699      1.917408      1.786971      1.674064
      0.170554      2.112315      1.970956      1.838917      1.705537
      0.173672      2.167931      2.024504      1.890863      1.736722
      0.176763      2.223546      2.078052      1.942808      1.767629
      0.179827      2.279162      2.131600      1.994754      1.798269
      0.182865      2.334778      2.185147      2.046700      1.828650
      0.185878      2.390394      2.238695      2.098646      1.858780
      0.188867      2.446009      2.292243      2.150592      1.888669
      0.191832      2.501625      2.345791      2.202538      1.918322
      0.194775      2.557241      2.399339      2.254483      1.947749
      0.197695      2.612857      2.452886      2.306429      1.976954
      0.200595      2.668472      2.506434      2.358375      2.005945
      0.203473      2.724088      2.559982      2.410321      2.034729
      0.206331      2.779704      2.613530      2.462267      2.063310
      0.209169      2.835320      2.667078      2.514213      2.091695
      0.211989      2.890935      2.720625      2.566158      2.119888
      0.214789      2.946551      2.774173      2.618104      2.147895
      0.217572      3.002167      2.827721      2.670050      2.175721
      0.220337      3.057783      2.881269      2.721996      2.203369
      0.223085      3.113398      2.934817      2.773942      2.230846
      0.225815      3.169014      2.988365      2.825888      2.258154
      0.228530      3.224630      3.041912      2.877833      2.285298
      0.231228      3.280246      3.095460      2.929779      2.312282
      0.233911      3.335861      3.149008      2.981725      2.339109
      0.236578      3.391477      3.202556      3.033671      2.365784
      0.239231      3.447093      3.256104      3.085617      2.392308
      0.241869      3.502709      3.309651      3.137563      2.418687
      0.244492      3.558324      3.363199      3.189509      2.444922
      0.247102      3.613940      3.416747      3.241454      2.471018
      0.249698      3.669556      3.470295      3.293400      2.496976
      0.252280      3.725172      3.523843      3.345346      2.522800
      0.254849      3.780787      3.577390      3.397292      2.548493
      0.257406      3.836403      3.630938      3.449238      2.574057
      0.259949      3.892019      3.684486      3.501184      2.599494
      0.262481      3.947635      3.738034      3.553129      2.624808
      0.265000      4.003250      3.791582      3.605075      2.650000
      0.267507      4.058866      3.845129      3.657021      2.675073
      0.270003      4.114482      3.898677      3.708967      2.700029
      0.272487      4.170098      3.952225      3.760913      2.724870
      0.274960      4.225713      4.005773      3.812859      2.749599
      0.277422      4.281329      4.059321      3.864804      2.774216
      0.279873      4.336945      4.112868      3.916750      2.798725
      0.282313      4.392561      4.166416      3.968696      2.823128
      0.284742      4.448176      4.219964      4.020642      2.847425
      0.287162      4.503792      4.273512      4.072588      2.871619
      0.289571      4.559408      4.327060      4.124534      2.895711
      0.291970      4.615024      4.380608      4.176479      2.919704
      0.294360      4.670639      4.434155      4.228425      2.943598
      0.296740      4.726255      4.487703      4.280371      2.967396
      0.299110      4.781871      4.541251      4.332317      2.991099
      0.301471      4.837487      4.594799      4.384263      3.014708
      0.303823      4.893102      4.648347      4.436209      3.038225
      0.306165      4.948718      4.701894      4.488154      3.061652
      0.308499      5.004334      4.755442      4.540100      3.084989
      0.310824      5.059950      4.808990      4.592046      3.108238
      0.313140      5.115565      4.862538      4.643992      3.131401
      0.315448      5.171181      4.916086      4.695938      3.154478
      0.317747      5.226797      4.969633      4.747884      3.177471
      0.320038      5.282413      5.023181      4.799829      3.200382
      0.322321      5.338028      5.076729      4.851775      3.223210
      0.324596      5.393644      5.130277      4.903721      3.245958
      0.326863      5.449260      5.183825      4.955667      3.268627
      0.329122      5.504876      5.237372      5.007613      3.291217
      0.331373      5.560491      5.290920      5.059559      3.313730
      0.333617      5.616107      5.344468      5.111505      3.336167
      0.335853      5.671723      5.398016      5.163450      3.358529
      0.338082      5.727339      5.451564      5.215396      3.380816
      0.340303      5.782954      5.505111      5.267342      3.403030
      0.342517      5.838570      5.558659      5.319288      3.425172
      0.344724      5.894186      5.612207      5.371234      3.447243
      0.346924      5.949802      5.665755      5.423180      3.469243
      0.349117      6.005417      5.719303      5.475125      3.491173
      0.351304      6.061033      5.772851      5.527071      3.513035
      0.353483      6.116649      5.826398      5.579017      3.534829
      0.355656      6.172265      5.879946      5.630963      3.556556
