  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.84483
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.900000      0.800000      1.000000
      0.612781      0.104050      1.062824      0.961748      0.861367      1.040505
      0.648212      0.108024      1.125648      1.023496      0.922733      1.080236
      0.683643      0.111925      1.188473      1.085244      0.984100      1.119249
      0.719074      0.115759      1.251297      1.146993      1.045466      1.157594
      0.754505      0.119531      1.314121      1.208741      1.106833      1.195314
      0.789936      0.123245      1.376945      1.270489      1.168199      1.232448
      0.825367      0.126903      1.439769      1.332237      1.229566      1.269030
      0.860798      0.130509      1.502593      1.393985      1.290932      1.305093
      0.896229      0.134066      1.565418      1.455733      1.352299      1.340664
      0.931660      0.137577      1.628242      1.517482      1.413665      1.375769
      0.967091      0.141043      1.691066      1.579230      1.475032      1.410432
      1.002522      0.144467      1.753890      1.640978      1.536398      1.444674
      1.037953      0.147851      1.816714      1.702726      1.597765      1.478515
      1.073384      0.151197      1.879539      1.764474      1.659131      1.511973
      1.108815      0.154506      1.942363      1.826222      1.720498      1.545064
      1.144246      0.157781      2.005187      1.887970      1.781865      1.577805
      1.179677      0.161021      2.068011      1.949719      1.843231      1.610210
      1.215108      0.164229      2.130835      2.011467      1.904598      1.642292
      1.250539      0.167406      2.193659      2.073215      1.965964      1.674064
      1.285970      0.170554      2.256484      2.134963      2.027331      1.705537
      1.321401      0.173672      2.319308      2.196711      2.088697      1.736722
      1.356832      0.176763      2.382132      2.258459      2.150064      1.767629
      1.392263      0.179827      2.444956      2.320207      2.211430      1.798269
      1.427694      0.182865      2.507780      2.381956      2.272797      1.828650
      1.463125      0.185878      2.570604      2.443704      2.334163      1.858780
      1.498556      0.188867      2.633429      2.505452      2.395530      1.888669
      1.533987      0.191832      2.696253      2.567200      2.456896      1.918322
      1.569418      0.194775      2.759077      2.628948      2.518263      1.947749
      1.604849      0.197695      2.821901      2.690696      2.579630      1.976954
      1.640280      0.200595      2.884725      2.752445      2.640996      2.005945
      1.675711      0.203473      2.947550      2.814193      2.702363      2.034729
      1.711142      0.206331      3.010374      2.875941      2.763729      2.063310
      1.746573      0.209169      3.073198      2.937689      2.825096      2.091695
      1.782004      0.211989      3.136022      2.999437      2.886462      2.119888
      1.817435      0.214789      3.198846      3.061185      2.947829      2.147895
      1.852866      0.217572      3.261670      3.122933      3.009195      2.175721
      1.888297      0.220337      3.324495      3.184682      3.070562      2.203369
      1.923728      0.223085      3.387319      3.246430      3.131928      2.230846
      1.959159      0.225815      3.450143      3.308178      3.193295      2.258154
      1.994590      0.228530      3.512967      3.369926      3.254661      2.285298
      2.030021      0.231228      3.575791      3.431674      3.316028      2.312282
      2.065452      0.233911      3.638616      3.493422      3.377394      2.339109
      2.100883      0.236578      3.701440      3.555170      3.438761      2.365784
      2.136314      0.239231      3.764264      3.616919      3.500128      2.392308
      2.171745      0.241869      3.827088      3.678667      3.561494      2.418687
      2.207176      0.244492      3.889912      3.740415      3.622861      2.444922
      2.242607      0.247102      3.952736      3.802163      3.684227      2.471018
      2.278038      0.249698      4.015561      3.863911      3.745594      2.496976
      2.313469      0.252280      4.078385      3.925659      3.806960      2.522800
      2.348900      0.254849      4.141209      3.987408      3.868327      2.548493
      2.384331      0.257406      4.204033      4.049156      3.929693      2.574057
      2.419762      0.259949      4.266857      4.110904      3.991060      2.599494
      2.455193      0.262481      4.329681      4.172652      4.052426      2.624808
      2.490624      0.265000      4.392506      4.234400      4.113793      2.650000
      2.526055      0.267507      4.455330      4.296148      4.175159      2.675073
      2.561486      0.270003      4.518154      4.357896      4.236526      2.700029
      2.596917      0.272487      4.580978      4.419645      4.297893      2.724870
      2.632348      0.274960      4.643802      4.481393      4.359259      2.749599
      2.667779      0.277422      4.706627      4.543141      4.420626      2.774216
      2.703210      0.279873      4.769451      4.604889      4.481992      2.798725
      2.738641      0.282313      4.832275      4.666637      4.543359      2.823128
      2.774072      0.284742      4.895099      4.728385      4.604725      2.847425
      2.809503      0.287162      4.957923      4.790133      4.666092      2.871619
      2.844934      0.289571      5.020747      4.851882      4.727458      2.895711
