  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.73448
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.503551      1.636491      1.822613      1.000000
      0.612781      0.104050      1.503345      1.627926      1.800226      1.040505
      0.648212      0.108024      1.503162      1.620372      1.780745      1.080236
      0.683643      0.111925      1.502998      1.613661      1.763637      1.119249
      0.719074      0.115759      1.502850      1.607659      1.748495      1.157594
      0.754505      0.119531      1.502715      1.602258      1.734998      1.195314
      0.789936      0.123245      1.502593      1.597374      1.722891      1.232448
      0.825367      0.126903      1.502482      1.592935      1.711971      1.269030
      0.860798      0.130509      1.502380      1.588883      1.702071      1.305093
      0.896229      0.134066      1.502285      1.585170      1.693054      1.340664
      0.931660      0.137577      1.502198      1.581754      1.684808      1.375769
      0.967091      0.141043      1.502118      1.578602      1.677237      1.410432
      1.002522      0.144467      1.502043      1.575684      1.670262      1.444674
      1.037953      0.147851      1.501973      1.572975      1.663815      1.478515
      1.073384      0.151197      1.501908      1.570453      1.657839      1.511973
      1.108815      0.154506      1.501847      1.568099      1.652283      1.545064
      1.144246      0.157781      1.501789      1.565898      1.647105      1.577805
      1.179677      0.161021      1.501736      1.563835      1.642268      1.610210
      1.215108      0.164229      1.501685      1.561896      1.637739      1.642292
      1.250539      0.167406      1.501637      1.560073      1.633489      1.674064
      1.285970      0.170554      1.501592      1.558353      1.629494      1.705537
      1.321401      0.173672      1.501549      1.556729      1.625731      1.736722
      1.356832      0.176763      1.501509      1.555193      1.622180      1.767629
      1.392263      0.179827      1.501470      1.553738      1.618824      1.798269
      1.427694      0.182865      1.501434      1.552358      1.615648      1.828650
      1.463125      0.185878      1.501399      1.551047      1.612637      1.858780
      1.498556      0.188867      1.501366      1.549800      1.609779      1.888669
      1.533987      0.191832      1.501334      1.548613      1.607063      1.918322
      1.569418      0.194775      1.501304      1.547480      1.604477      1.947749
      1.604849      0.197695      1.501275      1.546400      1.602014      1.976954
      1.640280      0.200595      1.501248      1.545367      1.599664      2.005945
      1.675711      0.203473      1.501221      1.544380      1.597420      2.034729
      1.711142      0.206331      1.501196      1.543434      1.595274      2.063310
      1.746573      0.209169      1.501172      1.542528      1.593222      2.091695
      1.782004      0.211989      1.501149      1.541659      1.591255      2.119888
      1.817435      0.214789      1.501126      1.540825      1.589370      2.147895
      1.852866      0.217572      1.501105      1.540023      1.587562      2.175721
      1.888297      0.220337      1.501084      1.539253      1.585825      2.203369
      1.923728      0.223085      1.501064      1.538511      1.584155      2.230846
      1.959159      0.225815      1.501045      1.537797      1.582550      2.258154
      1.994590      0.228530      1.501026      1.537109      1.581004      2.285298
      2.030021      0.231228      1.501008      1.536446      1.579515      2.312282
      2.065452      0.233911      1.500991      1.535806      1.578080      2.339109
      2.100883      0.236578      1.500974      1.535187      1.576696      2.365784
      2.136314      0.239231      1.500958      1.534590      1.575360      2.392308
      2.171745      0.241869      1.500942      1.534013      1.574070      2.418687
      2.207176      0.244492      1.500927      1.533455      1.572823      2.444922
      2.242607      0.247102      1.500913      1.532915      1.571618      2.471018
      2.278038      0.249698      1.500898      1.532392      1.570452      2.496976
      2.313469      0.252280      1.500885      1.531885      1.569323      2.522800
      2.348900      0.254849      1.500871      1.531394      1.568229      2.548493
      2.384331      0.257406      1.500858      1.530918      1.567170      2.574057
      2.419762      0.259949      1.500846      1.530456      1.566143      2.599494
      2.455193      0.262481      1.500833      1.530008      1.565147      2.624808
      2.490624      0.265000      1.500822      1.529573      1.564181      2.650000
      2.526055      0.267507      1.500810      1.529150      1.563243      2.675073
      2.561486      0.270003      1.500799      1.528739      1.562332      2.700029
      2.596917      0.272487      1.500788      1.528339      1.561446      2.724870
      2.632348      0.274960      1.500777      1.527951      1.560586      2.749599
      2.667779      0.277422      1.500767      1.527573      1.559749      2.774216
      2.703210      0.279873      1.500757      1.527205      1.558935      2.798725
      2.738641      0.282313      1.500747      1.526847      1.558143      2.823128
