  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.37586
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.399437      1.504890      1.652530      1.000000
      0.612781      0.104050      1.404883      1.504607      1.642871      1.040505
      0.648212      0.108024      1.409769      1.504354      1.634362      1.080236
      0.683643      0.111925      1.414178      1.504128      1.626810      1.119249
      0.719074      0.115759      1.418176      1.503924      1.620061      1.157594
      0.754505      0.119531      1.421818      1.503739      1.613995      1.195314
      0.789936      0.123245      1.425150      1.503571      1.608512      1.232448
      0.825367      0.126903      1.428209      1.503417      1.603532      1.269030
      0.860798      0.130509      1.431028      1.503276      1.598990      1.305093
      0.896229      0.134066      1.433634      1.503147      1.594829      1.340664
      0.931660      0.137577      1.436050      1.503027      1.591004      1.375769
      0.967091      0.141043      1.438297      1.502916      1.587475      1.410432
      1.002522      0.144467      1.440391      1.502812      1.584210      1.444674
      1.037953      0.147851      1.442348      1.502716      1.581180      1.478515
      1.073384      0.151197      1.444180      1.502626      1.578360      1.511973
      1.108815      0.154506      1.445899      1.502542      1.575730      1.545064
      1.144246      0.157781      1.447516      1.502463      1.573271      1.577805
      1.179677      0.161021      1.449039      1.502389      1.570966      1.610210
      1.215108      0.164229      1.450475      1.502320      1.568802      1.642292
      1.250539      0.167406      1.451834      1.502254      1.566766      1.674064
      1.285970      0.170554      1.453119      1.502192      1.564846      1.705537
      1.321401      0.173672      1.454338      1.502133      1.563035      1.736722
      1.356832      0.176763      1.455495      1.502077      1.561321      1.767629
      1.392263      0.179827      1.456595      1.502024      1.559699      1.798269
      1.427694      0.182865      1.457641      1.501974      1.558160      1.828650
      1.463125      0.185878      1.458639      1.501926      1.556698      1.858780
      1.498556      0.188867      1.459591      1.501880      1.555308      1.888669
      1.533987      0.191832      1.460499      1.501837      1.553985      1.918322
      1.569418      0.194775      1.461368      1.501795      1.552723      1.947749
      1.604849      0.197695      1.462200      1.501756      1.551519      1.976954
      1.640280      0.200595      1.462996      1.501718      1.550369      2.005945
      1.675711      0.203473      1.463759      1.501681      1.549269      2.034729
      1.711142      0.206331      1.464492      1.501646      1.548216      2.063310
      1.746573      0.209169      1.465196      1.501613      1.547207      2.091695
