  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.78966
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.519568      1.656737      1.848780      1.000000
      0.612781      0.104050      1.518423      1.646787      1.824254      1.040505
      0.648212      0.108024      1.517404      1.638026      1.802951      1.080236
      0.683643      0.111925      1.516492      1.630251      1.784274      1.119249
      0.719074      0.115759      1.515671      1.623306      1.767767      1.157594
      0.754505      0.119531      1.514928      1.617064      1.753071      1.195314
      0.789936      0.123245      1.514252      1.611423      1.739905      1.232448
      0.825367      0.126903      1.513635      1.606301      1.728041      1.269030
      0.860798      0.130509      1.513069      1.601629      1.717295      1.305093
      0.896229      0.134066      1.512548      1.597350      1.707516      1.340664
      0.931660      0.137577      1.512067      1.593418      1.698579      1.375769
      0.967091      0.141043      1.511621      1.589790      1.690381      1.410432
      1.002522      0.144467      1.511207      1.586434      1.682832      1.444674
      1.037953      0.147851      1.510822      1.583320      1.675859      1.478515
      1.073384      0.151197      1.510462      1.580422      1.669399      1.511973
      1.108815      0.154506      1.510126      1.577719      1.663396      1.545064
      1.144246      0.157781      1.509810      1.575192      1.657804      1.577805
      1.179677      0.161021      1.509514      1.572824      1.652583      1.610210
      1.215108      0.164229      1.509234      1.570600      1.647696      1.642292
      1.250539      0.167406      1.508971      1.568509      1.643112      1.674064
      1.285970      0.170554      1.508723      1.566538      1.638804      1.705537
      1.321401      0.173672      1.508487      1.564677      1.634748      1.736722
      1.356832      0.176763      1.508265      1.562917      1.630922      1.767629
      1.392263      0.179827      1.508053      1.561250      1.627307      1.798269
      1.427694      0.182865      1.507852      1.559670      1.623887      1.828650
      1.463125      0.185878      1.507661      1.558169      1.620646      1.858780
      1.498556      0.188867      1.507479      1.556741      1.617570      1.888669
      1.533987      0.191832      1.507305      1.555382      1.614647      1.918322
      1.569418      0.194775      1.507140      1.554087      1.611865      1.947749
      1.604849      0.197695      1.506981      1.552851      1.609216      1.976954
      1.640280      0.200595      1.506830      1.551670      1.606689      2.005945
      1.675711      0.203473      1.506685      1.550541      1.604276      2.034729
      1.711142      0.206331      1.506546      1.549460      1.601970      2.063310
      1.746573      0.209169      1.506412      1.548424      1.599764      2.091695
      1.782004      0.211989      1.506284      1.547431      1.597651      2.119888
      1.817435      0.214789      1.506161      1.546477      1.595626      2.147895
      1.852866      0.217572      1.506043      1.545562      1.593684      2.175721
      1.888297      0.220337      1.505929      1.544681      1.591818      2.203369
      1.923728      0.223085      1.505820      1.543834      1.590026      2.230846
      1.959159      0.225815      1.505714      1.543019      1.588302      2.258154
      1.994590      0.228530      1.505612      1.542233      1.586642      2.285298
      2.030021      0.231228      1.505514      1.541476      1.585045      2.312282
      2.065452      0.233911      1.505419      1.540745      1.583504      2.339109
      2.100883      0.236578      1.505327      1.540039      1.582019      2.365784
      2.136314      0.239231      1.505239      1.539358      1.580586      2.392308
      2.171745      0.241869      1.505153      1.538699      1.579202      2.418687
      2.207176      0.244492      1.505070      1.538062      1.577864      2.444922
      2.242607      0.247102      1.504989      1.537446      1.576571      2.471018
      2.278038      0.249698      1.504912      1.536849      1.575321      2.496976
      2.313469      0.252280      1.504836      1.536271      1.574110      2.522800
      2.348900      0.254849      1.504763      1.535711      1.572938      2.548493
      2.384331      0.257406      1.504692      1.535168      1.571802      2.574057
      2.419762      0.259949      1.504623      1.534641      1.570701      2.599494
      2.455193      0.262481      1.504556      1.534130      1.569633      2.624808
      2.490624      0.265000      1.504491      1.533633      1.568598      2.650000
      2.526055      0.267507      1.504428      1.533151      1.567592      2.675073
      2.561486      0.270003      1.504366      1.532683      1.566616      2.700029
      2.596917      0.272487      1.504307      1.532227      1.565667      2.724870
      2.632348      0.274960      1.504249      1.531784      1.564745      2.749599
      2.667779      0.277422      1.504192      1.531353      1.563848      2.774216
      2.703210      0.279873      1.504137      1.530934      1.562976      2.798725
      2.738641      0.282313      1.504083      1.530525      1.562128      2.823128
      2.774072      0.284742      1.504031      1.530128      1.561302      2.847425
      2.809503      0.287162      1.503980      1.529740      1.560498      2.871619
      2.844934      0.289571      1.503930      1.529363      1.559714      2.895711
      2.880365      0.291970      1.503882      1.528994      1.558951      2.919704
      2.915796      0.294360      1.503835      1.528635      1.558207      2.943598
      2.951227      0.296740      1.503788      1.528285      1.557481      2.967396
      2.986658      0.299110      1.503743      1.527943      1.556773      2.991099
      3.022089      0.301471      1.503699      1.527610      1.556083      3.014708
      3.057520      0.303823      1.503656      1.527284      1.555409      3.038225
      3.092951      0.306165      1.503614      1.526966      1.554751      3.061652
      3.128382      0.308499      1.503573      1.526655      1.554109      3.084989
      3.163813      0.310824      1.503533      1.526351      1.553481      3.108238
      3.199244      0.313140      1.503494      1.526054      1.552868      3.131401
      3.234675      0.315448      1.503456      1.525764      1.552269      3.154478
      3.270106      0.317747      1.503418      1.525480      1.551683      3.177471
      3.305537      0.320038      1.503381      1.525202      1.551110      3.200382
      3.340968      0.322321      1.503345      1.524931      1.550550      3.223210
