  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.10000
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      4.085019      0.368556      1.471523      1.485589      1.503029      3.685557
      4.120450      0.370684      1.471763      1.485712      1.503003      3.706837
      4.155881      0.372806      1.472000      1.485832      1.502977      3.728057
      4.191312      0.374922      1.472232      1.485951      1.502952      3.749216
      4.226743      0.377032      1.472460      1.486068      1.502927      3.770315
      4.262174      0.379136      1.472685      1.486182      1.502903      3.791356
      4.297605      0.381234      1.472906      1.486295      1.502879      3.812338
      4.333036      0.383326      1.473124      1.486406      1.502855      3.833263
      4.368467      0.385413      1.473338      1.486516      1.502832      3.854131
      4.403898      0.387494      1.473549      1.486623      1.502809      3.874942
      4.439329      0.389570      1.473756      1.486729      1.502787      3.895698
      4.474760      0.391640      1.473960      1.486833      1.502765      3.916399
      4.510191      0.393705      1.474161      1.486936      1.502743      3.937045
      4.545622      0.395764      1.474359      1.487037      1.502721      3.957637
      4.581053      0.397818      1.474554      1.487136      1.502700      3.978176
      4.616484      0.399866      1.474746      1.487234      1.502680      3.998662
      4.651915      0.401910      1.474935      1.487330      1.502659      4.019095
      4.687346      0.403948      1.475122      1.487425      1.502639      4.039477
      4.722777      0.405981      1.475305      1.487519      1.502619      4.059807
      4.758208      0.408009      1.475486      1.487611      1.502600      4.080087
      4.793639      0.410032      1.475664      1.487702      1.502580      4.100316
      4.829070      0.412050      1.475840      1.487791      1.502561      4.120495
      4.864501      0.414063      1.476013      1.487880      1.502543      4.140626
      4.899932      0.416071      1.476184      1.487967      1.502524      4.160707
      4.935363      0.418074      1.476352      1.488052      1.502506      4.180740
      4.970794      0.420073      1.476518      1.488137      1.502488      4.200725
      5.006225      0.422066      1.476682      1.488220      1.502471      4.220663
      5.041656      0.424055      1.476843      1.488302      1.502453      4.240554
      5.077087      0.426040      1.477002      1.488383      1.502436      4.260398
      5.112518      0.428020      1.477159      1.488463      1.502419      4.280196
      5.147949      0.429995      1.477314      1.488542      1.502402      4.299948
      5.183380      0.431966      1.477467      1.488620      1.502386      4.319656
      5.218811      0.433932      1.477617      1.488696      1.502370      4.339318
      5.254242      0.435894      1.477766      1.488772      1.502354      4.358936
      5.289673      0.437851      1.477913      1.488847      1.502338      4.378510
      5.325104      0.439804      1.478058      1.488920      1.502322      4.398040
      5.360535      0.441753      1.478201      1.488993      1.502307      4.417527
      5.395966      0.443697      1.478342      1.489065      1.502292      4.436971
      5.431397      0.445637      1.478481      1.489135      1.502277      4.456372
      5.466828      0.447573      1.478618      1.489205      1.502262      4.475732
      5.502259      0.449505      1.478754      1.489274      1.502248      4.495049
      5.537690      0.451433      1.478888      1.489343      1.502233      4.514325
      5.573121      0.453356      1.479020      1.489410      1.502219      4.533560
      5.608552      0.455275      1.479151      1.489476      1.502205      4.552755
      5.643983      0.457191      1.479280      1.489542      1.502191      4.571909
      5.679414      0.459102      1.479408      1.489607      1.502177      4.591023
      5.714845      0.461010      1.479534      1.489671      1.502164      4.610097
      5.750276      0.462913      1.479658      1.489734      1.502150      4.629132
      5.785707      0.464813      1.479781      1.489796      1.502137      4.648128
      5.821138      0.466708      1.479902      1.489858      1.502124      4.667085
      5.856569      0.468600      1.480022      1.489919      1.502111      4.686003
      5.892000      0.470488      1.480141      1.489979      1.502099      4.704884
      5.927431      0.472373      1.480258      1.490039      1.502086      4.723727
      5.962862      0.474253      1.480374      1.490097      1.502074      4.742532
      5.998293      0.476130      1.480488      1.490156      1.502061      4.761300
      6.033724      0.478003      1.480601      1.490213      1.502049      4.780031
      6.069155      0.479873      1.480713      1.490270      1.502037      4.798725
      6.104586      0.481738      1.480824      1.490326      1.502025      4.817384
      6.140017      0.483601      1.480933      1.490381      1.502014      4.836006
      6.175448      0.485459      1.481041      1.490436      1.502002      4.854592
      6.210879      0.487314      1.481148      1.490490      1.501991      4.873143
      6.246310      0.489166      1.481253      1.490544      1.501979      4.891658
      6.281741      0.491014      1.481358      1.490597      1.501968      4.910139
      6.317172      0.492858      1.481461      1.490649      1.501957      4.928585
      6.352603      0.494700      1.481563      1.490701      1.501946      4.946996
      6.388034      0.496537      1.481664      1.490752      1.501936      4.965373
      6.423465      0.498372      1.481764      1.490803      1.501925      4.983716
      6.458896      0.500203      1.481863      1.490853      1.501914      5.002026
      6.494327      0.502030      1.481961      1.490903      1.501904      5.020302
      6.529758      0.503855      1.482057      1.490952      1.501893      5.038545
      6.565189      0.505675      1.482153      1.491000      1.501883      5.056755
      6.600620      0.507493      1.482248      1.491049      1.501873      5.074932
      6.636051      0.509308      1.482341      1.491096      1.501863      5.093077
      6.671482      0.511119      1.482434      1.491143      1.501853      5.111189
      6.706913      0.512927      1.482526      1.491190      1.501843      5.129270
      6.742344      0.514732      1.482616      1.491236      1.501834      5.147318
      6.777775      0.516534      1.482706      1.491281      1.501824      5.165335
      6.813206      0.518332      1.482795      1.491326      1.501815      5.183321
      6.848637      0.520128      1.482883      1.491371      1.501805      5.201275
      6.884068      0.521920      1.482970      1.491415      1.501796      5.219199
      6.919499      0.523709      1.483057      1.491459      1.501787      5.237092
      6.954930      0.525495      1.483142      1.491502      1.501778      5.254954
      6.990361      0.527279      1.483226      1.491545      1.501769      5.272786
      7.025792      0.529059      1.483310      1.491587      1.501760      5.290588
      7.061223      0.530836      1.483393      1.491629      1.501751      5.308360
      7.096654      0.532610      1.483475      1.491671      1.501742      5.326102
      7.132085      0.534382      1.483556      1.491712      1.501733      5.343815
      7.167516      0.536150      1.483636      1.491753      1.501725      5.361499
      7.202947      0.537915      1.483716      1.491793      1.501716      5.379153
      7.238378      0.539678      1.483795      1.491833      1.501708      5.396778
      7.273809      0.541438      1.483873      1.491872      1.501700      5.414375
      7.309240      0.543194      1.483950      1.491912      1.501691      5.431943
      7.344671      0.544948      1.484027      1.491950      1.501683      5.449483
      7.380102      0.546699      1.484103      1.491989      1.501675      5.466995
      7.415533      0.548448      1.484178      1.492027      1.501667      5.484478
      7.450964      0.550193      1.484252      1.492065      1.501659      5.501934
      7.486395      0.551936      1.484326      1.492102      1.501651      5.519362
      7.521826      0.553676      1.484399      1.492139      1.501643      5.536763
      7.557257      0.555414      1.484472      1.492176      1.501636      5.554136
      7.592688      0.557148      1.484543      1.492212      1.501628      5.571483
      7.628119      0.558880      1.484614      1.492248      1.501621      5.588802
      7.663550      0.560609      1.484685      1.492284      1.501613      5.606095
