  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.12759
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.327358      1.413782      1.534780      1.000000
      0.612781      0.104050      1.336250      1.418496      1.532725      1.040505
      0.648212      0.108024      1.344272      1.422722      1.530900      1.080236
      0.683643      0.111925      1.351544      1.426531      1.529267      1.119249
      0.719074      0.115759      1.358167      1.429982      1.527798      1.157594
      0.754505      0.119531      1.364225      1.433123      1.526470      1.195314
      0.789936      0.123245      1.369786      1.435995      1.525263      1.232448
      0.825367      0.126903      1.374909      1.438630      1.524161      1.269030
      0.860798      0.130509      1.379645      1.441057      1.523151      1.305093
      0.896229      0.134066      1.384035      1.443299      1.522222      1.340664
      0.931660      0.137577      1.388116      1.445377      1.521365      1.375769
      0.967091      0.141043      1.391920      1.447308      1.520572      1.410432
      1.002522      0.144467      1.395474      1.449107      1.519835      1.444674
      1.037953      0.147851      1.398801      1.450787      1.519149      1.478515
      1.073384      0.151197      1.401923      1.452360      1.518509      1.511973
      1.108815      0.154506      1.404858      1.453835      1.517911      1.545064
      1.144246      0.157781      1.407623      1.455222      1.517350      1.577805
      1.179677      0.161021      1.410231      1.456528      1.516823      1.610210
      1.215108      0.164229      1.412696      1.457760      1.516327      1.642292
      1.250539      0.167406      1.415030      1.458924      1.515859      1.674064
      1.285970      0.170554      1.417242      1.460025      1.515418      1.705537
      1.321401      0.173672      1.419342      1.461069      1.515000      1.736722
      1.356832      0.176763      1.421337      1.462060      1.514605      1.767629
      1.392263      0.179827      1.423237      1.463002      1.514230      1.798269
      1.427694      0.182865      1.425047      1.463898      1.513873      1.828650
      1.463125      0.185878      1.426773      1.464752      1.513534      1.858780
      1.498556      0.188867      1.428422      1.465566      1.513212      1.888669
      1.533987      0.191832      1.429998      1.466344      1.512904      1.918322
      1.569418      0.194775      1.431506      1.467087      1.512610      1.947749
      1.604849      0.197695      1.432951      1.467798      1.512329      1.976954
      1.640280      0.200595      1.434336      1.468479      1.512061      2.005945
