  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.78966
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.900000      0.800000      1.000000
      0.104050      1.062169      0.961003      0.860510      1.040505
      0.108024      1.124338      1.022005      0.921020      1.080236
      0.111925      1.186507      1.083008      0.981530      1.119249
      0.115759      1.248675      1.144011      1.042040      1.157594
      0.119531      1.310844      1.205013      1.102551      1.195314
      0.123245      1.373013      1.266016      1.163061      1.232448
      0.126903      1.435182      1.327019      1.223571      1.269030
      0.130509      1.497351      1.388021      1.284081      1.305093
      0.134066      1.559520      1.449024      1.344591      1.340664
      0.137577      1.621689      1.510027      1.405101      1.375769
      0.141043      1.683858      1.571029      1.465611      1.410432
      0.144467      1.746026      1.632032      1.526121      1.444674
      0.147851      1.808195      1.693035      1.586631      1.478515
      0.151197      1.870364      1.754037      1.647142      1.511973
      0.154506      1.932533      1.815040      1.707652      1.545064
      0.157781      1.994702      1.876043      1.768162      1.577805
      0.161021      2.056871      1.937045      1.828672      1.610210
      0.164229      2.119040      1.998048      1.889182      1.642292
      0.167406      2.181208      2.059051      1.949692      1.674064
      0.170554      2.243377      2.120053      2.010202      1.705537
      0.173672      2.305546      2.181056      2.070712      1.736722
      0.176763      2.367715      2.242059      2.131222      1.767629
      0.179827      2.429884      2.303061      2.191732      1.798269
      0.182865      2.492053      2.364064      2.252243      1.828650
      0.185878      2.554222      2.425067      2.312753      1.858780
      0.188867      2.616391      2.486069      2.373263      1.888669
      0.191832      2.678559      2.547072      2.433773      1.918322
      0.194775      2.740728      2.608075      2.494283      1.947749
      0.197695      2.802897      2.669077      2.554793      1.976954
      0.200595      2.865066      2.730080      2.615303      2.005945
      0.203473      2.927235      2.791083      2.675813      2.034729
      0.206331      2.989404      2.852085      2.736323      2.063310
      0.209169      3.051573      2.913088      2.796834      2.091695
      0.211989      3.113741      2.974091      2.857344      2.119888
      0.214789      3.175910      3.035093      2.917854      2.147895
      0.217572      3.238079      3.096096      2.978364      2.175721
      0.220337      3.300248      3.157099      3.038874      2.203369
      0.223085      3.362417      3.218101      3.099384      2.230846
      0.225815      3.424586      3.279104      3.159894      2.258154
      0.228530      3.486755      3.340107      3.220404      2.285298
      0.231228      3.548924      3.401109      3.280914      2.312282
      0.233911      3.611092      3.462112      3.341425      2.339109
      0.236578      3.673261      3.523115      3.401935      2.365784
      0.239231      3.735430      3.584117      3.462445      2.392308
      0.241869      3.797599      3.645120      3.522955      2.418687
      0.244492      3.859768      3.706123      3.583465      2.444922
      0.247102      3.921937      3.767125      3.643975      2.471018
      0.249698      3.984106      3.828128      3.704485      2.496976
      0.252280      4.046274      3.889131      3.764995      2.522800
      0.254849      4.108443      3.950133      3.825505      2.548493
      0.257406      4.170612      4.011136      3.886016      2.574057
      0.259949      4.232781      4.072139      3.946526      2.599494
      0.262481      4.294950      4.133141      4.007036      2.624808
      0.265000      4.357119      4.194144      4.067546      2.650000
      0.267507      4.419288      4.255147      4.128056      2.675073
      0.270003      4.481457      4.316149      4.188566      2.700029
      0.272487      4.543625      4.377152      4.249076      2.724870
      0.274960      4.605794      4.438155      4.309586      2.749599
      0.277422      4.667963      4.499157      4.370096      2.774216
      0.279873      4.730132      4.560160      4.430606      2.798725
      0.282313      4.792301      4.621163      4.491117      2.823128
      0.284742      4.854470      4.682165      4.551627      2.847425
      0.287162      4.916639      4.743168      4.612137      2.871619
      0.289571      4.978807      4.804171      4.672647      2.895711
      0.291970      5.040976      4.865173      4.733157      2.919704
      0.294360      5.103145      4.926176      4.793667      2.943598
      0.296740      5.165314      4.987179      4.854177      2.967396
      0.299110      5.227483      5.048181      4.914687      2.991099
      0.301471      5.289652      5.109184      4.975197      3.014708
      0.303823      5.351821      5.170187      5.035708      3.038225
      0.306165      5.413990      5.231189      5.096218      3.061652
      0.308499      5.476158      5.292192      5.156728      3.084989
      0.310824      5.538327      5.353195      5.217238      3.108238
      0.313140      5.600496      5.414197      5.277748      3.131401
      0.315448      5.662665      5.475200      5.338258      3.154478
      0.317747      5.724834      5.536203      5.398768      3.177471
      0.320038      5.787003      5.597205      5.459278      3.200382
      0.322321      5.849172      5.658208      5.519788      3.223210
      0.324596      5.911340      5.719210      5.580299      3.245958
      0.326863      5.973509      5.780213      5.640809      3.268627
      0.329122      6.035678      5.841216      5.701319      3.291217
      0.331373      6.097847      5.902218      5.761829      3.313730
      0.333617      6.160016      5.963221      5.822339      3.336167
      0.335853      6.222185      6.024224      5.882849      3.358529
      0.338082      6.284354      6.085226      5.943359      3.380816
      0.340303      6.346523      6.146229      6.003869      3.403030
