  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.87241
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.543594      1.687106      1.888030      1.000000
      0.612781      0.104050      1.541005      1.675025      1.860206      1.040505
      0.648212      0.108024      1.538706      1.664410      1.836106      1.080236
      0.683643      0.111925      1.536651      1.655009      1.815028      1.119249
      0.719074      0.115759      1.534803      1.646624      1.796438      1.157594
      0.754505      0.119531      1.533133      1.639100      1.779920      1.195314
      0.789936      0.123245      1.531615      1.632311      1.765145      1.232448
      0.825367      0.126903      1.530231      1.626154      1.751852      1.269030
      0.860798      0.130509      1.528962      1.620544      1.739828      1.305093
      0.896229      0.134066      1.527796      1.615412      1.728900      1.340664
      0.931660      0.137577      1.526720      1.610699      1.718925      1.375769
      0.967091      0.141043      1.525724      1.606355      1.709782      1.410432
      1.002522      0.144467      1.524800      1.602340      1.701373      1.444674
      1.037953      0.147851      1.523940      1.598617      1.693612      1.478515
      1.073384      0.151197      1.523138      1.595155      1.686427      1.511973
      1.108815      0.154506      1.522387      1.591928      1.679756      1.545064
      1.144246      0.157781      1.521684      1.588913      1.673546      1.577805
      1.179677      0.161021      1.521024      1.586089      1.667750      1.610210
      1.215108      0.164229      1.520402      1.583439      1.662330      1.642292
      1.250539      0.167406      1.519817      1.580948      1.657248      1.674064
      1.285970      0.170554      1.519264      1.578601      1.652475      1.705537
      1.321401      0.173672      1.518741      1.576386      1.647984      1.736722
      1.356832      0.176763      1.518245      1.574292      1.643749      1.767629
      1.392263      0.179827      1.517776      1.572311      1.639750      1.798269
      1.427694      0.182865      1.517329      1.570432      1.635967      1.828650
      1.463125      0.185878      1.516905      1.568648      1.632384      1.858780
      1.498556      0.188867      1.516501      1.566953      1.628985      1.888669
      1.533987      0.191832      1.516116      1.565339      1.625756      1.918322
      1.569418      0.194775      1.515748      1.563801      1.622685      1.947749
      1.604849      0.197695      1.515397      1.562334      1.619760      1.976954
      1.640280      0.200595      1.515061      1.560933      1.616971      2.005945
      1.675711      0.203473      1.514739      1.559593      1.614310      2.034729
      1.711142      0.206331      1.514431      1.558311      1.611766      2.063310
      1.746573      0.209169      1.514136      1.557083      1.609334      2.091695
      1.782004      0.211989      1.513852      1.555906      1.607005      2.119888
      1.817435      0.214789      1.513579      1.554776      1.604773      2.147895
      1.852866      0.217572      1.513318      1.553692      1.602633      2.175721
      1.888297      0.220337      1.513065      1.552649      1.600578      2.203369
      1.923728      0.223085      1.512823      1.551646      1.598604      2.230846
      1.959159      0.225815      1.512589      1.550680      1.596705      2.258154
      1.994590      0.228530      1.512363      1.549750      1.594879      2.285298
      2.030021      0.231228      1.512146      1.548853      1.593120      2.312282
      2.065452      0.233911      1.511936      1.547989      1.591425      2.339109
      2.100883      0.236578      1.511733      1.547154      1.589791      2.365784
      2.136314      0.239231      1.511537      1.546348      1.588214      2.392308
      2.171745      0.241869      1.511347      1.545568      1.586692      2.418687
      2.207176      0.244492      1.511164      1.544815      1.585221      2.444922
      2.242607      0.247102      1.510986      1.544086      1.583800      2.471018
      2.278038      0.249698      1.510814      1.543381      1.582425      2.496976
      2.313469      0.252280      1.510647      1.542697      1.581094      2.522800
      2.348900      0.254849      1.510486      1.542035      1.579806      2.548493
      2.384331      0.257406      1.510329      1.541393      1.578558      2.574057
      2.419762      0.259949      1.510176      1.540771      1.577348      2.599494
      2.455193      0.262481      1.510029      1.540167      1.576175      2.624808
      2.490624      0.265000      1.509885      1.539580      1.575037      2.650000
      2.526055      0.267507      1.509745      1.539011      1.573933      2.675073
      2.561486      0.270003      1.509610      1.538457      1.572861      2.700029
      2.596917      0.272487      1.509478      1.537919      1.571819      2.724870
      2.632348      0.274960      1.509349      1.537396      1.570807      2.749599
      2.667779      0.277422      1.509224      1.536887      1.569823      2.774216
      2.703210      0.279873      1.509103      1.536392      1.568865      2.798725
      2.738641      0.282313      1.508984      1.535910      1.567934      2.823128
      2.774072      0.284742      1.508869      1.535441      1.567028      2.847425
      2.809503      0.287162      1.508756      1.534983      1.566145      2.871619
      2.844934      0.289571      1.508647      1.534537      1.565286      2.895711
      2.880365      0.291970      1.508540      1.534103      1.564448      2.919704
      2.915796      0.294360      1.508435      1.533679      1.563632      2.943598
      2.951227      0.296740      1.508334      1.533266      1.562836      2.967396
      2.986658      0.299110      1.508234      1.532863      1.562059      2.991099
      3.022089      0.301471      1.508137      1.532469      1.561302      3.014708
      3.057520      0.303823      1.508042      1.532085      1.560563      3.038225
      3.092951      0.306165      1.507950      1.531709      1.559842      3.061652
      3.128382      0.308499      1.507859      1.531343      1.559137      3.084989
      3.163813      0.310824      1.507771      1.530985      1.558449      3.108238
      3.199244      0.313140      1.507684      1.530634      1.557777      3.131401
      3.234675      0.315448      1.507600      1.530292      1.557120      3.154478
      3.270106      0.317747      1.507517      1.529957      1.556478      3.177471
      3.305537      0.320038      1.507436      1.529630      1.555850      3.200382
      3.340968      0.322321      1.507357      1.529309      1.555236      3.223210
      3.376399      0.324596      1.507279      1.528996      1.554635      3.245958
      3.411830      0.326863      1.507203      1.528689      1.554047      3.268627
      3.447261      0.329122      1.507129      1.528389      1.553472      3.291217
      3.482692      0.331373      1.507056      1.528094      1.552909      3.313730
      3.518123      0.333617      1.506984      1.527806      1.552357      3.336167
      3.553554      0.335853      1.506915      1.527524      1.551817      3.358529
      3.588985      0.338082      1.506846      1.527247      1.551288      3.380816
      3.624416      0.340303      1.506779      1.526976      1.550770      3.403030
      3.659847      0.342517      1.506713      1.526710      1.550262      3.425172
      3.695278      0.344724      1.506648      1.526450      1.549764      3.447243
      3.730709      0.346924      1.506585      1.526194      1.549276      3.469243
      3.766140      0.349117      1.506523      1.525943      1.548797      3.491173
      3.801571      0.351304      1.506461      1.525697      1.548328      3.513035
      3.837002      0.353483      1.506402      1.525456      1.547867      3.534829
      3.872433      0.355656      1.506343      1.525219      1.547415      3.556556
      3.907864      0.357822      1.506285      1.524987      1.546972      3.578217
      3.943295      0.359981      1.506228      1.524759      1.546537      3.599813
      3.978726      0.362134      1.506173      1.524535      1.546110      3.621344
      4.014157      0.364281      1.506118      1.524314      1.545690      3.642811
      4.049588      0.366422      1.506064      1.524098      1.545278      3.664215
      4.085019      0.368556      1.506011      1.523886      1.544874      3.685557
      4.120450      0.370684      1.505959      1.523677      1.544477      3.706837
      4.155881      0.372806      1.505908      1.523472      1.544086      3.728057
      4.191312      0.374922      1.505858      1.523271      1.543703      3.749216
      4.226743      0.377032      1.505809      1.523073      1.543326      3.770315
      4.262174      0.379136      1.505761      1.522878      1.542955      3.791356
      4.297605      0.381234      1.505713      1.522687      1.542591      3.812338
      4.333036      0.383326      1.505666      1.522498      1.542233      3.833263
      4.368467      0.385413      1.505620      1.522313      1.541881      3.854131
      4.403898      0.387494      1.505574      1.522131      1.541535      3.874942
      4.439329      0.389570      1.505530      1.521952      1.541194      3.895698
      4.474760      0.391640      1.505486      1.521775      1.540859      3.916399
      4.510191      0.393705      1.505443      1.521602      1.540529      3.937045
      4.545622      0.395764      1.505400      1.521431      1.540205      3.957637
      4.581053      0.397818      1.505358      1.521263      1.539886      3.978176
      4.616484      0.399866      1.505317      1.521097      1.539572      3.998662
      4.651915      0.401910      1.505276      1.520935      1.539262      4.019095
      4.687346      0.403948      1.505236      1.520774      1.538958      4.039477
      4.722777      0.405981      1.505197      1.520616      1.538658      4.059807
      4.758208      0.408009      1.505158      1.520461      1.538363      4.080087
      4.793639      0.410032      1.505120      1.520307      1.538072      4.100316
      4.829070      0.412050      1.505082      1.520156      1.537786      4.120495
      4.864501      0.414063      1.505045      1.520007      1.537504      4.140626
      4.899932      0.416071      1.505008      1.519861      1.537226      4.160707
      4.935363      0.418074      1.504972      1.519716      1.536952      4.180740
      4.970794      0.420073      1.504937      1.519574      1.536682      4.200725
      5.006225      0.422066      1.504902      1.519434      1.536416      4.220663
      5.041656      0.424055      1.504867      1.519295      1.536154      4.240554
      5.077087      0.426040      1.504833      1.519159      1.535896      4.260398
      5.112518      0.428020      1.504799      1.519025      1.535641      4.280196
      5.147949      0.429995      1.504766      1.518892      1.535390      4.299948
      5.183380      0.431966      1.504734      1.518761      1.535142      4.319656
      5.218811      0.433932      1.504701      1.518632      1.534898      4.339318
      5.254242      0.435894      1.504669      1.518505      1.534657      4.358936
      5.289673      0.437851      1.504638      1.518380      1.534420      4.378510
      5.325104      0.439804      1.504607      1.518256      1.534186      4.398040
      5.360535      0.441753      1.504577      1.518134      1.533955      4.417527
      5.395966      0.443697      1.504546      1.518013      1.533727      4.436971
      5.431397      0.445637      1.504517      1.517894      1.533502      4.456372
      5.466828      0.447573      1.504487      1.517777      1.533280      4.475732
      5.502259      0.449505      1.504458      1.517661      1.533061      4.495049
      5.537690      0.451433      1.504430      1.517547      1.532845      4.514325
      5.573121      0.453356      1.504402      1.517434      1.532631      4.533560
      5.608552      0.455275      1.504374      1.517323      1.532421      4.552755
      5.643983      0.457191      1.504346      1.517213      1.532213      4.571909
      5.679414      0.459102      1.504319      1.517104      1.532008      4.591023
      5.714845      0.461010      1.504292      1.516997      1.531805      4.610097
      5.750276      0.462913      1.504266      1.516891      1.531605      4.629132
      5.785707      0.464813      1.504239      1.516786      1.531407      4.648128
      5.821138      0.466708      1.504213      1.516683      1.531212      4.667085
      5.856569      0.468600      1.504188      1.516581      1.531019      4.686003
      5.892000      0.470488      1.504163      1.516480      1.530829      4.704884
      5.927431      0.472373      1.504138      1.516380      1.530641      4.723727
      5.962862      0.474253      1.504113      1.516282      1.530455      4.742532
      5.998293      0.476130      1.504089      1.516185      1.530272      4.761300
      6.033724      0.478003      1.504065      1.516089      1.530090      4.780031
      6.069155      0.479873      1.504041      1.515994      1.529911      4.798725
      6.104586      0.481738      1.504017      1.515900      1.529734      4.817384
      6.140017      0.483601      1.503994      1.515807      1.529559      4.836006
      6.175448      0.485459      1.503971      1.515716      1.529386      4.854592
      6.210879      0.487314      1.503948      1.515625      1.529215      4.873143
      6.246310      0.489166      1.503926      1.515536      1.529046      4.891658
      6.281741      0.491014      1.503904      1.515447      1.528879      4.910139
      6.317172      0.492858      1.503882      1.515360      1.528714      4.928585
      6.352603      0.494700      1.503860      1.515273      1.528551      4.946996
      6.388034      0.496537      1.503839      1.515187      1.528390      4.965373
      6.423465      0.498372      1.503817      1.515103      1.528230      4.983716
      6.458896      0.500203      1.503796      1.515019      1.528073      5.002026
      6.494327      0.502030      1.503776      1.514936      1.527917      5.020302
      6.529758      0.503855      1.503755      1.514855      1.527762      5.038545
      6.565189      0.505675      1.503735      1.514774      1.527610      5.056755
      6.600620      0.507493      1.503715      1.514693      1.527459      5.074932
      6.636051      0.509308      1.503695      1.514614      1.527309      5.093077
      6.671482      0.511119      1.503675      1.514536      1.527162      5.111189
      6.706913      0.512927      1.503656      1.514458      1.527016      5.129270
      6.742344      0.514732      1.503636      1.514382      1.526871      5.147318
      6.777775      0.516534      1.503617      1.514306      1.526728      5.165335
      6.813206      0.518332      1.503598      1.514231      1.526587      5.183321
      6.848637      0.520128      1.503580      1.514156      1.526447      5.201275
      6.884068      0.521920      1.503561      1.514083      1.526308      5.219199
      6.919499      0.523709      1.503543      1.514010      1.526171      5.237092
      6.954930      0.525495      1.503525      1.513938      1.526036      5.254954
