  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.62414
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.900000      0.800000      1.000000
      0.612781      0.104050      1.060203      0.958766      0.857941      1.040505
      0.648212      0.108024      1.120406      1.017532      0.915882      1.080236
      0.683643      0.111925      1.180609      1.076299      0.973822      1.119249
      0.719074      0.115759      1.240812      1.135065      1.031763      1.157594
      0.754505      0.119531      1.301015      1.193831      1.089704      1.195314
      0.789936      0.123245      1.361218      1.252597      1.147645      1.232448
      0.825367      0.126903      1.421421      1.311363      1.205586      1.269030
      0.860798      0.130509      1.481623      1.370130      1.263527      1.305093
      0.896229      0.134066      1.541826      1.428896      1.321467      1.340664
      0.931660      0.137577      1.602029      1.487662      1.379408      1.375769
      0.967091      0.141043      1.662232      1.546428      1.437349      1.410432
      1.002522      0.144467      1.722435      1.605194      1.495290      1.444674
      1.037953      0.147851      1.782638      1.663961      1.553231      1.478515
      1.073384      0.151197      1.842841      1.722727      1.611172      1.511973
      1.108815      0.154506      1.903044      1.781493      1.669112      1.545064
      1.144246      0.157781      1.963247      1.840259      1.727053      1.577805
      1.179677      0.161021      2.023450      1.899026      1.784994      1.610210
      1.215108      0.164229      2.083653      1.957792      1.842935      1.642292
      1.250539      0.167406      2.143856      2.016558      1.900876      1.674064
      1.285970      0.170554      2.204059      2.075324      1.958817      1.705537
      1.321401      0.173672      2.264262      2.134090      2.016757      1.736722
      1.356832      0.176763      2.324464      2.192857      2.074698      1.767629
      1.392263      0.179827      2.384667      2.251623      2.132639      1.798269
      1.427694      0.182865      2.444870      2.310389      2.190580      1.828650
      1.463125      0.185878      2.505073      2.369155      2.248521      1.858780
      1.498556      0.188867      2.565276      2.427921      2.306462      1.888669
      1.533987      0.191832      2.625479      2.486688      2.364402      1.918322
      1.569418      0.194775      2.685682      2.545454      2.422343      1.947749
      1.604849      0.197695      2.745885      2.604220      2.480284      1.976954
      1.640280      0.200595      2.806088      2.662986      2.538225      2.005945
      1.675711      0.203473      2.866291      2.721752      2.596166      2.034729
      1.711142      0.206331      2.926494      2.780519      2.654106      2.063310
      1.746573      0.209169      2.986697      2.839285      2.712047      2.091695
      1.782004      0.211989      3.046900      2.898051      2.769988      2.119888
      1.817435      0.214789      3.107103      2.956817      2.827929      2.147895
      1.852866      0.217572      3.167306      3.015583      2.885870      2.175721
      1.888297      0.220337      3.227508      3.074350      2.943811      2.203369
      1.923728      0.223085      3.287711      3.133116      3.001751      2.230846
      1.959159      0.225815      3.347914      3.191882      3.059692      2.258154
      1.994590      0.228530      3.408117      3.250648      3.117633      2.285298
      2.030021      0.231228      3.468320      3.309415      3.175574      2.312282
      2.065452      0.233911      3.528523      3.368181      3.233515      2.339109
      2.100883      0.236578      3.588726      3.426947      3.291456      2.365784
      2.136314      0.239231      3.648929      3.485713      3.349396      2.392308
      2.171745      0.241869      3.709132      3.544479      3.407337      2.418687
