  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.10000
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.900000      0.800000      1.000000
      0.612781      0.104050      1.053977      0.951684      0.849805      1.040505
      0.648212      0.108024      1.107955      1.003368      0.899610      1.080236
      0.683643      0.111925      1.161932      1.055052      0.949414      1.119249
      0.719074      0.115759      1.215910      1.106736      0.999219      1.157594
      0.754505      0.119531      1.269887      1.158420      1.049024      1.195314
      0.789936      0.123245      1.323865      1.210105      1.098829      1.232448
      0.825367      0.126903      1.377842      1.261789      1.148633      1.269030
      0.860798      0.130509      1.431820      1.313473      1.198438      1.305093
      0.896229      0.134066      1.485797      1.365157      1.248243      1.340664
      0.931660      0.137577      1.539775      1.416841      1.298048      1.375769
      0.967091      0.141043      1.593752      1.468525      1.347852      1.410432
      1.002522      0.144467      1.647730      1.520209      1.397657      1.444674
      1.037953      0.147851      1.701707      1.571893      1.447462      1.478515
      1.073384      0.151197      1.755685      1.623577      1.497267      1.511973
      1.108815      0.154506      1.809662      1.675261      1.547072      1.545064
      1.144246      0.157781      1.863640      1.726946      1.596876      1.577805
      1.179677      0.161021      1.917617      1.778630      1.646681      1.610210
      1.215108      0.164229      1.971594      1.830314      1.696486      1.642292
      1.250539      0.167406      2.025572      1.881998      1.746291      1.674064
      1.285970      0.170554      2.079549      1.933682      1.796095      1.705537
      1.321401      0.173672      2.133527      1.985366      1.845900      1.736722
      1.356832      0.176763      2.187504      2.037050      1.895705      1.767629
      1.392263      0.179827      2.241482      2.088734      1.945510      1.798269
      1.427694      0.182865      2.295459      2.140418      1.995314      1.828650
      1.463125      0.185878      2.349437      2.192102      2.045119      1.858780
      1.498556      0.188867      2.403414      2.243786      2.094924      1.888669
      1.533987      0.191832      2.457392      2.295471      2.144729      1.918322
      1.569418      0.194775      2.511369      2.347155      2.194534      1.947749
      1.604849      0.197695      2.565347      2.398839      2.244338      1.976954
      1.640280      0.200595      2.619324      2.450523      2.294143      2.005945
      1.675711      0.203473      2.673302      2.502207      2.343948      2.034729
      1.711142      0.206331      2.727279      2.553891      2.393753      2.063310
      1.746573      0.209169      2.781257      2.605575      2.443557      2.091695
      1.782004      0.211989      2.835234      2.657259      2.493362      2.119888
      1.817435      0.214789      2.889211      2.708943      2.543167      2.147895
      1.852866      0.217572      2.943189      2.760627      2.592972      2.175721
      1.888297      0.220337      2.997166      2.812311      2.642776      2.203369
      1.923728      0.223085      3.051144      2.863996      2.692581      2.230846
      1.959159      0.225815      3.105121      2.915680      2.742386      2.258154
      1.994590      0.228530      3.159099      2.967364      2.792191      2.285298
      2.030021      0.231228      3.213076      3.019048      2.841996      2.312282
      2.065452      0.233911      3.267054      3.070732      2.891800      2.339109
      2.100883      0.236578      3.321031      3.122416      2.941605      2.365784
      2.136314      0.239231      3.375009      3.174100      2.991410      2.392308
      2.171745      0.241869      3.428986      3.225784      3.041215      2.418687
      2.207176      0.244492      3.482964      3.277468      3.091019      2.444922
      2.242607      0.247102      3.536941      3.329152      3.140824      2.471018
      2.278038      0.249698      3.590919      3.380837      3.190629      2.496976
      2.313469      0.252280      3.644896      3.432521      3.240434      2.522800
      2.348900      0.254849      3.698874      3.484205      3.290238      2.548493
      2.384331      0.257406      3.752851      3.535889      3.340043      2.574057
      2.419762      0.259949      3.806828      3.587573      3.389848      2.599494
      2.455193      0.262481      3.860806      3.639257      3.439653      2.624808
      2.490624      0.265000      3.914783      3.690941      3.489458      2.650000
      2.526055      0.267507      3.968761      3.742625      3.539262      2.675073
      2.561486      0.270003      4.022738      3.794309      3.589067      2.700029
      2.596917      0.272487      4.076716      3.845993      3.638872      2.724870
      2.632348      0.274960      4.130693      3.897677      3.688677      2.749599
      2.667779      0.277422      4.184671      3.949362      3.738481      2.774216
      2.703210      0.279873      4.238648      4.001046      3.788286      2.798725
      2.738641      0.282313      4.292626      4.052730      3.838091      2.823128
      2.774072      0.284742      4.346603      4.104414      3.887896      2.847425
      2.809503      0.287162      4.400581      4.156098      3.937700      2.871619
      2.844934      0.289571      4.454558      4.207782      3.987505      2.895711
      2.880365      0.291970      4.508536      4.259466      4.037310      2.919704
      2.915796      0.294360      4.562513      4.311150      4.087115      2.943598
      2.951227      0.296740      4.616491      4.362834      4.136920      2.967396
      2.986658      0.299110      4.670468      4.414518      4.186724      2.991099
      3.022089      0.301471      4.724445      4.466202      4.236529      3.014708
      3.057520      0.303823      4.778423      4.517887      4.286334      3.038225
      3.092951      0.306165      4.832400      4.569571      4.336139      3.061652
      3.128382      0.308499      4.886378      4.621255      4.385943      3.084989
      3.163813      0.310824      4.940355      4.672939      4.435748      3.108238
      3.199244      0.313140      4.994333      4.724623      4.485553      3.131401
      3.234675      0.315448      5.048310      4.776307      4.535358      3.154478
      3.270106      0.317747      5.102288      4.827991      4.585162      3.177471
      3.305537      0.320038      5.156265      4.879675      4.634967      3.200382
