  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.15517
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.408009      7.446668      7.086690      6.778021      4.080087
      0.410032      7.501301      7.139120      6.828682      4.100316
      0.412050      7.555934      7.191550      6.879344      4.120495
      0.414063      7.610567      7.243979      6.930005      4.140626
      0.416071      7.665199      7.296409      6.980666      4.160707
      0.418074      7.719832      7.348838      7.031327      4.180740
      0.420073      7.774465      7.401268      7.081988      4.200725
      0.422066      7.829098      7.453697      7.132650      4.220663
      0.424055      7.883731      7.506127      7.183311      4.240554
      0.426040      7.938363      7.558557      7.233972      4.260398
      0.428020      7.992996      7.610986      7.284633      4.280196
      0.429995      8.047629      7.663416      7.335294      4.299948
      0.431966      8.102262      7.715845      7.385956      4.319656
      0.433932      8.156894      7.768275      7.436617      4.339318
      0.435894      8.211527      7.820705      7.487278      4.358936
      0.437851      8.266160      7.873134      7.537939      4.378510
      0.439804      8.320793      7.925564      7.588600      4.398040
      0.441753      8.375426      7.977993      7.639262      4.417527
      0.443697      8.430058      8.030423      7.689923      4.436971
      0.445637      8.484691      8.082852      7.740584      4.456372
      0.447573      8.539324      8.135282      7.791245      4.475732
      0.449505      8.593957      8.187712      7.841906      4.495049
      0.451433      8.648590      8.240141      7.892568      4.514325
      0.453356      8.703222      8.292571      7.943229      4.533560
      0.455275      8.757855      8.345000      7.993890      4.552755
      0.457191      8.812488      8.397430      8.044551      4.571909
      0.459102      8.867121      8.449859      8.095212      4.591023
      0.461010      8.921753      8.502289      8.145874      4.610097
      0.462913      8.976386      8.554719      8.196535      4.629132
      0.464813      9.031019      8.607148      8.247196      4.648128
      0.466708      9.085652      8.659578      8.297857      4.667085
      0.468600      9.140285      8.712007      8.348518      4.686003
      0.470488      9.194917      8.764437      8.399180      4.704884
      0.472373      9.249550      8.816867      8.449841      4.723727
      0.474253      9.304183      8.869296      8.500502      4.742532
      0.476130      9.358816      8.921726      8.551163      4.761300
      0.478003      9.413448      8.974155      8.601824      4.780031
      0.479873      9.468081      9.026585      8.652485      4.798725
      0.481738      9.522714      9.079014      8.703147      4.817384
      0.483601      9.577347      9.131444      8.753808      4.836006
      0.485459      9.631980      9.183874      8.804469      4.854592
      0.487314      9.686612      9.236303      8.855130      4.873143
      0.489166      9.741245      9.288733      8.905791      4.891658
      0.491014      9.795878      9.341162      8.956453      4.910139
      0.492858      9.850511      9.393592      9.007114      4.928585
      0.494700      9.905144      9.446021      9.057775      4.946996
      0.496537      9.959776      9.498451      9.108436      4.965373
      0.498372     10.014409      9.550881      9.159097      4.983716
      0.500203     10.069042      9.603310      9.209759      5.002026
      0.502030     10.123675      9.655740      9.260420      5.020302
      0.503855     10.178307      9.708169      9.311081      5.038545
      0.505675     10.232940      9.760599      9.361742      5.056755
      0.507493     10.287573      9.813029      9.412403      5.074932
      0.509308     10.342206      9.865458      9.463065      5.093077
      0.511119     10.396839      9.917888      9.513726      5.111189
      0.512927     10.451471      9.970317      9.564387      5.129270
      0.514732     10.506104     10.022747      9.615048      5.147318
      0.516534     10.560737     10.075176      9.665709      5.165335
      0.518332     10.615370     10.127606      9.716371      5.183321
      0.520128     10.670002     10.180036      9.767032      5.201275
      0.521920     10.724635     10.232465      9.817693      5.219199
      0.523709     10.779268     10.284895      9.868354      5.237092
      0.525495     10.833901     10.337324      9.919015      5.254954
      0.527279     10.888534     10.389754      9.969677      5.272786
      0.529059     10.943166     10.442183     10.020338      5.290588
      0.530836     10.997799     10.494613     10.070999      5.308360
      0.532610     11.052432     10.547043     10.121660      5.326102
      0.534382     11.107065     10.599472     10.172321      5.343815
      0.536150     11.161697     10.651902     10.222983      5.361499
      0.537915     11.216330     10.704331     10.273644      5.379153
      0.539678     11.270963     10.756761     10.324305      5.396778
      0.541438     11.325596     10.809191     10.374966      5.414375
      0.543194     11.380229     10.861620     10.425627      5.431943
      0.544948     11.434861     10.914050     10.476289      5.449483
      0.546699     11.489494     10.966479     10.526950      5.466995
      0.548448     11.544127     11.018909     10.577611      5.484478
      0.550193     11.598760     11.071338     10.628272      5.501934
      0.551936     11.653393     11.123768     10.678933      5.519362
      0.553676     11.708025     11.176198     10.729595      5.536763
      0.555414     11.762658     11.228627     10.780256      5.554136
      0.557148     11.817291     11.281057     10.830917      5.571483
      0.558880     11.871924     11.333486     10.881578      5.588802
      0.560609     11.926556     11.385916     10.932239      5.606095
      0.562336     11.981189     11.438346     10.982901      5.623360
      0.564060     12.035822     11.490775     11.033562      5.640600
      0.565781     12.090455     11.543205     11.084223      5.657813
      0.567500     12.145088     11.595634     11.134884      5.675000
      0.569216     12.199720     11.648064     11.185545      5.692161
      0.570930     12.254353     11.700493     11.236207      5.709296
      0.572641     12.308986     11.752923     11.286868      5.726405
      0.574349     12.363619     11.805353     11.337529      5.743489
      0.576055     12.418251     11.857782     11.388190      5.760548
      0.577758     12.472884     11.910212     11.438851      5.777581
      0.579459     12.527517     11.962641     11.489513      5.794590
      0.581157     12.582150     12.015071     11.540174      5.811573
      0.582853     12.636783     12.067500     11.590835      5.828531
      0.584547     12.691415     12.119930     11.641496      5.845465
      0.586237     12.746048     12.172360     11.692157      5.862375
      0.587926     12.800681     12.224789     11.742818      5.879260
      0.589612     12.855314     12.277219     11.793480      5.896121
      0.591296     12.909947     12.329648     11.844141      5.912958
      0.592977     12.964579     12.382078     11.894802      5.929771
      0.594656     13.019212     12.434508     11.945463      5.946560
      0.596333     13.073845     12.486937     11.996124      5.963325
      0.598007     13.128478     12.539367     12.046786      5.980067
      0.599679     13.183110     12.591796     12.097447      5.996785
      0.601348     13.237743     12.644226     12.148108      6.013481
      0.603015     13.292376     12.696655     12.198769      6.030153
      0.604680     13.347009     12.749085     12.249430      6.046802
      0.606343     13.401642     12.801515     12.300092      6.063428
      0.608003     13.456274     12.853944     12.350753      6.080031
      0.609661     13.510907     12.906374     12.401414      6.096612
      0.611317     13.565540     12.958803     12.452075      6.113170
      0.612971     13.620173     13.011233     12.502736      6.129706
      0.614622     13.674805     13.063662     12.553398      6.146220
      0.616271     13.729438     13.116092     12.604059      6.162711
      0.617918     13.784071     13.168522     12.654720      6.179180
      0.619563     13.838704     13.220951     12.705381      6.195628
      0.621205     13.893337     13.273381     12.756042      6.212053
      0.622846     13.947969     13.325810     12.806704      6.228457
      0.624484     14.002602     13.378240     12.857365      6.244840
      0.626120     14.057235     13.430670     12.908026      6.261201
      0.627754     14.111868     13.483099     12.958687      6.277540
      0.629386     14.166501     13.535529     13.009348      6.293859
      0.631016     14.221133     13.587958     13.060010      6.310156
      0.632643     14.275766     13.640388     13.110671      6.326432
      0.634269     14.330399     13.692817     13.161332      6.342687
      0.635892     14.385032     13.745247     13.211993      6.358922
      0.637514     14.439664     13.797677     13.262654      6.375136
      0.639133     14.494297     13.850106     13.313316      6.391329
      0.640750     14.548930     13.902536     13.363977      6.407501
      0.642365     14.603563     13.954965     13.414638      6.423654
      0.643979     14.658196     14.007395     13.465299      6.439786
      0.645590     14.712828     14.059824     13.515960      6.455898
      0.647199     14.767461     14.112254     13.566622      6.471989
      0.648806     14.822094     14.164684     13.617283      6.488061
      0.650411     14.876727     14.217113     13.667944      6.504113
      0.652015     14.931359     14.269543     13.718605      6.520145
      0.653616     14.985992     14.321972     13.769266      6.536158
      0.655215     15.040625     14.374402     13.819928      6.552151
      0.656812     15.095258     14.426832     13.870589      6.568124
      0.658408     15.149891     14.479261     13.921250      6.584078
      0.660001     15.204523     14.531691     13.971911      6.600013
      0.661593     15.259156     14.584120     14.022572      6.615928
      0.663182     15.313789     14.636550     14.073234      6.631824
      0.664770     15.368422     14.688979     14.123895      6.647702
      0.666356     15.423055     14.741409     14.174556      6.663560
      0.667940     15.477687     14.793839     14.225217      6.679399
      0.669522     15.532320     14.846268     14.275878      6.695220
      0.671102     15.586953     14.898698     14.326540      6.711022
      0.672681     15.641586     14.951127     14.377201      6.726806
      0.674257     15.696218     15.003557     14.427862      6.742571
      0.675832     15.750851     15.055986     14.478523      6.758317
      0.677405     15.805484     15.108416     14.529184      6.774046
      0.678976     15.860117     15.160846     14.579846      6.789756
