  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000   0.00000
Number of "drawing" timesteps:    499
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.800000      0.600000      1.000000
      0.104059      1.050633      0.845529      0.642326      1.040585
      0.108039      1.100880      0.890506      0.683868      1.080394
      0.111948      1.150763      0.934962      0.724671      1.119482
      0.115790      1.200299      0.978924      0.764772      1.157899
      0.119569      1.249505      1.022416      0.804208      1.195689
      0.123289      1.298396      1.065462      0.843011      1.232892
      0.126954      1.346988      1.108082      0.881211      1.269540
      0.130567      1.395293      1.150296      0.918836      1.305668
      0.134130      1.443324      1.192121      0.955910      1.341302
      0.137647      1.491092      1.233575      0.992459      1.376469
      0.141119      1.538608      1.274671      1.028502      1.411193
      0.144549      1.585881      1.315426      1.064061      1.445494
      0.147939      1.632922      1.355851      1.099155      1.479393
      0.151291      1.679738      1.395959      1.133800      1.512908
      0.154606      1.726338      1.435763      1.168014      1.546055
      0.157885      1.772729      1.475272      1.201811      1.578852
      0.161131      1.818918      1.514496      1.235207      1.611311
      0.164345      1.864913      1.553446      1.268214      1.643446
      0.167527      1.910720      1.592131      1.300847      1.675270
      0.170679      1.956344      1.630558      1.333115      1.706794
      0.173803      2.001791      1.668737      1.365032      1.738031
      0.176899      2.047067      1.706674      1.396607      1.768988
      0.179968      2.092177      1.744377      1.427852      1.799678
      0.183011      2.137126      1.781852      1.458775      1.830108
      0.186029      2.181918      1.819107      1.489386      1.860287
      0.189022      2.226557      1.856147      1.519693      1.890223
      0.191992      2.271048      1.892978      1.549705      1.919923
      0.194940      2.315395      1.929606      1.579430      1.949396
      0.197865      2.359602      1.966036      1.608876      1.978648
      0.200769      2.403672      2.002273      1.638048      2.007685
      0.203651      2.447608      2.038322      1.666956      2.036514
      0.206514      2.491415      2.074188      1.695604      2.065140
      0.209357      2.535094      2.109875      1.723999      2.093569
      0.212181      2.578650      2.145388      1.752147      2.121806
      0.214986      2.622085      2.180730      1.780055      2.149856
      0.217773      2.665402      2.215905      1.807726      2.177725
      0.220542      2.708603      2.250917      1.835168      2.205417
      0.223294      2.751692      2.285771      1.862385      2.232935
      0.226029      2.794670      2.320468      1.889382      2.260286
      0.228747      2.837540      2.355014      1.916163      2.287471
      0.231450      2.880305      2.389410      1.942733      2.314497
      0.234136      2.922966      2.423660      1.969097      2.341365
      0.236808      2.965526      2.457767      1.995258      2.368080
      0.239464      3.007986      2.491734      2.021221      2.394645
      0.242106      3.050350      2.525563      2.046990      2.421063
      0.244734      3.092618      2.559258      2.072569      2.447339
      0.247347      3.134792      2.592821      2.097960      2.473474
      0.249947      3.176875      2.626254      2.123169      2.499471
      0.252533      3.218868      2.659560      2.148197      2.525334
      0.255107      3.260773      2.692741      2.173049      2.551066
      0.257667      3.302591      2.725800      2.197728      2.576668
      0.260214      3.344324      2.758738      2.222236      2.602143
      0.262749      3.385974      2.791558      2.246577      2.627495
      0.265272      3.427541      2.824262      2.270754      2.652725
      0.267783      3.469028      2.856851      2.294770      2.677835
      0.270283      3.510436      2.889329      2.318626      2.702828
      0.272771      3.551765      2.921696      2.342327      2.727706
      0.275247      3.593019      2.953955      2.365874      2.752471
      0.277713      3.634197      2.986107      2.389270      2.777126
      0.280167      3.675301      3.018154      2.412517      2.801671
      0.282611      3.716332      3.050098      2.435618      2.826109
      0.285044      3.757291      3.081940      2.458576      2.850442
      0.287467      3.798180      3.113683      2.481392      2.874672
      0.289880      3.838999      3.145326      2.504068      2.898800
      0.292283      3.879750      3.176873      2.526607      2.922828
      0.294676      3.920434      3.208324      2.549011      2.946758
      0.297059      3.961052      3.239681      2.571281      2.970590
      0.299433      4.001604      3.270945      2.593420      2.994328
      0.301797      4.042092      3.302118      2.615430      3.017972
      0.304152      4.082517      3.333201      2.637312      3.041524
      0.306498      4.122879      3.364195      2.659069      3.064984
      0.308836      4.163179      3.395101      2.680701      3.088356
      0.311164      4.203419      3.425922      2.702212      3.111639
      0.313484      4.243599      3.456657      2.723602      3.134835
      0.315795      4.283720      3.487308      2.744873      3.157946
