  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000   0.00000
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612852      0.104059      1.050633      0.845529      0.642326      1.040585
      0.648355      0.108039      1.100880      0.890506      0.683868      1.080394
      0.683857      0.111948      1.150763      0.934962      0.724671      1.119482
      0.719359      0.115790      1.200299      0.978924      0.764772      1.157899
      0.754861      0.119569      1.249505      1.022416      0.804208      1.195689
      0.790363      0.123289      1.298396      1.065462      0.843011      1.232892
      0.825865      0.126954      1.346988      1.108082      0.881211      1.269540
      0.861367      0.130567      1.395293      1.150296      0.918836      1.305668
      0.896870      0.134130      1.443324      1.192121      0.955910      1.341302
      0.932372      0.137647      1.491092      1.233575      0.992459      1.376469
      0.967874      0.141119      1.538608      1.274671      1.028502      1.411193
      1.003376      0.144549      1.585881      1.315426      1.064061      1.445494
      1.038878      0.147939      1.632922      1.355851      1.099155      1.479393
      1.074380      0.151291      1.679738      1.395959      1.133800      1.512908
      1.109882      0.154606      1.726338      1.435763      1.168014      1.546055
      1.145385      0.157885      1.772729      1.475272      1.201811      1.578852
      1.180887      0.161131      1.818918      1.514496      1.235207      1.611311
      1.216389      0.164345      1.864913      1.553446      1.268214      1.643446
      1.251891      0.167527      1.910720      1.592131      1.300847      1.675270
      1.287393      0.170679      1.956344      1.630558      1.333115      1.706794
      1.322895      0.173803      2.001791      1.668737      1.365032      1.738031
      1.358397      0.176899      2.047067      1.706674      1.396607      1.768988
      1.393900      0.179968      2.092177      1.744377      1.427852      1.799678
      1.429402      0.183011      2.137126      1.781852      1.458775      1.830108
      1.464904      0.186029      2.181918      1.819107      1.489386      1.860287
      1.500406      0.189022      2.226557      1.856147      1.519693      1.890223
      1.535908      0.191992      2.271048      1.892978      1.549705      1.919923
      1.571410      0.194940      2.315395      1.929606      1.579430      1.949396
      1.606912      0.197865      2.359602      1.966036      1.608876      1.978648
      1.642415      0.200769      2.403672      2.002273      1.638048      2.007685
      1.677917      0.203651      2.447608      2.038322      1.666956      2.036514
      1.713419      0.206514      2.491415      2.074188      1.695604      2.065140
      1.748921      0.209357      2.535094      2.109875      1.723999      2.093569
      1.784423      0.212181      2.578650      2.145388      1.752147      2.121806
      1.819925      0.214986      2.622085      2.180730      1.780055      2.149856
      1.855427      0.217773      2.665402      2.215905      1.807726      2.177725
      1.890930      0.220542      2.708603      2.250917      1.835168      2.205417
      1.926432      0.223294      2.751692      2.285771      1.862385      2.232935
      1.961934      0.226029      2.794670      2.320468      1.889382      2.260286
      1.997436      0.228747      2.837540      2.355014      1.916163      2.287471
      2.032938      0.231450      2.880305      2.389410      1.942733      2.314497
