  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   1.00000   1.00000   0.00000   0.00000   0.00000   0.10000   0.00000
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      3.872433      0.355656      4.458796      4.458796      4.458796      3.556556
      3.907864      0.357822      4.483442      4.483442      4.483442      3.578217
      3.943295      0.359981      4.507885      4.507885      4.507885      3.599813
      3.978726      0.362134      4.532126      4.532126      4.532126      3.621344
      4.014157      0.364281      4.556167      4.556167      4.556167      3.642811
      4.049588      0.366422      4.580008      4.580008      4.580008      3.664215
      4.085019      0.368556      4.603651      4.603651      4.603651      3.685557
      4.120450      0.370684      4.627098      4.627098      4.627098      3.706837
      4.155881      0.372806      4.650350      4.650350      4.650350      3.728057
      4.191312      0.374922      4.673407      4.673407      4.673407      3.749216
      4.226743      0.377032      4.696271      4.696271      4.696271      3.770315
      4.262174      0.379136      4.718944      4.718944      4.718944      3.791356
      4.297605      0.381234      4.741426      4.741426      4.741426      3.812338
      4.333036      0.383326      4.763718      4.763718      4.763718      3.833263
      4.368467      0.385413      4.785823      4.785823      4.785823      3.854131
      4.403898      0.387494      4.807741      4.807741      4.807741      3.874942
      4.439329      0.389570      4.829473      4.829473      4.829473      3.895698
      4.474760      0.391640      4.851020      4.851020      4.851020      3.916399
      4.510191      0.393705      4.872383      4.872383      4.872383      3.937045
      4.545622      0.395764      4.893565      4.893565      4.893565      3.957637
      4.581053      0.397818      4.914565      4.914565      4.914565      3.978176
      4.616484      0.399866      4.935385      4.935385      4.935385      3.998662
      4.651915      0.401910      4.956025      4.956025      4.956025      4.019095
      4.687346      0.403948      4.976488      4.976488      4.976488      4.039477
      4.722777      0.405981      4.996773      4.996773      4.996773      4.059807
      4.758208      0.408009      5.016883      5.016883      5.016883      4.080087
      4.793639      0.410032      5.036818      5.036818      5.036818      4.100316
      4.829070      0.412050      5.056579      5.056579      5.056579      4.120495
      4.864501      0.414063      5.076167      5.076167      5.076167      4.140626
      4.899932      0.416071      5.095584      5.095584      5.095584      4.160707
      4.935363      0.418074      5.114829      5.114829      5.114829      4.180740
      4.970794      0.420073      5.133905      5.133905      5.133905      4.200725
      5.006225      0.422066      5.152812      5.152812      5.152812      4.220663
      5.041656      0.424055      5.171551      5.171551      5.171551      4.240554
      5.077087      0.426040      5.190123      5.190123      5.190123      4.260398
      5.112518      0.428020      5.208530      5.208530      5.208530      4.280196
      5.147949      0.429995      5.226771      5.226771      5.226771      4.299948
      5.183380      0.431966      5.244848      5.244848      5.244848      4.319656
      5.218811      0.433932      5.262763      5.262763      5.262763      4.339318
      5.254242      0.435894      5.280515      5.280515      5.280515      4.358936
      5.289673      0.437851      5.298105      5.298105      5.298105      4.378510
      5.325104      0.439804      5.315536      5.315536      5.315536      4.398040
      5.360535      0.441753      5.332807      5.332807      5.332807      4.417527
      5.395966      0.443697      5.349919      5.349919      5.349919      4.436971
      5.431397      0.445637      5.366874      5.366874      5.366874      4.456372
