  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      4.092063      0.368979    374.151319     38.499298     15.642729      3.689792
      4.127565      0.371110    390.331363     39.096211     15.829501      3.711103
      4.163067      0.373235    407.156000     39.695037     16.016401      3.732353
      4.198569      0.375354    424.649160     40.295726     16.203425      3.753542
      4.234071      0.377467    442.835595     40.898227     16.390568      3.774672
      4.269573      0.379574    461.740913     41.502491     16.577824      3.795742
      4.305076      0.381675    481.391602     42.108470     16.765191      3.816755
      4.340578      0.383771    501.815057     42.716117     16.952664      3.837710
      4.376080      0.385861    523.039611     43.325386     17.140238      3.858607
      4.411582      0.387945    545.094563     43.936232     17.327911      3.879448
      4.447084      0.390023    568.010206     44.548611     17.515679      3.900234
      4.482586      0.392096    591.817866     45.162482     17.703538      3.920964
      4.518088      0.394164    616.549924     45.777802     17.891484      3.941639
      4.553591      0.396226    642.239858     46.394531     18.079515      3.962261
      4.589093      0.398283    668.922272     47.012629     18.267628      3.982829
      4.624595      0.400334    696.632931     47.632058     18.455819      4.003344
      4.660097      0.402381    725.408801     48.252779     18.644085      4.023806
      4.695599      0.404422    755.288082     48.874758     18.832424      4.044217
      4.731101      0.406458    786.310246     49.497957     19.020834      4.064576
      4.766603      0.408488    818.516081     50.122343     19.209311      4.084884
      4.802106      0.410514    851.947726     50.747880     19.397853      4.105142
      4.837608      0.412535    886.648715     51.374537     19.586458      4.125350
      4.873110      0.414551    922.664018     52.002281     19.775123      4.145509
      4.908612      0.416562    960.040088     52.631081     19.963847      4.165619
      4.944114      0.418568    998.824901     53.260907     20.152627      4.185681
      4.979616      0.420569   1039.068009     53.891728     20.341460      4.205694
      5.015118      0.422566   1080.820579     54.523516     20.530346      4.225660
      5.050621      0.424558   1124.135452     55.156244     20.719283      4.245579
      5.086123      0.426545   1169.067183     55.789883     20.908267      4.265451
      5.121625      0.428528   1215.672101     56.424408     21.097299      4.285277
      5.157127      0.430506   1264.008356     57.059792     21.286376      4.305058
      5.192629      0.432479   1314.135980     57.696011     21.475495      4.324793
      5.228131      0.434448   1366.116934     58.333040     21.664657      4.344483
      5.263633      0.436413   1420.015176     58.970856     21.853860      4.364128
      5.299136      0.438373   1475.896712     59.609434     22.043101      4.383730
      5.334638      0.440329   1533.829660     60.248754     22.232379      4.403287
      5.370140      0.442280   1593.884312     60.888793     22.421694      4.422802
