  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.15517
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.277230      1.458608      1.851760      1.000000
      0.612781      0.104050      1.288293      1.460939      1.826988      1.040505
      0.648212      0.108024      1.298309      1.463021      1.805475      1.080236
      0.683643      0.111925      1.307420      1.464893      1.786618      1.119249
      0.719074      0.115759      1.315743      1.466584      1.769954      1.157594
      0.754505      0.119531      1.323377      1.468120      1.755121      1.195314
      0.789936      0.123245      1.330403      1.469521      1.741833      1.232448
      0.825367      0.126903      1.336892      1.470804      1.729861      1.269030
      0.860798      0.130509      1.342902      1.471983      1.719018      1.305093
      0.896229      0.134066      1.348486      1.473071      1.709153      1.340664
      0.931660      0.137577      1.353686      1.474077      1.700137      1.375769
      0.967091      0.141043      1.358541      1.475011      1.691867      1.410432
      1.002522      0.144467      1.363084      1.475880      1.684253      1.444674
      1.037953      0.147851      1.367344      1.476690      1.677220      1.478515
      1.073384      0.151197      1.371347      1.477448      1.670705      1.511973
      1.108815      0.154506      1.375116      1.478158      1.664651      1.545064
      1.144246      0.157781      1.378670      1.478825      1.659013      1.577805
      1.179677      0.161021      1.382028      1.479452      1.653747      1.610210
      1.215108      0.164229      1.385204      1.480044      1.648819      1.642292
      1.250539      0.167406      1.388214      1.480602      1.644198      1.674064
      1.285970      0.170554      1.391071      1.481129      1.639854      1.705537
      1.321401      0.173672      1.393785      1.481629      1.635765      1.736722
      1.356832      0.176763      1.396367      1.482103      1.631908      1.767629
      1.392263      0.179827      1.398826      1.482553      1.628264      1.798269
      1.427694      0.182865      1.401171      1.482981      1.624816      1.828650
      1.463125      0.185878      1.403411      1.483389      1.621549      1.858780
      1.498556      0.188867      1.405550      1.483778      1.618448      1.888669
      1.533987      0.191832      1.407598      1.484148      1.615501      1.918322
      1.569418      0.194775      1.409558      1.484502      1.612698      1.947749
      1.604849      0.197695      1.411437      1.484841      1.610027      1.976954
      1.640280      0.200595      1.413239      1.485165      1.607480      2.005945
      1.675711      0.203473      1.414970      1.485476      1.605049      2.034729
      1.711142      0.206331      1.416632      1.485774      1.602725      2.063310
      1.746573      0.209169      1.418231      1.486060      1.600501      2.091695
      1.782004      0.211989      1.419770      1.486334      1.598372      2.119888
      1.817435      0.214789      1.421252      1.486598      1.596331      2.147895
      1.852866      0.217572      1.422680      1.486852      1.594373      2.175721
      1.888297      0.220337      1.424058      1.487097      1.592493      2.203369
      1.923728      0.223085      1.425387      1.487333      1.590686      2.230846
      1.959159      0.225815      1.426670      1.487560      1.588949      2.258154
      1.994590      0.228530      1.427910      1.487779      1.587277      2.285298
      2.030021      0.231228      1.429109      1.487991      1.585667      2.312282
      2.065452      0.233911      1.430268      1.488195      1.584115      2.339109
      2.100883      0.236578      1.431391      1.488393      1.582618      2.365784
      2.136314      0.239231      1.432477      1.488584      1.581174      2.392308
      2.171745      0.241869      1.433530      1.488768      1.579779      2.418687
      2.207176      0.244492      1.434551      1.488947      1.578431      2.444922
      2.242607      0.247102      1.435540      1.489121      1.577129      2.471018
      2.278038      0.249698      1.436500      1.489289      1.575868      2.496976
      2.313469      0.252280      1.437432      1.489452      1.574649      2.522800
      2.348900      0.254849      1.438337      1.489610      1.573467      2.548493
      2.384331      0.257406      1.439216      1.489763      1.572323      2.574057
      2.419762      0.259949      1.440071      1.489912      1.571214      2.599494
      2.455193      0.262481      1.440902      1.490057      1.570138      2.624808
      2.490624      0.265000      1.441710      1.490197      1.569094      2.650000
      2.526055      0.267507      1.442496      1.490334      1.568081      2.675073
      2.561486      0.270003      1.443261      1.490467      1.567097      2.700029
      2.596917      0.272487      1.444006      1.490596      1.566142      2.724870
      2.632348      0.274960      1.444732      1.490722      1.565213      2.749599
      2.667779      0.277422      1.445440      1.490844      1.564309      2.774216
      2.703210      0.279873      1.446129      1.490963      1.563431      2.798725
      2.738641      0.282313      1.446801      1.491080      1.562576      2.823128
      2.774072      0.284742      1.447457      1.491193      1.561744      2.847425
      2.809503      0.287162      1.448097      1.491303      1.560934      2.871619
      2.844934      0.289571      1.448721      1.491411      1.560144      2.895711
      2.880365      0.291970      1.449331      1.491516      1.559375      2.919704
      2.915796      0.294360      1.449926      1.491618      1.558625      2.943598
      2.951227      0.296740      1.450507      1.491719      1.557894      2.967396
      2.986658      0.299110      1.451075      1.491816      1.557181      2.991099
      3.022089      0.301471      1.451630      1.491912      1.556486      3.014708
