  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.10000
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612781      0.104050      1.051713      0.847023      0.644457      1.040505
      0.648212      0.108024      1.103425      0.894046      0.688914      1.080236
      0.683643      0.111925      1.155138      0.941069      0.733371      1.119249
      0.719074      0.115759      1.206850      0.988092      0.777829      1.157594
      0.754505      0.119531      1.258563      1.035115      0.822286      1.195314
      0.789936      0.123245      1.310275      1.082138      0.866743      1.232448
      0.825367      0.126903      1.361988      1.129161      0.911200      1.269030
      0.860798      0.130509      1.413701      1.176184      0.955657      1.305093
      0.896229      0.134066      1.465413      1.223207      1.000114      1.340664
      0.931660      0.137577      1.517126      1.270230      1.044571      1.375769
      0.967091      0.141043      1.568838      1.317253      1.089028      1.410432
      1.002522      0.144467      1.620551      1.364276      1.133486      1.444674
      1.037953      0.147851      1.672263      1.411299      1.177943      1.478515
      1.073384      0.151197      1.723976      1.458322      1.222400      1.511973
      1.108815      0.154506      1.775689      1.505345      1.266857      1.545064
      1.144246      0.157781      1.827401      1.552367      1.311314      1.577805
      1.179677      0.161021      1.879114      1.599390      1.355771      1.610210
      1.215108      0.164229      1.930826      1.646413      1.400228      1.642292
      1.250539      0.167406      1.982539      1.693436      1.444686      1.674064
      1.285970      0.170554      2.034251      1.740459      1.489143      1.705537
      1.321401      0.173672      2.085964      1.787482      1.533600      1.736722
      1.356832      0.176763      2.137677      1.834505      1.578057      1.767629
      1.392263      0.179827      2.189389      1.881528      1.622514      1.798269
      1.427694      0.182865      2.241102      1.928551      1.666971      1.828650
      1.463125      0.185878      2.292814      1.975574      1.711428      1.858780
      1.498556      0.188867      2.344527      2.022597      1.755886      1.888669
      1.533987      0.191832      2.396240      2.069620      1.800343      1.918322
      1.569418      0.194775      2.447952      2.116643      1.844800      1.947749
      1.604849      0.197695      2.499665      2.163666      1.889257      1.976954
      1.640280      0.200595      2.551377      2.210689      1.933714      2.005945
      1.675711      0.203473      2.603090      2.257712      1.978171      2.034729
      1.711142      0.206331      2.654802      2.304735      2.022628      2.063310
      1.746573      0.209169      2.706515      2.351758      2.067085      2.091695
      1.782004      0.211989      2.758228      2.398781      2.111543      2.119888
      1.817435      0.214789      2.809940      2.445804      2.156000      2.147895
      1.852866      0.217572      2.861653      2.492827      2.200457      2.175721
      1.888297      0.220337      2.913365      2.539850      2.244914      2.203369
      1.923728      0.223085      2.965078      2.586873      2.289371      2.230846
      1.959159      0.225815      3.016790      2.633896      2.333828      2.258154
      1.994590      0.228530      3.068503      2.680919      2.378285      2.285298
      2.030021      0.231228      3.120216      2.727942      2.422743      2.312282
      2.065452      0.233911      3.171928      2.774965      2.467200      2.339109
      2.100883      0.236578      3.223641      2.821988      2.511657      2.365784
      2.136314      0.239231      3.275353      2.869011      2.556114      2.392308
      2.171745      0.241869      3.327066      2.916034      2.600571      2.418687
      2.207176      0.244492      3.378778      2.963056      2.645028      2.444922
      2.242607      0.247102      3.430491      3.010079      2.689485      2.471018
      2.278038      0.249698      3.482204      3.057102      2.733942      2.496976
      2.313469      0.252280      3.533916      3.104125      2.778400      2.522800
      2.348900      0.254849      3.585629      3.151148      2.822857      2.548493
      2.384331      0.257406      3.637341      3.198171      2.867314      2.574057
      2.419762      0.259949      3.689054      3.245194      2.911771      2.599494
      2.455193      0.262481      3.740766      3.292217      2.956228      2.624808
      2.490624      0.265000      3.792479      3.339240      3.000685      2.650000
      2.526055      0.267507      3.844192      3.386263      3.045142      2.675073
      2.561486      0.270003      3.895904      3.433286      3.089600      2.700029
      2.596917      0.272487      3.947617      3.480309      3.134057      2.724870
      2.632348      0.274960      3.999329      3.527332      3.178514      2.749599
      2.667779      0.277422      4.051042      3.574355      3.222971      2.774216
      2.703210      0.279873      4.102754      3.621378      3.267428      2.798725
      2.738641      0.282313      4.154467      3.668401      3.311885      2.823128
      2.774072      0.284742      4.206180      3.715424      3.356342      2.847425
      2.809503      0.287162      4.257892      3.762447      3.400800      2.871619
      2.844934      0.289571      4.309605      3.809470      3.445257      2.895711
      2.880365      0.291970      4.361317      3.856493      3.489714      2.919704
      2.915796      0.294360      4.413030      3.903516      3.534171      2.943598
      2.951227      0.296740      4.464742      3.950539      3.578628      2.967396
      2.986658      0.299110      4.516455      3.997562      3.623085      2.991099
      3.022089      0.301471      4.568168      4.044585      3.667542      3.014708
      3.057520      0.303823      4.619880      4.091608      3.711999      3.038225
      3.092951      0.306165      4.671593      4.138631      3.756457      3.061652
      3.128382      0.308499      4.723305      4.185654      3.800914      3.084989
      3.163813      0.310824      4.775018      4.232677      3.845371      3.108238
      3.199244      0.313140      4.826730      4.279700      3.889828      3.131401
      3.234675      0.315448      4.878443      4.326723      3.934285      3.154478
      3.270106      0.317747      4.930156      4.373745      3.978742      3.177471
      3.305537      0.320038      4.981868      4.420768      4.023199      3.200382
      3.340968      0.322321      5.033581      4.467791      4.067657      3.223210
      3.376399      0.324596      5.085293      4.514814      4.112114      3.245958
      3.411830      0.326863      5.137006      4.561837      4.156571      3.268627
      3.447261      0.329122      5.188719      4.608860      4.201028      3.291217
      3.482692      0.331373      5.240431      4.655883      4.245485      3.313730
      3.518123      0.333617      5.292144      4.702906      4.289942      3.336167
      3.553554      0.335853      5.343856      4.749929      4.334399      3.358529
      3.588985      0.338082      5.395569      4.796952      4.378857      3.380816
      3.624416      0.340303      5.447281      4.843975      4.423314      3.403030
      3.659847      0.342517      5.498994      4.890998      4.467771      3.425172
      3.695278      0.344724      5.550707      4.938021      4.512228      3.447243
      3.730709      0.346924      5.602419      4.985044      4.556685      3.469243
      3.766140      0.349117      5.654132      5.032067      4.601142      3.491173
      3.801571      0.351304      5.705844      5.079090      4.645599      3.513035
      3.837002      0.353483      5.757557      5.126113      4.690056      3.534829
      3.872433      0.355656      5.809269      5.173136      4.734514      3.556556
      3.907864      0.357822      5.860982      5.220159      4.778971      3.578217
      3.943295      0.359981      5.912695      5.267182      4.823428      3.599813
      3.978726      0.362134      5.964407      5.314205      4.867885      3.621344
      4.014157      0.364281      6.016120      5.361228      4.912342      3.642811
      4.049588      0.366422      6.067832      5.408251      4.956799      3.664215
      4.085019      0.368556      6.119545      5.455274      5.001256      3.685557
      4.120450      0.370684      6.171257      5.502297      5.045714      3.706837
      4.155881      0.372806      6.222970      5.549320      5.090171      3.728057
      4.191312      0.374922      6.274683      5.596343      5.134628      3.749216
      4.226743      0.377032      6.326395      5.643366      5.179085      3.770315
      4.262174      0.379136      6.378108      5.690389      5.223542      3.791356
      4.297605      0.381234      6.429820      5.737412      5.267999      3.812338
      4.333036      0.383326      6.481533      5.784434      5.312456      3.833263
      4.368467      0.385413      6.533245      5.831457      5.356913      3.854131
      4.403898      0.387494      6.584958      5.878480      5.401371      3.874942
      4.439329      0.389570      6.636671      5.925503      5.445828      3.895698
      4.474760      0.391640      6.688383      5.972526      5.490285      3.916399
      4.510191      0.393705      6.740096      6.019549      5.534742      3.937045
      4.545622      0.395764      6.791808      6.066572      5.579199      3.957637
      4.581053      0.397818      6.843521      6.113595      5.623656      3.978176
      4.616484      0.399866      6.895233      6.160618      5.668113      3.998662
      4.651915      0.401910      6.946946      6.207641      5.712571      4.019095
      4.687346      0.403948      6.998659      6.254664      5.757028      4.039477
      4.722777      0.405981      7.050371      6.301687      5.801485      4.059807
      4.758208      0.408009      7.102084      6.348710      5.845942      4.080087
      4.793639      0.410032      7.153796      6.395733      5.890399      4.100316
      4.829070      0.412050      7.205509      6.442756      5.934856      4.120495
      4.864501      0.414063      7.257221      6.489779      5.979313      4.140626
      4.899932      0.416071      7.308934      6.536802      6.023771      4.160707
      4.935363      0.418074      7.360647      6.583825      6.068228      4.180740
      4.970794      0.420073      7.412359      6.630848      6.112685      4.200725
      5.006225      0.422066      7.464072      6.677871      6.157142      4.220663
      5.041656      0.424055      7.515784      6.724894      6.201599      4.240554
      5.077087      0.426040      7.567497      6.771917      6.246056      4.260398
      5.112518      0.428020      7.619209      6.818940      6.290513      4.280196
      5.147949      0.429995      7.670922      6.865963      6.334970      4.299948
      5.183380      0.431966      7.722635      6.912986      6.379428      4.319656
      5.218811      0.433932      7.774347      6.960009      6.423885      4.339318
      5.254242      0.435894      7.826060      7.007032      6.468342      4.358936
      5.289673      0.437851      7.877772      7.054055      6.512799      4.378510
      5.325104      0.439804      7.929485      7.101078      6.557256      4.398040
