  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.70690
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.409639      1.677644      2.258571      1.000000
      0.612781      0.104050      1.414566      1.666234      2.194406      1.040505
      0.648212      0.108024      1.418983      1.656202      2.140249      1.080236
      0.683643      0.111925      1.422966      1.647311      2.093929      1.119249
      0.719074      0.115759      1.426576      1.639378      2.053858      1.157594
      0.754505      0.119531      1.429863      1.632256      2.018853      1.195314
      0.789936      0.123245      1.432868      1.625827      1.988010      1.232448
      0.825367      0.126903      1.435626      1.619993      1.960627      1.269030
      0.860798      0.130509      1.438167      1.614676      1.936155      1.305093
      0.896229      0.134066      1.440514      1.609811      1.914151      1.340664
      0.931660      0.137577      1.442690      1.605342      1.894261      1.375769
      0.967091      0.141043      1.444712      1.601222      1.876194      1.410432
      1.002522      0.144467      1.446597      1.597412      1.859711      1.444674
      1.037953      0.147851      1.448357      1.593879      1.844611      1.478515
      1.073384      0.151197      1.450005      1.590593      1.830728      1.511973
      1.108815      0.154506      1.451551      1.587529      1.817920      1.545064
      1.144246      0.157781      1.453004      1.584666      1.806067      1.577805
      1.179677      0.161021      1.454372      1.581984      1.795066      1.610210
      1.215108      0.164229      1.455664      1.579467      1.784829      1.642292
      1.250539      0.167406      1.456884      1.577100      1.775278      1.674064
      1.285970      0.170554      1.458038      1.574869      1.766346      1.705537
      1.321401      0.173672      1.459133      1.572764      1.757977      1.736722
      1.356832      0.176763      1.460172      1.570775      1.750117      1.767629
      1.392263      0.179827      1.461159      1.568891      1.742722      1.798269
      1.427694      0.182865      1.462099      1.567105      1.735751      1.828650
      1.463125      0.185878      1.462994      1.565409      1.729170      1.858780
      1.498556      0.188867      1.463848      1.563797      1.722947      1.888669
      1.533987      0.191832      1.464663      1.562262      1.717052      1.918322
      1.569418      0.194775      1.465442      1.560799      1.711461      1.947749
      1.604849      0.197695      1.466188      1.559404      1.706151      1.976954
      1.640280      0.200595      1.466902      1.558071      1.701101      2.005945
      1.675711      0.203473      1.467587      1.556797      1.696292      2.034729
      1.711142      0.206331      1.468244      1.555577      1.691709      2.063310
