  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.70690
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.408009      7.805252      7.279247      7.142140      4.080087
      0.410032      7.862934      7.334156      7.197582      4.100316
      0.412050      7.920618      7.389065      7.253024      4.120495
      0.414063      7.978305      7.443974      7.308465      4.140626
      0.416071      8.035994      7.498883      7.363907      4.160707
      0.418074      8.093687      7.553792      7.419349      4.180740
      0.420073      8.151382      7.608701      7.474791      4.200725
      0.422066      8.209081      7.663610      7.530233      4.220663
      0.424055      8.266784      7.718518      7.585675      4.240554
      0.426040      8.324490      7.773427      7.641117      4.260398
      0.428020      8.382200      7.828336      7.696559      4.280196
      0.429995      8.439915      7.883245      7.752000      4.299948
      0.431966      8.497634      7.938154      7.807442      4.319656
      0.433932      8.555357      7.993063      7.862884      4.339318
      0.435894      8.613085      8.047972      7.918326      4.358936
      0.437851      8.670818      8.102881      7.973768      4.378510
      0.439804      8.728557      8.157790      8.029210      4.398040
      0.441753      8.786300      8.212698      8.084652      4.417527
      0.443697      8.844049      8.267607      8.140093      4.436971
      0.445637      8.901804      8.322516      8.195535      4.456372
      0.447573      8.959564      8.377425      8.250977      4.475732
      0.449505      9.017330      8.432334      8.306419      4.495049
      0.451433      9.075103      8.487243      8.361861      4.514325
      0.453356      9.132881      8.542152      8.417303      4.533560
      0.455275      9.190667      8.597061      8.472745      4.552755
      0.457191      9.248458      8.651969      8.528186      4.571909
      0.459102      9.306257      8.706878      8.583628      4.591023
      0.461010      9.364062      8.761787      8.639070      4.610097
      0.462913      9.421874      8.816696      8.694512      4.629132
      0.464813      9.479694      8.871605      8.749954      4.648128
      0.466708      9.537521      8.926514      8.805396      4.667085
      0.468600      9.595355      8.981423      8.860838      4.686003
      0.470488      9.653197      9.036332      8.916279      4.704884
      0.472373      9.711047      9.091240      8.971721      4.723727
      0.474253      9.768905      9.146149      9.027163      4.742532
      0.476130      9.826771      9.201058      9.082605      4.761300
      0.478003      9.884645      9.255967      9.138047      4.780031
      0.479873      9.942527      9.310876      9.193489      4.798725
      0.481738     10.000418      9.365785      9.248931      4.817384
      0.483601     10.058317      9.420694      9.304373      4.836006
      0.485459     10.116225      9.475603      9.359814      4.854592
      0.487314     10.174142      9.530511      9.415256      4.873143
      0.489166     10.232068      9.585420      9.470698      4.891658
      0.491014     10.290003      9.640329      9.526140      4.910139
      0.492858     10.347947      9.695238      9.581582      4.928585
      0.494700     10.405900      9.750147      9.637024      4.946996
      0.496537     10.463863      9.805056      9.692466      4.965373
      0.498372     10.521835      9.859965      9.747907      4.983716
      0.500203     10.579818      9.914874      9.803349      5.002026
      0.502030     10.637810      9.969782      9.858791      5.020302
      0.503855     10.695812     10.024691      9.914233      5.038545
      0.505675     10.753823     10.079600      9.969675      5.056755
      0.507493     10.811846     10.134509     10.025117      5.074932
      0.509308     10.869878     10.189418     10.080559      5.093077
      0.511119     10.927921     10.244327     10.136000      5.111189
      0.512927     10.985974     10.299236     10.191442      5.129270
      0.514732     11.044038     10.354145     10.246884      5.147318
      0.516534     11.102113     10.409053     10.302326      5.165335
      0.518332     11.160198     10.463962     10.357768      5.183321
      0.520128     11.218294     10.518871     10.413210      5.201275
      0.521920     11.276402     10.573780     10.468652      5.219199
      0.523709     11.334520     10.628689     10.524094      5.237092
      0.525495     11.392650     10.683598     10.579535      5.254954
      0.527279     11.450791     10.738507     10.634977      5.272786
      0.529059     11.508944     10.793416     10.690419      5.290588
      0.530836     11.567108     10.848324     10.745861      5.308360
      0.532610     11.625284     10.903233     10.801303      5.326102
      0.534382     11.683472     10.958142     10.856745      5.343815
      0.536150     11.741671     11.013051     10.912187      5.361499
      0.537915     11.799883     11.067960     10.967628      5.379153
      0.539678     11.858106     11.122869     11.023070      5.396778
      0.541438     11.916342     11.177778     11.078512      5.414375
      0.543194     11.974590     11.232687     11.133954      5.431943
      0.544948     12.032850     11.287595     11.189396      5.449483
      0.546699     12.091123     11.342504     11.244838      5.466995
      0.548448     12.149408     11.397413     11.300280      5.484478
      0.550193     12.207706     11.452322     11.355721      5.501934
      0.551936     12.266017     11.507231     11.411163      5.519362
      0.553676     12.324340     11.562140     11.466605      5.536763
      0.555414     12.382677     11.617049     11.522047      5.554136
      0.557148     12.441026     11.671958     11.577489      5.571483
      0.558880     12.499389     11.726867     11.632931      5.588802
      0.560609     12.557764     11.781775     11.688373      5.606095
      0.562336     12.616153     11.836684     11.743815      5.623360
      0.564060     12.674556     11.891593     11.799256      5.640600
      0.565781     12.732972     11.946502     11.854698      5.657813
      0.567500     12.791401     12.001411     11.910140      5.675000
      0.569216     12.849844     12.056320     11.965582      5.692161
      0.570930     12.908301     12.111229     12.021024      5.709296
      0.572641     12.966772     12.166138     12.076466      5.726405
      0.574349     13.025256     12.221046     12.131908      5.743489
      0.576055     13.083755     12.275955     12.187349      5.760548
      0.577758     13.142268     12.330864     12.242791      5.777581
      0.579459     13.200794     12.385773     12.298233      5.794590
      0.581157     13.259336     12.440682     12.353675      5.811573
      0.582853     13.317891     12.495591     12.409117      5.828531
      0.584547     13.376461     12.550500     12.464559      5.845465
      0.586237     13.435045     12.605409     12.520001      5.862375
      0.587926     13.493644     12.660317     12.575442      5.879260
      0.589612     13.552258     12.715226     12.630884      5.896121
      0.591296     13.610887     12.770135     12.686326      5.912958
      0.592977     13.669530     12.825044     12.741768      5.929771
      0.594656     13.728188     12.879953     12.797210      5.946560
      0.596333     13.786861     12.934862     12.852652      5.963325
      0.598007     13.845550     12.989771     12.908094      5.980067
      0.599679     13.904253     13.044680     12.963536      5.996785
      0.601348     13.962972     13.099588     13.018977      6.013481
      0.603015     14.021706     13.154497     13.074419      6.030153
      0.604680     14.080456     13.209406     13.129861      6.046802
      0.606343     14.139221     13.264315     13.185303      6.063428
      0.608003     14.198002     13.319224     13.240745      6.080031
      0.609661     14.256798     13.374133     13.296187      6.096612
      0.611317     14.315611     13.429042     13.351629      6.113170
      0.612971     14.374439     13.483951     13.407070      6.129706
      0.614622     14.433283     13.538859     13.462512      6.146220
      0.616271     14.492143     13.593768     13.517954      6.162711
      0.617918     14.551019     13.648677     13.573396      6.179180
      0.619563     14.609911     13.703586     13.628838      6.195628
      0.621205     14.668819     13.758495     13.684280      6.212053
      0.622846     14.727744     13.813404     13.739722      6.228457
      0.624484     14.786685     13.868313     13.795163      6.244840
      0.626120     14.845642     13.923222     13.850605      6.261201
      0.627754     14.904617     13.978130     13.906047      6.277540
      0.629386     14.963607     14.033039     13.961489      6.293859
      0.631016     15.022615     14.087948     14.016931      6.310156
      0.632643     15.081639     14.142857     14.072373      6.326432
      0.634269     15.140680     14.197766     14.127815      6.342687
      0.635892     15.199738     14.252675     14.183257      6.358922
      0.637514     15.258813     14.307584     14.238698      6.375136
      0.639133     15.317905     14.362493     14.294140      6.391329
      0.640750     15.377015     14.417401     14.349582      6.407501
      0.642365     15.436141     14.472310     14.405024      6.423654
      0.643979     15.495285     14.527219     14.460466      6.439786
      0.645590     15.554447     14.582128     14.515908      6.455898
      0.647199     15.613625     14.637037     14.571350      6.471989
      0.648806     15.672822     14.691946     14.626791      6.488061
      0.650411     15.732036     14.746855     14.682233      6.504113
      0.652015     15.791267     14.801764     14.737675      6.520145
      0.653616     15.850517     14.856672     14.793117      6.536158
      0.655215     15.909784     14.911581     14.848559      6.552151
      0.656812     15.969070     14.966490     14.904001      6.568124
      0.658408     16.028373     15.021399     14.959443      6.584078
      0.660001     16.087694     15.076308     15.014884      6.600013
      0.661593     16.147034     15.131217     15.070326      6.615928
      0.663182     16.206392     15.186126     15.125768      6.631824
      0.664770     16.265768     15.241035     15.181210      6.647702
      0.666356     16.325162     15.295944     15.236652      6.663560
      0.667940     16.384575     15.350852     15.292094      6.679399
      0.669522     16.444007     15.405761     15.347536      6.695220
      0.671102     16.503457     15.460670     15.402978      6.711022
      0.672681     16.562926     15.515579     15.458419      6.726806
      0.674257     16.622413     15.570488     15.513861      6.742571
      0.675832     16.681920     15.625397     15.569303      6.758317
      0.677405     16.741445     15.680306     15.624745      6.774046
      0.678976     16.800990     15.735215     15.680187      6.789756
      0.680545     16.860553     15.790123     15.735629      6.805448
      0.682112     16.920136     15.845032     15.791071      6.821121
      0.683678     16.979738     15.899941     15.846512      6.836777
      0.685242     17.039359     15.954850     15.901954      6.852415
      0.686804     17.098999     16.009759     15.957396      6.868035
      0.688364     17.158659     16.064668     16.012838      6.883638
      0.689922     17.218339     16.119577     16.068280      6.899222
      0.691479     17.278038     16.174486     16.123722      6.914789
      0.693034     17.337757     16.229394     16.179164      6.930339
      0.694587     17.397495     16.284303     16.234605      6.945871
      0.696139     17.457253     16.339212     16.290047      6.961386
      0.697688     17.517032     16.394121     16.345489      6.976884
      0.699236     17.576830     16.449030     16.400931      6.992364
      0.700783     17.636648     16.503939     16.456373      7.007827
      0.702327     17.696486     16.558848     16.511815      7.023273
      0.703870     17.756345     16.613757     16.567257      7.038703
      0.705411     17.816224     16.668665     16.622698      7.054115
