  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.87241
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.800000      0.600000      1.000000
      0.104050      1.059297      0.857060      0.658438      1.040505
      0.108024      1.118593      0.914119      0.716875      1.080236
      0.111925      1.177890      0.971179      0.775313      1.119249
      0.115759      1.237186      1.028238      0.833751      1.157594
      0.119531      1.296483      1.085298      0.892188      1.195314
      0.123245      1.355779      1.142357      0.950626      1.232448
      0.126903      1.415076      1.199417      1.009064      1.269030
      0.130509      1.474372      1.256477      1.067502      1.305093
      0.134066      1.533669      1.313536      1.125939      1.340664
      0.137577      1.592965      1.370596      1.184377      1.375769
      0.141043      1.652262      1.427655      1.242815      1.410432
      0.144467      1.711558      1.484715      1.301252      1.444674
      0.147851      1.770855      1.541775      1.359690      1.478515
      0.151197      1.830152      1.598834      1.418128      1.511973
      0.154506      1.889448      1.655894      1.476565      1.545064
      0.157781      1.948745      1.712953      1.535003      1.577805
      0.161021      2.008041      1.770013      1.593441      1.610210
      0.164229      2.067338      1.827072      1.651879      1.642292
      0.167406      2.126634      1.884132      1.710316      1.674064
      0.170554      2.185931      1.941192      1.768754      1.705537
      0.173672      2.245227      1.998251      1.827192      1.736722
      0.176763      2.304524      2.055311      1.885629      1.767629
      0.179827      2.363820      2.112370      1.944067      1.798269
      0.182865      2.423117      2.169430      2.002505      1.828650
      0.185878      2.482414      2.226489      2.060942      1.858780
      0.188867      2.541710      2.283549      2.119380      1.888669
      0.191832      2.601007      2.340609      2.177818      1.918322
      0.194775      2.660303      2.397668      2.236256      1.947749
      0.197695      2.719600      2.454728      2.294693      1.976954
      0.200595      2.778896      2.511787      2.353131      2.005945
      0.203473      2.838193      2.568847      2.411569      2.034729
      0.206331      2.897489      2.625907      2.470006      2.063310
      0.209169      2.956786      2.682966      2.528444      2.091695
      0.211989      3.016082      2.740026      2.586882      2.119888
      0.214789      3.075379      2.797085      2.645319      2.147895
      0.217572      3.134675      2.854145      2.703757      2.175721
      0.220337      3.193972      2.911204      2.762195      2.203369
      0.223085      3.253269      2.968264      2.820633      2.230846
      0.225815      3.312565      3.025324      2.879070      2.258154
      0.228530      3.371862      3.082383      2.937508      2.285298
      0.231228      3.431158      3.139443      2.995946      2.312282
      0.233911      3.490455      3.196502      3.054383      2.339109
      0.236578      3.549751      3.253562      3.112821      2.365784
      0.239231      3.609048      3.310622      3.171259      2.392308
      0.241869      3.668344      3.367681      3.229696      2.418687
      0.244492      3.727641      3.424741      3.288134      2.444922
      0.247102      3.786937      3.481800      3.346572      2.471018
      0.249698      3.846234      3.538860      3.405010      2.496976
      0.252280      3.905530      3.595919      3.463447      2.522800
      0.254849      3.964827      3.652979      3.521885      2.548493
      0.257406      4.024124      3.710039      3.580323      2.574057
      0.259949      4.083420      3.767098      3.638760      2.599494
      0.262481      4.142717      3.824158      3.697198      2.624808
      0.265000      4.202013      3.881217      3.755636      2.650000
      0.267507      4.261310      3.938277      3.814073      2.675073
      0.270003      4.320606      3.995336      3.872511      2.700029
      0.272487      4.379903      4.052396      3.930949      2.724870
      0.274960      4.439199      4.109456      3.989386      2.749599
      0.277422      4.498496      4.166515      4.047824      2.774216
      0.279873      4.557792      4.223575      4.106262      2.798725
      0.282313      4.617089      4.280634      4.164700      2.823128
      0.284742      4.676386      4.337694      4.223137      2.847425
      0.287162      4.735682      4.394754      4.281575      2.871619
      0.289571      4.794979      4.451813      4.340013      2.895711
      0.291970      4.854275      4.508873      4.398450      2.919704
      0.294360      4.913572      4.565932      4.456888      2.943598
      0.296740      4.972868      4.622992      4.515326      2.967396
      0.299110      5.032165      4.680051      4.573763      2.991099
      0.301471      5.091461      4.737111      4.632201      3.014708
      0.303823      5.150758      4.794171      4.690639      3.038225
      0.306165      5.210054      4.851230      4.749077      3.061652
      0.308499      5.269351      4.908290      4.807514      3.084989
      0.310824      5.328647      4.965349      4.865952      3.108238
      0.313140      5.387944      5.022409      4.924390      3.131401
      0.315448      5.447241      5.079468      4.982827      3.154478
      0.317747      5.506537      5.136528      5.041265      3.177471
      0.320038      5.565834      5.193588      5.099703      3.200382
      0.322321      5.625130      5.250647      5.158140      3.223210
      0.324596      5.684427      5.307707      5.216578      3.245958
      0.326863      5.743723      5.364766      5.275016      3.268627
      0.329122      5.803020      5.421826      5.333454      3.291217
      0.331373      5.862316      5.478886      5.391891      3.313730
      0.333617      5.921613      5.535945      5.450329      3.336167
      0.335853      5.980909      5.593005      5.508767      3.358529
      0.338082      6.040206      5.650064      5.567204      3.380816
      0.340303      6.099502      5.707124      5.625642      3.403030
      0.342517      6.158799      5.764183      5.684080      3.425172
      0.344724      6.218096      5.821243      5.742517      3.447243
      0.346924      6.277392      5.878303      5.800955      3.469243
      0.349117      6.336689      5.935362      5.859393      3.491173
      0.351304      6.395985      5.992422      5.917831      3.513035
      0.353483      6.455282      6.049481      5.976268      3.534829
      0.355656      6.514578      6.106541      6.034706      3.556556
      0.357822      6.573875      6.163600      6.093144      3.578217
      0.359981      6.633171      6.220660      6.151581      3.599813
      0.362134      6.692468      6.277720      6.210019      3.621344
      0.364281      6.751764      6.334779      6.268457      3.642811
      0.366422      6.811061      6.391839      6.326894      3.664215
      0.368556      6.870358      6.448898      6.385332      3.685557
      0.370684      6.929654      6.505958      6.443770      3.706837
      0.372806      6.988951      6.563018      6.502208      3.728057
      0.374922      7.048247      6.620077      6.560645      3.749216
      0.377032      7.107544      6.677137      6.619083      3.770315
      0.379136      7.166840      6.734196      6.677521      3.791356
      0.381234      7.226137      6.791256      6.735958      3.812338
      0.383326      7.285433      6.848315      6.794396      3.833263
      0.385413      7.344730      6.905375      6.852834      3.854131
      0.387494      7.404026      6.962435      6.911271      3.874942
      0.389570      7.463323      7.019494      6.969709      3.895698
      0.391640      7.522620      7.076554      7.028147      3.916399
      0.393705      7.581917      7.133613      7.086585      3.937045
      0.395764      7.641216      7.190673      7.145022      3.957637
      0.397818      7.700515      7.247733      7.203460      3.978176
      0.399866      7.759815      7.304792      7.261898      3.998662
      0.401910      7.819117      7.361852      7.320335      4.019095
      0.403948      7.878420      7.418911      7.378773      4.039477
      0.405981      7.937725      7.475971      7.437211      4.059807
      0.408009      7.997033      7.533030      7.495648      4.080087
      0.410032      8.056342      7.590090      7.554086      4.100316
      0.412050      8.115653      7.647150      7.612524      4.120495
      0.414063      8.174968      7.704209      7.670961      4.140626
      0.416071      8.234285      7.761269      7.729399      4.160707
      0.418074      8.293604      7.818328      7.787837      4.180740
      0.420073      8.352927      7.875388      7.846275      4.200725
      0.422066      8.412254      7.932447      7.904712      4.220663
      0.424055      8.471583      7.989507      7.963150      4.240554
      0.426040      8.530916      8.046567      8.021588      4.260398
      0.428020      8.590253      8.103626      8.080025      4.280196
      0.429995      8.649594      8.160686      8.138463      4.299948
      0.431966      8.708939      8.217745      8.196901      4.319656
      0.433932      8.768288      8.274805      8.255338      4.339318
      0.435894      8.827642      8.331865      8.313776      4.358936
      0.437851      8.887000      8.388924      8.372214      4.378510
      0.439804      8.946363      8.445984      8.430652      4.398040
      0.441753      9.005730      8.503043      8.489089      4.417527
      0.443697      9.065103      8.560103      8.547527      4.436971
      0.445637      9.124481      8.617162      8.605965      4.456372
      0.447573      9.183864      8.674222      8.664402      4.475732
      0.449505      9.243252      8.731282      8.722840      4.495049
      0.451433      9.302646      8.788341      8.781278      4.514325
      0.453356      9.362045      8.845401      8.839715      4.533560
      0.455275      9.421451      8.902460      8.898153      4.552755
      0.457191      9.480862      8.959520      8.956591      4.571909
      0.459102      9.540279      9.016579      9.015029      4.591023
      0.461010      9.599703      9.073639      9.073466      4.610097
      0.462913      9.659133      9.130699      9.131904      4.629132
      0.464813      9.718569      9.187758      9.190342      4.648128
      0.466708      9.778012      9.244818      9.248779      4.667085
      0.468600      9.837461      9.301877      9.307217      4.686003
      0.470488      9.896917      9.358937      9.365655      4.704884
      0.472373      9.956381      9.415997      9.424092      4.723727
      0.474253     10.015851      9.473056      9.482530      4.742532
      0.476130     10.075328      9.530116      9.540968      4.761300
      0.478003     10.134813      9.587175      9.599406      4.780031
      0.479873     10.194305      9.644235      9.657843      4.798725
      0.481738     10.253804      9.701294      9.716281      4.817384
      0.483601     10.313311      9.758354      9.774719      4.836006
      0.485459     10.372826      9.815414      9.833156      4.854592
      0.487314     10.432348      9.872473      9.891594      4.873143
      0.489166     10.491879      9.929533      9.950032      4.891658
      0.491014     10.551417      9.986592     10.008469      4.910139
      0.492858     10.610964     10.043652     10.066907      4.928585
      0.494700     10.670519     10.100711     10.125345      4.946996
      0.496537     10.730082     10.157771     10.183783      4.965373
      0.498372     10.789653     10.214831     10.242220      4.983716
      0.500203     10.849233     10.271890     10.300658      5.002026
      0.502030     10.908822     10.328950     10.359096      5.020302
      0.503855     10.968419     10.386009     10.417533      5.038545
      0.505675     11.028026     10.443069     10.475971      5.056755
      0.507493     11.087641     10.500129     10.534409      5.074932
      0.509308     11.147265     10.557188     10.592846      5.093077
      0.511119     11.206898     10.614248     10.651284      5.111189
      0.512927     11.266541     10.671307     10.709722      5.129270
      0.514732     11.326193     10.728367     10.768159      5.147318
      0.516534     11.385854     10.785426     10.826597      5.165335
      0.518332     11.445525     10.842486     10.885035      5.183321
      0.520128     11.505205     10.899546     10.943473      5.201275
      0.521920     11.564895     10.956605     11.001910      5.219199
      0.523709     11.624594     11.013665     11.060348      5.237092
      0.525495     11.684304     11.070724     11.118786      5.254954
      0.527279     11.744023     11.127784     11.177223      5.272786
      0.529059     11.803753     11.184844     11.235661      5.290588
      0.530836     11.863492     11.241903     11.294099      5.308360
      0.532610     11.923242     11.298963     11.352536      5.326102
      0.534382     11.983002     11.356022     11.410974      5.343815
      0.536150     12.042773     11.413082     11.469412      5.361499
      0.537915     12.102553     11.470141     11.527850      5.379153
      0.539678     12.162345     11.527201     11.586287      5.396778
      0.541438     12.222147     11.584261     11.644725      5.414375
      0.543194     12.281960     11.641320     11.703163      5.431943
      0.544948     12.341783     11.698380     11.761600      5.449483
      0.546699     12.401617     11.755439     11.820038      5.466995
      0.548448     12.461463     11.812499     11.878476      5.484478
      0.550193     12.521319     11.869558     11.936913      5.501934
      0.551936     12.581187     11.926618     11.995351      5.519362
      0.553676     12.641065     11.983678     12.053789      5.536763
      0.555414     12.700955     12.040737     12.112227      5.554136
      0.557148     12.760856     12.097797     12.170664      5.571483
      0.558880     12.820769     12.154856     12.229102      5.588802
      0.560609     12.880693     12.211916     12.287540      5.606095
      0.562336     12.940629     12.268976     12.345977      5.623360
      0.564060     13.000577     12.326035     12.404415      5.640600
      0.565781     13.060536     12.383095     12.462853      5.657813
      0.567500     13.120507     12.440154     12.521290      5.675000
      0.569216     13.180490     12.497214     12.579728      5.692161
      0.570930     13.240485     12.554273     12.638166      5.709296
      0.572641     13.300492     12.611333     12.696604      5.726405
      0.574349     13.360511     12.668393     12.755041      5.743489
      0.576055     13.420543     12.725452     12.813479      5.760548
      0.577758     13.480586     12.782512     12.871917      5.777581
      0.579459     13.540642     12.839571     12.930354      5.794590
      0.581157     13.600711     12.896631     12.988792      5.811573
      0.582853     13.660792     12.953690     13.047230      5.828531
      0.584547     13.720886     13.010750     13.105667      5.845465
      0.586237     13.780992     13.067810     13.164105      5.862375
      0.587926     13.841111     13.124869     13.222543      5.879260
      0.589612     13.901243     13.181929     13.280981      5.896121
      0.591296     13.961387     13.238988     13.339418      5.912958
      0.592977     14.021545     13.296048     13.397856      5.929771
      0.594656     14.081716     13.353108     13.456294      5.946560
      0.596333     14.141899     13.410167     13.514731      5.963325
      0.598007     14.202096     13.467227     13.573169      5.980067
      0.599679     14.262307     13.524286     13.631607      5.996785
      0.601348     14.322530     13.581346     13.690044      6.013481
      0.603015     14.382767     13.638405     13.748482      6.030153
      0.604680     14.443018     13.695465     13.806920      6.046802
      0.606343     14.503282     13.752525     13.865357      6.063428
      0.608003     14.563559     13.809584     13.923795      6.080031
      0.609661     14.623851     13.866644     13.982233      6.096612
      0.611317     14.684156     13.923703     14.040671      6.113170
      0.612971     14.744475     13.980763     14.099108      6.129706
      0.614622     14.804808     14.037822     14.157546      6.146220
      0.616271     14.865155     14.094882     14.215984      6.162711
      0.617918     14.925515     14.151942     14.274421      6.179180
      0.619563     14.985890     14.209001     14.332859      6.195628
      0.621205     15.046280     14.266061     14.391297      6.212053
      0.622846     15.106683     14.323120     14.449734      6.228457
      0.624484     15.167101     14.380180     14.508172      6.244840
      0.626120     15.227533     14.437240     14.566610      6.261201
      0.627754     15.287980     14.494299     14.625048      6.277540
      0.629386     15.348441     14.551359     14.683485      6.293859
      0.631016     15.408917     14.608418     14.741923      6.310156
      0.632643     15.469408     14.665478     14.800361      6.326432
      0.634269     15.529913     14.722537     14.858798      6.342687
      0.635892     15.590433     14.779597     14.917236      6.358922
      0.637514     15.650968     14.836657     14.975674      6.375136
      0.639133     15.711518     14.893716     15.034111      6.391329
      0.640750     15.772083     14.950776     15.092549      6.407501
      0.642365     15.832664     15.007835     15.150987      6.423654
      0.643979     15.893259     15.064895     15.209425      6.439786
      0.645590     15.953870     15.121955     15.267862      6.455898
      0.647199     16.014496     15.179014     15.326300      6.471989
      0.648806     16.075137     15.236074     15.384738      6.488061
      0.650411     16.135794     15.293133     15.443175      6.504113
      0.652015     16.196467     15.350193     15.501613      6.520145
      0.653616     16.257155     15.407252     15.560051      6.536158
      0.655215     16.317859     15.464312     15.618488      6.552151
      0.656812     16.378578     15.521372     15.676926      6.568124
      0.658408     16.439313     15.578431     15.735364      6.584078
      0.660001     16.500065     15.635491     15.793802      6.600013
      0.661593     16.560832     15.692550     15.852239      6.615928
      0.663182     16.621615     15.749610     15.910677      6.631824
      0.664770     16.682415     15.806669     15.969115      6.647702
      0.666356     16.743230     15.863729     16.027552      6.663560
      0.667940     16.804062     15.920789     16.085990      6.679399
      0.669522     16.864910     15.977848     16.144428      6.695220
      0.671102     16.925775     16.034908     16.202865      6.711022
      0.672681     16.986656     16.091967     16.261303      6.726806
      0.674257     17.047553     16.149027     16.319741      6.742571
      0.675832     17.108467     16.206087     16.378179      6.758317
      0.677405     17.169398     16.263146     16.436616      6.774046
      0.678976     17.230345     16.320206     16.495054      6.789756
      0.680545     17.291310     16.377265     16.553492      6.805448
      0.682112     17.352291     16.434325     16.611929      6.821121
      0.683678     17.413289     16.491384     16.670367      6.836777
      0.685242     17.474304     16.548444     16.728805      6.852415
      0.686804     17.535337     16.605504     16.787242      6.868035
      0.688364     17.596386     16.662563     16.845680      6.883638
      0.689922     17.657453     16.719623     16.904118      6.899222
      0.691479     17.718537     16.776682     16.962555      6.914789
      0.693034     17.779638     16.833742     17.020993      6.930339
      0.694587     17.840757     16.890801     17.079431      6.945871
      0.696139     17.901894     16.947861     17.137869      6.961386
      0.697688     17.963048     17.004921     17.196306      6.976884
      0.699236     18.024219     17.061980     17.254744      6.992364
      0.700783     18.085409     17.119040     17.313182      7.007827
      0.702327     18.146616     17.176099     17.371619      7.023273
      0.703870     18.207841     17.233159     17.430057      7.038703
      0.705411     18.269084     17.290219     17.488495      7.054115
      0.706951     18.330345     17.347278     17.546932      7.069510
      0.708489     18.391625     17.404338     17.605370      7.084889
      0.710025     18.452922     17.461397     17.663808      7.100251
      0.711560     18.514238     17.518457     17.722246      7.115597
      0.713093     18.575572     17.575516     17.780683      7.130926
      0.714624     18.636924     17.632576     17.839121      7.146238
      0.716153     18.698295     17.689636     17.897559      7.161535
      0.717681     18.759684     17.746695     17.955996      7.176814
      0.719208     18.821092     17.803755     18.014434      7.192078
      0.720733     18.882519     17.860814     18.072872      7.207325
      0.722256     18.943964     17.917874     18.131309      7.222557
