  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.59655
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.800000      0.600000      1.000000
      0.104050      1.056588      0.853475      0.653445      1.040505
      0.108024      1.113176      0.906950      0.706889      1.080236
      0.111925      1.169764      0.960425      0.760334      1.119249
      0.115759      1.226352      1.013900      0.813779      1.157594
      0.119531      1.282940      1.067375      0.867223      1.195314
      0.123245      1.339528      1.120850      0.920668      1.232448
      0.126903      1.396116      1.174326      0.974112      1.269030
      0.130509      1.452704      1.227801      1.027557      1.305093
      0.134066      1.509292      1.281276      1.081002      1.340664
      0.137577      1.565880      1.334751      1.134446      1.375769
      0.141043      1.622468      1.388226      1.187891      1.410432
      0.144467      1.679056      1.441701      1.241336      1.444674
      0.147851      1.735644      1.495176      1.294780      1.478515
      0.151197      1.792232      1.548651      1.348225      1.511973
      0.154506      1.848820      1.602126      1.401670      1.545064
      0.157781      1.905408      1.655601      1.455114      1.577805
      0.161021      1.961996      1.709076      1.508559      1.610210
      0.164229      2.018584      1.762551      1.562004      1.642292
      0.167406      2.075172      1.816026      1.615448      1.674064
      0.170554      2.131760      1.869502      1.668893      1.705537
      0.173672      2.188348      1.922977      1.722337      1.736722
      0.176763      2.244936      1.976452      1.775782      1.767629
      0.179827      2.301524      2.029927      1.829227      1.798269
      0.182865      2.358112      2.083402      1.882671      1.828650
      0.185878      2.414700      2.136877      1.936116      1.858780
      0.188867      2.471288      2.190352      1.989561      1.888669
      0.191832      2.527875      2.243827      2.043005      1.918322
      0.194775      2.584463      2.297302      2.096450      1.947749
      0.197695      2.641051      2.350777      2.149895      1.976954
      0.200595      2.697639      2.404252      2.203339      2.005945
      0.203473      2.754227      2.457727      2.256784      2.034729
      0.206331      2.810815      2.511202      2.310228      2.063310
      0.209169      2.867403      2.564677      2.363673      2.091695
      0.211989      2.923991      2.618153      2.417118      2.119888
      0.214789      2.980579      2.671628      2.470562      2.147895
      0.217572      3.037167      2.725103      2.524007      2.175721
      0.220337      3.093755      2.778578      2.577452      2.203369
      0.223085      3.150343      2.832053      2.630896      2.230846
      0.225815      3.206931      2.885528      2.684341      2.258154
      0.228530      3.263519      2.939003      2.737786      2.285298
      0.231228      3.320107      2.992478      2.791230      2.312282
      0.233911      3.376695      3.045953      2.844675      2.339109
      0.236578      3.433283      3.099428      2.898120      2.365784
      0.239231      3.489871      3.152903      2.951564      2.392308
      0.241869      3.546459      3.206378      3.005009      2.418687
      0.244492      3.603047      3.259853      3.058453      2.444922
      0.247102      3.659635      3.313329      3.111898      2.471018
      0.249698      3.716223      3.366804      3.165343      2.496976
      0.252280      3.772811      3.420279      3.218787      2.522800
      0.254849      3.829399      3.473754      3.272232      2.548493
      0.257406      3.885987      3.527229      3.325677      2.574057
      0.259949      3.942575      3.580704      3.379121      2.599494
      0.262481      3.999163      3.634179      3.432566      2.624808
      0.265000      4.055751      3.687654      3.486011      2.650000
      0.267507      4.112339      3.741129      3.539455      2.675073
      0.270003      4.168927      3.794604      3.592900      2.700029
      0.272487      4.225515      3.848079      3.646344      2.724870
      0.274960      4.282103      3.901554      3.699789      2.749599
      0.277422      4.338691      3.955029      3.753234      2.774216
      0.279873      4.395279      4.008505      3.806678      2.798725
      0.282313      4.451867      4.061980      3.860123      2.823128
      0.284742      4.508455      4.115455      3.913568      2.847425
      0.287162      4.565043      4.168930      3.967012      2.871619
      0.289571      4.621631      4.222405      4.020457      2.895711
      0.291970      4.678219      4.275880      4.073902      2.919704
      0.294360      4.734807      4.329355      4.127346      2.943598
      0.296740      4.791395      4.382830      4.180791      2.967396
      0.299110      4.847983      4.436305      4.234236      2.991099
      0.301471      4.904571      4.489780      4.287680      3.014708
      0.303823      4.961159      4.543255      4.341125      3.038225
      0.306165      5.017747      4.596730      4.394569      3.061652
      0.308499      5.074335      4.650205      4.448014      3.084989
      0.310824      5.130923      4.703680      4.501459      3.108238
      0.313140      5.187511      4.757156      4.554903      3.131401
      0.315448      5.244099      4.810631      4.608348      3.154478
      0.317747      5.300687      4.864106      4.661793      3.177471
      0.320038      5.357275      4.917581      4.715237      3.200382
      0.322321      5.413863      4.971056      4.768682      3.223210
      0.324596      5.470451      5.024531      4.822127      3.245958
      0.326863      5.527038      5.078006      4.875571      3.268627
      0.329122      5.583626      5.131481      4.929016      3.291217
      0.331373      5.640214      5.184956      4.982460      3.313730
      0.333617      5.696802      5.238431      5.035905      3.336167
      0.335853      5.753390      5.291906      5.089350      3.358529
      0.338082      5.809978      5.345381      5.142794      3.380816
      0.340303      5.866566      5.398856      5.196239      3.403030
      0.342517      5.923154      5.452332      5.249684      3.425172
      0.344724      5.979742      5.505807      5.303128      3.447243
      0.346924      6.036330      5.559282      5.356573      3.469243
      0.349117      6.092918      5.612757      5.410018      3.491173
      0.351304      6.149506      5.666232      5.463462      3.513035
      0.353483      6.206094      5.719707      5.516907      3.534829
      0.355656      6.262682      5.773182      5.570352      3.556556
      0.357822      6.319270      5.826657      5.623796      3.578217
      0.359981      6.375858      5.880132      5.677241      3.599813
      0.362134      6.432446      5.933607      5.730685      3.621344
      0.364281      6.489034      5.987082      5.784130      3.642811
      0.366422      6.545622      6.040557      5.837575      3.664215
      0.368556      6.602210      6.094032      5.891019      3.685557
      0.370684      6.658798      6.147508      5.944464      3.706837
      0.372806      6.715386      6.200983      5.997909      3.728057
      0.374922      6.771974      6.254458      6.051353      3.749216
      0.377032      6.828562      6.307933      6.104798      3.770315
      0.379136      6.885150      6.361408      6.158243      3.791356
      0.381234      6.941738      6.414883      6.211687      3.812338
      0.383326      6.998326      6.468358      6.265132      3.833263
      0.385413      7.054914      6.521833      6.318576      3.854131
      0.387494      7.111502      6.575308      6.372021      3.874942
      0.389570      7.168090      6.628783      6.425466      3.895698
      0.391640      7.224678      6.682258      6.478910      3.916399
      0.393705      7.281266      6.735733      6.532355      3.937045
      0.395764      7.337854      6.789208      6.585800      3.957637
      0.397818      7.394442      6.842683      6.639244      3.978176
