  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.48621
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612781      0.104050      1.055505      0.852041      0.651447      1.040505
      0.648212      0.108024      1.111009      0.904083      0.702895      1.080236
      0.683643      0.111925      1.166514      0.956124      0.754342      1.119249
      0.719074      0.115759      1.222018      1.008165      0.805790      1.157594
      0.754505      0.119531      1.277523      1.060206      0.857237      1.195314
      0.789936      0.123245      1.333027      1.112248      0.908685      1.232448
      0.825367      0.126903      1.388532      1.164289      0.960132      1.269030
      0.860798      0.130509      1.444036      1.216330      1.011579      1.305093
      0.896229      0.134066      1.499541      1.268371      1.063027      1.340664
      0.931660      0.137577      1.555046      1.320413      1.114474      1.375769
      0.967091      0.141043      1.610550      1.372454      1.165922      1.410432
      1.002522      0.144467      1.666055      1.424495      1.217369      1.444674
      1.037953      0.147851      1.721559      1.476537      1.268816      1.478515
      1.073384      0.151197      1.777064      1.528578      1.320264      1.511973
      1.108815      0.154506      1.832568      1.580619      1.371711      1.545064
      1.144246      0.157781      1.888073      1.632660      1.423159      1.577805
      1.179677      0.161021      1.943577      1.684702      1.474606      1.610210
      1.215108      0.164229      1.999082      1.736743      1.526054      1.642292
      1.250539      0.167406      2.054587      1.788784      1.577501      1.674064
      1.285970      0.170554      2.110091      1.840825      1.628948      1.705537
      1.321401      0.173672      2.165596      1.892867      1.680396      1.736722
      1.356832      0.176763      2.221100      1.944908      1.731843      1.767629
      1.392263      0.179827      2.276605      1.996949      1.783291      1.798269
      1.427694      0.182865      2.332109      2.048991      1.834738      1.828650
      1.463125      0.185878      2.387614      2.101032      1.886185      1.858780
      1.498556      0.188867      2.443118      2.153073      1.937633      1.888669
      1.533987      0.191832      2.498623      2.205114      1.989080      1.918322
      1.569418      0.194775      2.554128      2.257156      2.040528      1.947749
      1.604849      0.197695      2.609632      2.309197      2.091975      1.976954
      1.640280      0.200595      2.665137      2.361238      2.143423      2.005945
      1.675711      0.203473      2.720641      2.413279      2.194870      2.034729
      1.711142      0.206331      2.776146      2.465321      2.246317      2.063310
      1.746573      0.209169      2.831650      2.517362      2.297765      2.091695
      1.782004      0.211989      2.887155      2.569403      2.349212      2.119888
      1.817435      0.214789      2.942660      2.621445      2.400660      2.147895
      1.852866      0.217572      2.998164      2.673486      2.452107      2.175721
      1.888297      0.220337      3.053669      2.725527      2.503554      2.203369
      1.923728      0.223085      3.109173      2.777568      2.555002      2.230846
      1.959159      0.225815      3.164678      2.829610      2.606449      2.258154
      1.994590      0.228530      3.220182      2.881651      2.657897      2.285298
      2.030021      0.231228      3.275687      2.933692      2.709344      2.312282
      2.065452      0.233911      3.331191      2.985733      2.760792      2.339109
      2.100883      0.236578      3.386696      3.037775      2.812239      2.365784
      2.136314      0.239231      3.442201      3.089816      2.863686      2.392308
      2.171745      0.241869      3.497705      3.141857      2.915134      2.418687
      2.207176      0.244492      3.553210      3.193899      2.966581      2.444922
      2.242607      0.247102      3.608714      3.245940      3.018029      2.471018
      2.278038      0.249698      3.664219      3.297981      3.069476      2.496976
      2.313469      0.252280      3.719723      3.350022      3.120923      2.522800
      2.348900      0.254849      3.775228      3.402064      3.172371      2.548493
      2.384331      0.257406      3.830732      3.454105      3.223818      2.574057
      2.419762      0.259949      3.886237      3.506146      3.275266      2.599494
      2.455193      0.262481      3.941742      3.558187      3.326713      2.624808
      2.490624      0.265000      3.997246      3.610229      3.378161      2.650000
      2.526055      0.267507      4.052751      3.662270      3.429608      2.675073
      2.561486      0.270003      4.108255      3.714311      3.481055      2.700029
      2.596917      0.272487      4.163760      3.766353      3.532503      2.724870
      2.632348      0.274960      4.219264      3.818394      3.583950      2.749599
      2.667779      0.277422      4.274769      3.870435      3.635398      2.774216
      2.703210      0.279873      4.330273      3.922476      3.686845      2.798725
      2.738641      0.282313      4.385778      3.974518      3.738292      2.823128
