  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.73448
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.416259      1.688596      2.278912      1.000000
      0.612781      0.104050      1.420845      1.676409      2.212483      1.040505
      0.648212      0.108024      1.424955      1.665701      2.156495      1.080236
      0.683643      0.111925      1.428660      1.656219      2.108665      1.119249
      0.719074      0.115759      1.432016      1.647763      2.067331      1.157594
      0.754505      0.119531      1.435070      1.640176      2.031254      1.195314
      0.789936      0.123245      1.437862      1.633330      1.999491      1.232448
      0.825367      0.126903      1.440423      1.627121      1.971312      1.269030
      0.860798      0.130509      1.442782      1.621465      1.946142      1.305093
      0.896229      0.134066      1.444961      1.616291      1.923525      1.340664
      0.931660      0.137577      1.446980      1.611540      1.903090      1.375769
      0.967091      0.141043      1.448856      1.607161      1.884536      1.410432
      1.002522      0.144467      1.450604      1.603114      1.867615      1.444674
      1.037953      0.147851      1.452237      1.599361      1.852121      1.478515
      1.073384      0.151197      1.453765      1.595871      1.837880      1.511973
      1.108815      0.154506      1.455198      1.592619      1.824746      1.545064
      1.144246      0.157781      1.456545      1.589579      1.812594      1.577805
      1.179677      0.161021      1.457813      1.586733      1.801320      1.610210
      1.215108      0.164229      1.459010      1.584063      1.790830      1.642292
      1.250539      0.167406      1.460140      1.581551      1.781046      1.674064
      1.285970      0.170554      1.461210      1.579186      1.771899      1.705537
      1.321401      0.173672      1.462224      1.576954      1.763329      1.736722
      1.356832      0.176763      1.463186      1.574844      1.755282      1.767629
      1.392263      0.179827      1.464101      1.572847      1.747713      1.798269
      1.427694      0.182865      1.464971      1.570954      1.740580      1.828650
      1.463125      0.185878      1.465800      1.569156      1.733846      1.858780
      1.498556      0.188867      1.466590      1.567447      1.727478      1.888669
      1.533987      0.191832      1.467345      1.565821      1.721448      1.918322
      1.569418      0.194775      1.468067      1.564272      1.715730      1.947749
      1.604849      0.197695      1.468757      1.562793      1.710299      1.976954
      1.640280      0.200595      1.469418      1.561381      1.705136      2.005945
      1.675711      0.203473      1.470052      1.560032      1.700219      2.034729
      1.711142      0.206331      1.470660      1.558740      1.695533      2.063310
      1.746573      0.209169      1.471244      1.557503      1.691061      2.091695
      1.782004      0.211989      1.471805      1.556316      1.686789      2.119888
      1.817435      0.214789      1.472344      1.555178      1.682704      2.147895
      1.852866      0.217572      1.472864      1.554085      1.678794      2.175721
      1.888297      0.220337      1.473364      1.553034      1.675048      2.203369
      1.923728      0.223085      1.473846      1.552024      1.671455      2.230846
      1.959159      0.225815      1.474311      1.551051      1.668007      2.258154
      1.994590      0.228530      1.474759      1.550114      1.664695      2.285298
      2.030021      0.231228      1.475192      1.549210      1.661511      2.312282
      2.065452      0.233911      1.475611      1.548339      1.658448      2.339109
      2.100883      0.236578      1.476016      1.547498      1.655499      2.365784
      2.136314      0.239231      1.476407      1.546686      1.652657      2.392308
      2.171745      0.241869      1.476786      1.545901      1.649918      2.418687
      2.207176      0.244492      1.477153      1.545142      1.647275      2.444922
      2.242607      0.247102      1.477509      1.544407      1.644724      2.471018
      2.278038      0.249698      1.477853      1.543697      1.642259      2.496976
      2.313469      0.252280      1.478188      1.543008      1.639877      2.522800
      2.348900      0.254849      1.478512      1.542341      1.637574      2.548493
      2.384331      0.257406      1.478827      1.541694      1.635345      2.574057
      2.419762      0.259949      1.479133      1.541067      1.633188      2.599494
      2.455193      0.262481      1.479430      1.540459      1.631097      2.624808
      2.490624      0.265000      1.479718      1.539868      1.629072      2.650000
      2.526055      0.267507      1.479999      1.539294      1.627108      2.675073
      2.561486      0.270003      1.480272      1.538736      1.625203      2.700029
      2.596917      0.272487      1.480538      1.538194      1.623355      2.724870
      2.632348      0.274960      1.480796      1.537667      1.621560      2.749599
      2.667779      0.277422      1.481048      1.537155      1.619816      2.774216
      2.703210      0.279873      1.481293      1.536656      1.618122      2.798725
      2.738641      0.282313      1.481532      1.536170      1.616475      2.823128
      2.774072      0.284742      1.481765      1.535697      1.614874      2.847425
      2.809503      0.287162      1.481993      1.535236      1.613316      2.871619
      2.844934      0.289571      1.482214      1.534787      1.611799      2.895711
      2.880365      0.291970      1.482430      1.534350      1.610323      2.919704
      2.915796      0.294360      1.482641      1.533923      1.608885      2.943598
      2.951227      0.296740      1.482847      1.533506      1.607484      2.967396
      2.986658      0.299110      1.483049      1.533100      1.606119      2.991099
      3.022089      0.301471      1.483245      1.532704      1.604788      3.014708
      3.057520      0.303823      1.483437      1.532317      1.603490      3.038225
      3.092951      0.306165      1.483625      1.531938      1.602223      3.061652
      3.128382      0.308499      1.483808      1.531569      1.600988      3.084989
      3.163813      0.310824      1.483988      1.531208      1.599781      3.108238
      3.199244      0.313140      1.484163      1.530855      1.598604      3.131401
      3.234675      0.315448      1.484335      1.530511      1.597454      3.154478
      3.270106      0.317747      1.484503      1.530173      1.596330      3.177471
