  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.23793
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.800000      0.600000      1.000000
      0.104050      1.053067      0.848815      0.646954      1.040505
      0.108024      1.106134      0.897630      0.693907      1.080236
      0.111925      1.159201      0.946446      0.740861      1.119249
      0.115759      1.212267      0.995261      0.787815      1.157594
      0.119531      1.265334      1.044076      0.834768      1.195314
      0.123245      1.318401      1.092891      0.881722      1.232448
      0.126903      1.371468      1.141707      0.928676      1.269030
      0.130509      1.424535      1.190522      0.975629      1.305093
      0.134066      1.477602      1.239337      1.022583      1.340664
      0.137577      1.530669      1.288152      1.069537      1.375769
      0.141043      1.583735      1.336967      1.116490      1.410432
      0.144467      1.636802      1.385783      1.163444      1.444674
      0.147851      1.689869      1.434598      1.210398      1.478515
      0.151197      1.742936      1.483413      1.257351      1.511973
      0.154506      1.796003      1.532228      1.304305      1.545064
      0.157781      1.849070      1.581044      1.351259      1.577805
      0.161021      1.902137      1.629859      1.398212      1.610210
      0.164229      1.955203      1.678674      1.445166      1.642292
      0.167406      2.008270      1.727489      1.492120      1.674064
      0.170554      2.061337      1.776304      1.539073      1.705537
      0.173672      2.114404      1.825120      1.586027      1.736722
      0.176763      2.167471      1.873935      1.632981      1.767629
      0.179827      2.220538      1.922750      1.679934      1.798269
      0.182865      2.273604      1.971565      1.726888      1.828650
      0.185878      2.326671      2.020380      1.773842      1.858780
      0.188867      2.379738      2.069196      1.820795      1.888669
      0.191832      2.432805      2.118011      1.867749      1.918322
      0.194775      2.485872      2.166826      1.914703      1.947749
      0.197695      2.538939      2.215641      1.961656      1.976954
      0.200595      2.592006      2.264457      2.008610      2.005945
      0.203473      2.645072      2.313272      2.055564      2.034729
      0.206331      2.698139      2.362087      2.102517      2.063310
      0.209169      2.751206      2.410902      2.149471      2.091695
      0.211989      2.804273      2.459717      2.196425      2.119888
      0.214789      2.857340      2.508533      2.243378      2.147895
      0.217572      2.910407      2.557348      2.290332      2.175721
      0.220337      2.963474      2.606163      2.337286      2.203369
      0.223085      3.016540      2.654978      2.384239      2.230846
      0.225815      3.069607      2.703794      2.431193      2.258154
      0.228530      3.122674      2.752609      2.478147      2.285298
      0.231228      3.175741      2.801424      2.525100      2.312282
      0.233911      3.228808      2.850239      2.572054      2.339109
      0.236578      3.281875      2.899054      2.619008      2.365784
      0.239231      3.334942      2.947870      2.665961      2.392308
      0.241869      3.388008      2.996685      2.712915      2.418687
      0.244492      3.441075      3.045500      2.759869      2.444922
      0.247102      3.494142      3.094315      2.806822      2.471018
      0.249698      3.547209      3.143131      2.853776      2.496976
      0.252280      3.600276      3.191946      2.900730      2.522800
      0.254849      3.653343      3.240761      2.947683      2.548493
      0.257406      3.706410      3.289576      2.994637      2.574057
      0.259949      3.759476      3.338391      3.041591      2.599494
      0.262481      3.812543      3.387207      3.088544      2.624808
      0.265000      3.865610      3.436022      3.135498      2.650000
      0.267507      3.918677      3.484837      3.182452      2.675073
      0.270003      3.971744      3.533652      3.229405      2.700029
      0.272487      4.024811      3.582467      3.276359      2.724870
      0.274960      4.077878      3.631283      3.323313      2.749599
      0.277422      4.130944      3.680098      3.370266      2.774216
      0.279873      4.184011      3.728913      3.417220      2.798725
      0.282313      4.237078      3.777728      3.464174      2.823128
      0.284742      4.290145      3.826544      3.511127      2.847425
      0.287162      4.343212      3.875359      3.558081      2.871619
      0.289571      4.396279      3.924174      3.605035      2.895711
      0.291970      4.449345      3.972989      3.651988      2.919704
      0.294360      4.502412      4.021804      3.698942      2.943598
      0.296740      4.555479      4.070620      3.745896      2.967396
      0.299110      4.608546      4.119435      3.792849      2.991099
      0.301471      4.661613      4.168250      3.839803      3.014708
      0.303823      4.714680      4.217065      3.886757      3.038225
      0.306165      4.767747      4.265881      3.933710      3.061652
      0.308499      4.820813      4.314696      3.980664      3.084989
      0.310824      4.873880      4.363511      4.027618      3.108238
      0.313140      4.926947      4.412326      4.074571      3.131401
      0.315448      4.980014      4.461141      4.121525      3.154478
      0.317747      5.033081      4.509957      4.168478      3.177471
      0.320038      5.086148      4.558772      4.215432      3.200382
      0.322321      5.139215      4.607587      4.262386      3.223210
      0.324596      5.192281      4.656402      4.309339      3.245958
      0.326863      5.245348      4.705218      4.356293      3.268627
      0.329122      5.298415      4.754033      4.403247      3.291217
      0.331373      5.351482      4.802848      4.450200      3.313730
      0.333617      5.404549      4.851663      4.497154      3.336167
      0.335853      5.457616      4.900478      4.544108      3.358529
      0.338082      5.510683      4.949294      4.591061      3.380816
      0.340303      5.563749      4.998109      4.638015      3.403030
      0.342517      5.616816      5.046924      4.684969      3.425172
      0.344724      5.669883      5.095739      4.731922      3.447243
      0.346924      5.722950      5.144554      4.778876      3.469243
      0.349117      5.776017      5.193370      4.825830      3.491173
      0.351304      5.829084      5.242185      4.872783      3.513035
      0.353483      5.882151      5.291000      4.919737      3.534829
      0.355656      5.935217      5.339815      4.966691      3.556556
      0.357822      5.988284      5.388631      5.013644      3.578217
      0.359981      6.041351      5.437446      5.060598      3.599813
      0.362134      6.094418      5.486261      5.107552      3.621344
      0.364281      6.147485      5.535076      5.154505      3.642811
      0.366422      6.200552      5.583891      5.201459      3.664215
      0.368556      6.253619      5.632707      5.248413      3.685557
      0.370684      6.306685      5.681522      5.295366      3.706837
      0.372806      6.359752      5.730337      5.342320      3.728057
      0.374922      6.412819      5.779152      5.389274      3.749216
      0.377032      6.465886      5.827968      5.436227      3.770315
      0.379136      6.518953      5.876783      5.483181      3.791356
      0.381234      6.572020      5.925598      5.530135      3.812338
      0.383326      6.625087      5.974413      5.577088      3.833263
      0.385413      6.678153      6.023228      5.624042      3.854131
      0.387494      6.731220      6.072044      5.670996      3.874942
      0.389570      6.784287      6.120859      5.717949      3.895698
      0.391640      6.837354      6.169674      5.764903      3.916399
      0.393705      6.890421      6.218489      5.811857      3.937045
      0.395764      6.943488      6.267305      5.858810      3.957637
      0.397818      6.996554      6.316120      5.905764      3.978176
