  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.15517
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612781      0.104050      1.052254      0.847740      0.645456      1.040505
      0.648212      0.108024      1.104509      0.895480      0.690911      1.080236
      0.683643      0.111925      1.156763      0.943220      0.736367      1.119249
      0.719074      0.115759      1.209017      0.990959      0.781823      1.157594
      0.754505      0.119531      1.261271      1.038699      0.827279      1.195314
      0.789936      0.123245      1.313526      1.086439      0.872734      1.232448
      0.825367      0.126903      1.365780      1.134179      0.918190      1.269030
      0.860798      0.130509      1.418034      1.181919      0.963646      1.305093
      0.896229      0.134066      1.470289      1.229659      1.009102      1.340664
      0.931660      0.137577      1.522543      1.277399      1.054557      1.375769
      0.967091      0.141043      1.574797      1.325139      1.100013      1.410432
      1.002522      0.144467      1.627051      1.372878      1.145469      1.444674
      1.037953      0.147851      1.679306      1.420618      1.190925      1.478515
      1.073384      0.151197      1.731560      1.468358      1.236380      1.511973
      1.108815      0.154506      1.783814      1.516098      1.281836      1.545064
      1.144246      0.157781      1.836069      1.563838      1.327292      1.577805
      1.179677      0.161021      1.888323      1.611578      1.372748      1.610210
      1.215108      0.164229      1.940577      1.659318      1.418203      1.642292
      1.250539      0.167406      1.992831      1.707057      1.463659      1.674064
      1.285970      0.170554      2.045086      1.754797      1.509115      1.705537
      1.321401      0.173672      2.097340      1.802537      1.554571      1.736722
      1.356832      0.176763      2.149594      1.850277      1.600026      1.767629
      1.392263      0.179827      2.201849      1.898017      1.645482      1.798269
      1.427694      0.182865      2.254103      1.945757      1.690938      1.828650
      1.463125      0.185878      2.306357      1.993497      1.736394      1.858780
      1.498556      0.188867      2.358611      2.041237      1.781849      1.888669
      1.533987      0.191832      2.410866      2.088976      1.827305      1.918322
      1.569418      0.194775      2.463120      2.136716      1.872761      1.947749
      1.604849      0.197695      2.515374      2.184456      1.918217      1.976954
      1.640280      0.200595      2.567629      2.232196      1.963672      2.005945
      1.675711      0.203473      2.619883      2.279936      2.009128      2.034729
      1.711142      0.206331      2.672137      2.327676      2.054584      2.063310
      1.746573      0.209169      2.724391      2.375416      2.100040      2.091695
      1.782004      0.211989      2.776646      2.423156      2.145495      2.119888
      1.817435      0.214789      2.828900      2.470895      2.190951      2.147895
      1.852866      0.217572      2.881154      2.518635      2.236407      2.175721
      1.888297      0.220337      2.933409      2.566375      2.281863      2.203369
      1.923728      0.223085      2.985663      2.614115      2.327318      2.230846
      1.959159      0.225815      3.037917      2.661855      2.372774      2.258154
      1.994590      0.228530      3.090171      2.709595      2.418230      2.285298
      2.030021      0.231228      3.142426      2.757335      2.463686      2.312282
      2.065452      0.233911      3.194680      2.805074      2.509141      2.339109
      2.100883      0.236578      3.246934      2.852814      2.554597      2.365784
      2.136314      0.239231      3.299189      2.900554      2.600053      2.392308
      2.171745      0.241869      3.351443      2.948294      2.645509      2.418687
      2.207176      0.244492      3.403697      2.996034      2.690964      2.444922
      2.242607      0.247102      3.455951      3.043774      2.736420      2.471018
      2.278038      0.249698      3.508206      3.091514      2.781876      2.496976
      2.313469      0.252280      3.560460      3.139254      2.827332      2.522800
      2.348900      0.254849      3.612714      3.186993      2.872787      2.548493
      2.384331      0.257406      3.664969      3.234733      2.918243      2.574057
      2.419762      0.259949      3.717223      3.282473      2.963699      2.599494
      2.455193      0.262481      3.769477      3.330213      3.009155      2.624808
      2.490624      0.265000      3.821731      3.377953      3.054610      2.650000
      2.526055      0.267507      3.873986      3.425693      3.100066      2.675073
      2.561486      0.270003      3.926240      3.473433      3.145522      2.700029
      2.596917      0.272487      3.978494      3.521172      3.190978      2.724870
      2.632348      0.274960      4.030749      3.568912      3.236433      2.749599
      2.667779      0.277422      4.083003      3.616652      3.281889      2.774216
      2.703210      0.279873      4.135257      3.664392      3.327345      2.798725
      2.738641      0.282313      4.187511      3.712132      3.372801      2.823128
      2.774072      0.284742      4.239766      3.759872      3.418256      2.847425
      2.809503      0.287162      4.292020      3.807612      3.463712      2.871619
      2.844934      0.289571      4.344274      3.855352      3.509168      2.895711
      2.880365      0.291970      4.396529      3.903091      3.554624      2.919704
      2.915796      0.294360      4.448783      3.950831      3.600079      2.943598
      2.951227      0.296740      4.501037      3.998571      3.645535      2.967396
      2.986658      0.299110      4.553291      4.046311      3.690991      2.991099
      3.022089      0.301471      4.605546      4.094051      3.736447      3.014708
      3.057520      0.303823      4.657800      4.141791      3.781902      3.038225
      3.092951      0.306165      4.710054      4.189531      3.827358      3.061652
