  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.56897
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.376536      1.622885      2.156869      1.000000
      0.612781      0.104050      1.383119      1.615234      2.103605      1.040505
      0.648212      0.108024      1.389035      1.608480      2.058332      1.080236
      0.683643      0.111925      1.394381      1.602473      2.019376      1.119249
      0.719074      0.115759      1.399236      1.597097      1.985502      1.157594
      0.754505      0.119531      1.403663      1.592257      1.955775      1.195314
      0.789936      0.123245      1.407719      1.587877      1.929479      1.232448
      0.825367      0.126903      1.411446      1.583894      1.906052      1.269030
      0.860798      0.130509      1.414884      1.580256      1.885048      1.305093
      0.896229      0.134066      1.418065      1.576920      1.866111      1.340664
      0.931660      0.137577      1.421017      1.573851      1.848949      1.375769
      0.967091      0.141043      1.423764      1.571017      1.833323      1.410432
      1.002522      0.144467      1.426326      1.568393      1.819038      1.444674
      1.037953      0.147851      1.428721      1.565956      1.805926      1.478515
      1.073384      0.151197      1.430966      1.563686      1.793850      1.511973
      1.108815      0.154506      1.433073      1.561568      1.782690      1.545064
      1.144246      0.157781      1.435056      1.559585      1.772348      1.577805
      1.179677      0.161021      1.436924      1.557727      1.762735      1.610210
      1.215108      0.164229      1.438688      1.555981      1.753778      1.642292
      1.250539      0.167406      1.440357      1.554337      1.745411      1.674064
      1.285970      0.170554      1.441936      1.552788      1.737579      1.705537
      1.321401      0.173672      1.443434      1.551324      1.730231      1.736722
      1.356832      0.176763      1.444857      1.549939      1.723324      1.767629
      1.392263      0.179827      1.446210      1.548627      1.716819      1.798269
      1.427694      0.182865      1.447498      1.547382      1.710682      1.828650
      1.463125      0.185878      1.448726      1.546199      1.704884      1.858780
      1.498556      0.188867      1.449898      1.545074      1.699396      1.888669
      1.533987      0.191832      1.451017      1.544002      1.694194      1.918322
      1.569418      0.194775      1.452088      1.542981      1.689257      1.947749
      1.604849      0.197695      1.453113      1.542005      1.684564      1.976954
      1.640280      0.200595      1.454094      1.541073      1.680099      2.005945
      1.675711      0.203473      1.455036      1.540181      1.675844      2.034729
      1.711142      0.206331      1.455940      1.539327      1.671786      2.063310
      1.746573      0.209169      1.456808      1.538509      1.667911      2.091695
      1.782004      0.211989      1.457642      1.537724      1.664207      2.119888
      1.817435      0.214789      1.458445      1.536971      1.660663      2.147895
      1.852866      0.217572      1.459218      1.536247      1.657269      2.175721
      1.888297      0.220337      1.459963      1.535550      1.654015      2.203369
      1.923728      0.223085      1.460681      1.534880      1.650893      2.230846
      1.959159      0.225815      1.461374      1.534235      1.647895      2.258154
      1.994590      0.228530      1.462043      1.533613      1.645014      2.285298
      2.030021      0.231228      1.462689      1.533014      1.642243      2.312282
      2.065452      0.233911      1.463313      1.532435      1.639576      2.339109
      2.100883      0.236578      1.463917      1.531877      1.637007      2.365784
      2.136314      0.239231      1.464501      1.531337      1.634531      2.392308
      2.171745      0.241869      1.465067      1.530815      1.632143      2.418687
