  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.70690
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612781      0.104050      1.057671      0.854909      0.655442      1.040505
      0.648212      0.108024      1.115343      0.909818      0.710884      1.080236
      0.683643      0.111925      1.173014      0.964727      0.766326      1.119249
      0.719074      0.115759      1.230686      1.019636      0.821767      1.157594
      0.754505      0.119531      1.288357      1.074544      0.877209      1.195314
      0.789936      0.123245      1.346028      1.129453      0.932651      1.232448
      0.825367      0.126903      1.403700      1.184362      0.988093      1.269030
      0.860798      0.130509      1.461371      1.239271      1.043535      1.305093
      0.896229      0.134066      1.519043      1.294180      1.098977      1.340664
      0.931660      0.137577      1.576714      1.349089      1.154419      1.375769
      0.967091      0.141043      1.634385      1.403998      1.209860      1.410432
      1.002522      0.144467      1.692057      1.458907      1.265302      1.444674
      1.037953      0.147851      1.749728      1.513815      1.320744      1.478515
      1.073384      0.151197      1.807400      1.568724      1.376186      1.511973
      1.108815      0.154506      1.865071      1.623633      1.431628      1.545064
      1.144246      0.157781      1.922742      1.678542      1.487070      1.577805
      1.179677      0.161021      1.980414      1.733451      1.542512      1.610210
      1.215108      0.164229      2.038085      1.788360      1.597954      1.642292
      1.250539      0.167406      2.095757      1.843269      1.653395      1.674064
      1.285970      0.170554      2.153428      1.898178      1.708837      1.705537
      1.321401      0.173672      2.211100      1.953086      1.764279      1.736722
      1.356832      0.176763      2.268771      2.007995      1.819721      1.767629
      1.392263      0.179827      2.326442      2.062904      1.875163      1.798269
      1.427694      0.182865      2.384114      2.117813      1.930605      1.828650
      1.463125      0.185878      2.441785      2.172722      1.986047      1.858780
      1.498556      0.188867      2.499457      2.227631      2.041488      1.888669
      1.533987      0.191832      2.557128      2.282540      2.096930      1.918322
      1.569418      0.194775      2.614799      2.337449      2.152372      1.947749
      1.604849      0.197695      2.672471      2.392357      2.207814      1.976954
      1.640280      0.200595      2.730142      2.447266      2.263256      2.005945
      1.675711      0.203473      2.787814      2.502175      2.318698      2.034729
      1.711142      0.206331      2.845485      2.557084      2.374140      2.063310
      1.746573      0.209169      2.903156      2.611993      2.429581      2.091695
      1.782004      0.211989      2.960828      2.666902      2.485023      2.119888
      1.817435      0.214789      3.018499      2.721811      2.540465      2.147895
      1.852866      0.217572      3.076171      2.776720      2.595907      2.175721
      1.888297      0.220337      3.133842      2.831628      2.651349      2.203369
      1.923728      0.223085      3.191513      2.886537      2.706791      2.230846
      1.959159      0.225815      3.249185      2.941446      2.762233      2.258154
      1.994590      0.228530      3.306856      2.996355      2.817675      2.285298
      2.030021      0.231228      3.364528      3.051264      2.873116      2.312282
      2.065452      0.233911      3.422199      3.106173      2.928558      2.339109
      2.100883      0.236578      3.479870      3.161082      2.984000      2.365784
      2.136314      0.239231      3.537542      3.215991      3.039442      2.392308
      2.171745      0.241869      3.595213      3.270899      3.094884      2.418687
      2.207176      0.244492      3.652885      3.325808      3.150326      2.444922
      2.242607      0.247102      3.710556      3.380717      3.205768      2.471018
      2.278038      0.249698      3.768227      3.435626      3.261209      2.496976
      2.313469      0.252280      3.825899      3.490535      3.316651      2.522800
      2.348900      0.254849      3.883570      3.545444      3.372093      2.548493
      2.384331      0.257406      3.941242      3.600353      3.427535      2.574057
      2.419762      0.259949      3.998913      3.655262      3.482977      2.599494
      2.455193      0.262481      4.056584      3.710170      3.538419      2.624808
      2.490624      0.265000      4.114256      3.765079      3.593861      2.650000
      2.526055      0.267507      4.171927      3.819988      3.649302      2.675073
      2.561486      0.270003      4.229599      3.874897      3.704744      2.700029
      2.596917      0.272487      4.287270      3.929806      3.760186      2.724870
      2.632348      0.274960      4.344941      3.984715      3.815628      2.749599
      2.667779      0.277422      4.402613      4.039624      3.871070      2.774216
      2.703210      0.279873      4.460284      4.094533      3.926512      2.798725
      2.738641      0.282313      4.517956      4.149441      3.981954      2.823128
      2.774072      0.284742      4.575627      4.204350      4.037396      2.847425
      2.809503      0.287162      4.633299      4.259259      4.092837      2.871619
      2.844934      0.289571      4.690970      4.314168      4.148279      2.895711
      2.880365      0.291970      4.748641      4.369077      4.203721      2.919704
      2.915796      0.294360      4.806313      4.423986      4.259163      2.943598
      2.951227      0.296740      4.863984      4.478895      4.314605      2.967396
      2.986658      0.299110      4.921656      4.533804      4.370047      2.991099
      3.022089      0.301471      4.979327      4.588713      4.425489      3.014708
      3.057520      0.303823      5.036998      4.643621      4.480930      3.038225
      3.092951      0.306165      5.094670      4.698530      4.536372      3.061652
      3.128382      0.308499      5.152341      4.753439      4.591814      3.084989
      3.163813      0.310824      5.210013      4.808348      4.647256      3.108238
      3.199244      0.313140      5.267684      4.863257      4.702698      3.131401
      3.234675      0.315448      5.325355      4.918166      4.758140      3.154478
      3.270106      0.317747      5.383027      4.973075      4.813582      3.177471
      3.305537      0.320038      5.440698      5.027984      4.869023      3.200382
      3.340968      0.322321      5.498370      5.082892      4.924465      3.223210
