  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.37586
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.800000      0.600000      1.000000
      0.104050      1.054421      0.850607      0.649450      1.040505
      0.108024      1.108842      0.901215      0.698900      1.080236
      0.111925      1.163263      0.951822      0.748351      1.119249
      0.115759      1.217685      1.002430      0.797801      1.157594
      0.119531      1.272106      1.053037      0.847251      1.195314
      0.123245      1.326527      1.103645      0.896701      1.232448
      0.126903      1.380948      1.154252      0.946151      1.269030
      0.130509      1.435369      1.204860      0.995602      1.305093
      0.134066      1.489790      1.255467      1.045052      1.340664
      0.137577      1.544211      1.306075      1.094502      1.375769
      0.141043      1.598632      1.356682      1.143952      1.410432
      0.144467      1.653054      1.407290      1.193402      1.444674
      0.147851      1.707475      1.457897      1.242853      1.478515
      0.151197      1.761896      1.508505      1.292303      1.511973
      0.154506      1.816317      1.559112      1.341753      1.545064
      0.157781      1.870738      1.609720      1.391203      1.577805
      0.161021      1.925159      1.660327      1.440653      1.610210
      0.164229      1.979580      1.710934      1.490103      1.642292
      0.167406      2.034002      1.761542      1.539554      1.674064
      0.170554      2.088423      1.812149      1.589004      1.705537
      0.173672      2.142844      1.862757      1.638454      1.736722
      0.176763      2.197265      1.913364      1.687904      1.767629
      0.179827      2.251686      1.963972      1.737354      1.798269
      0.182865      2.306107      2.014579      1.786805      1.828650
      0.185878      2.360528      2.065187      1.836255      1.858780
      0.188867      2.414949      2.115794      1.885705      1.888669
      0.191832      2.469371      2.166402      1.935155      1.918322
      0.194775      2.523792      2.217009      1.984605      1.947749
      0.197695      2.578213      2.267617      2.034056      1.976954
      0.200595      2.632634      2.318224      2.083506      2.005945
      0.203473      2.687055      2.368832      2.132956      2.034729
      0.206331      2.741476      2.419439      2.182406      2.063310
      0.209169      2.795897      2.470047      2.231856      2.091695
      0.211989      2.850319      2.520654      2.281307      2.119888
      0.214789      2.904740      2.571261      2.330757      2.147895
      0.217572      2.959161      2.621869      2.380207      2.175721
      0.220337      3.013582      2.672476      2.429657      2.203369
      0.223085      3.068003      2.723084      2.479107      2.230846
      0.225815      3.122424      2.773691      2.528558      2.258154
      0.228530      3.176845      2.824299      2.578008      2.285298
      0.231228      3.231266      2.874906      2.627458      2.312282
      0.233911      3.285688      2.925514      2.676908      2.339109
      0.236578      3.340109      2.976121      2.726358      2.365784
      0.239231      3.394530      3.026729      2.775809      2.392308
      0.241869      3.448951      3.077336      2.825259      2.418687
      0.244492      3.503372      3.127944      2.874709      2.444922
      0.247102      3.557793      3.178551      2.924159      2.471018
      0.249698      3.612214      3.229159      2.973609      2.496976
      0.252280      3.666636      3.279766      3.023059      2.522800
      0.254849      3.721057      3.330374      3.072510      2.548493
      0.257406      3.775478      3.380981      3.121960      2.574057
      0.259949      3.829899      3.431589      3.171410      2.599494
      0.262481      3.884320      3.482196      3.220860      2.624808
      0.265000      3.938741      3.532803      3.270310      2.650000
      0.267507      3.993162      3.583411      3.319761      2.675073
