  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.51379
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612781      0.104050      1.055775      0.852400      0.651947      1.040505
      0.648212      0.108024      1.111551      0.904799      0.703893      1.080236
      0.683643      0.111925      1.167326      0.957199      0.755840      1.119249
      0.719074      0.115759      1.223102      1.009599      0.807787      1.157594
      0.754505      0.119531      1.278877      1.061999      0.859734      1.195314
      0.789936      0.123245      1.334652      1.114398      0.911680      1.232448
      0.825367      0.126903      1.390428      1.166798      0.963627      1.269030
      0.860798      0.130509      1.446203      1.219198      1.015574      1.305093
      0.896229      0.134066      1.501979      1.271598      1.067521      1.340664
      0.931660      0.137577      1.557754      1.323997      1.119467      1.375769
      0.967091      0.141043      1.613530      1.376397      1.171414      1.410432
      1.002522      0.144467      1.669305      1.428797      1.223361      1.444674
      1.037953      0.147851      1.725080      1.481196      1.275307      1.478515
      1.073384      0.151197      1.780856      1.533596      1.327254      1.511973
      1.108815      0.154506      1.836631      1.585996      1.379201      1.545064
      1.144246      0.157781      1.892407      1.638396      1.431148      1.577805
      1.179677      0.161021      1.948182      1.690795      1.483094      1.610210
      1.215108      0.164229      2.003957      1.743195      1.535041      1.642292
      1.250539      0.167406      2.059733      1.795595      1.586988      1.674064
      1.285970      0.170554      2.115508      1.847994      1.638934      1.705537
      1.321401      0.173672      2.171284      1.900394      1.690881      1.736722
      1.356832      0.176763      2.227059      1.952794      1.742828      1.767629
      1.392263      0.179827      2.282835      2.005194      1.794775      1.798269
      1.427694      0.182865      2.338610      2.057593      1.846721      1.828650
      1.463125      0.185878      2.394385      2.109993      1.898668      1.858780
      1.498556      0.188867      2.450161      2.162393      1.950615      1.888669
      1.533987      0.191832      2.505936      2.214793      2.002562      1.918322
      1.569418      0.194775      2.561712      2.267192      2.054508      1.947749
      1.604849      0.197695      2.617487      2.319592      2.106455      1.976954
      1.640280      0.200595      2.673262      2.371992      2.158402      2.005945
      1.675711      0.203473      2.729038      2.424391      2.210348      2.034729
      1.711142      0.206331      2.784813      2.476791      2.262295      2.063310
      1.746573      0.209169      2.840589      2.529191      2.314242      2.091695
      1.782004      0.211989      2.896364      2.581591      2.366189      2.119888
      1.817435      0.214789      2.952139      2.633990      2.418135      2.147895
      1.852866      0.217572      3.007915      2.686390      2.470082      2.175721
      1.888297      0.220337      3.063690      2.738790      2.522029      2.203369
      1.923728      0.223085      3.119466      2.791189      2.573975      2.230846
      1.959159      0.225815      3.175241      2.843589      2.625922      2.258154
      1.994590      0.228530      3.231017      2.895989      2.677869      2.285298
      2.030021      0.231228      3.286792      2.948389      2.729816      2.312282
      2.065452      0.233911      3.342567      3.000788      2.781762      2.339109
      2.100883      0.236578      3.398343      3.053188      2.833709      2.365784
      2.136314      0.239231      3.454118      3.105588      2.885656      2.392308
      2.171745      0.241869      3.509894      3.157988      2.937603      2.418687
      2.207176      0.244492      3.565669      3.210387      2.989549      2.444922
      2.242607      0.247102      3.621444      3.262787      3.041496      2.471018
      2.278038      0.249698      3.677220      3.315187      3.093443      2.496976
      2.313469      0.252280      3.732995      3.367586      3.145389      2.522800
      2.348900      0.254849      3.788771      3.419986      3.197336      2.548493
      2.384331      0.257406      3.844546      3.472386      3.249283      2.574057
      2.419762      0.259949      3.900321      3.524786      3.301230      2.599494
      2.455193      0.262481      3.956097      3.577185      3.353176      2.624808
      2.490624      0.265000      4.011872      3.629585      3.405123      2.650000
      2.526055      0.267507      4.067648      3.681985      3.457070      2.675073
      2.561486      0.270003      4.123423      3.734385      3.509016      2.700029
      2.596917      0.272487      4.179199      3.786784      3.560963      2.724870
      2.632348      0.274960      4.234974      3.839184      3.612910      2.749599
      2.667779      0.277422      4.290749      3.891584      3.664857      2.774216
      2.703210      0.279873      4.346525      3.943983      3.716803      2.798725
      2.738641      0.282313      4.402300      3.996383      3.768750      2.823128
      2.774072      0.284742      4.458076      4.048783      3.820697      2.847425
      2.809503      0.287162      4.513851      4.101183      3.872644      2.871619
      2.844934      0.289571      4.569626      4.153582      3.924590      2.895711
      2.880365      0.291970      4.625402      4.205982      3.976537      2.919704
      2.915796      0.294360      4.681177      4.258382      4.028484      2.943598
