  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.23793
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612781      0.104050      1.053067      0.848815      0.646954      1.040505
      0.648212      0.108024      1.106134      0.897630      0.693907      1.080236
      0.683643      0.111925      1.159201      0.946446      0.740861      1.119249
      0.719074      0.115759      1.212267      0.995261      0.787815      1.157594
      0.754505      0.119531      1.265334      1.044076      0.834768      1.195314
      0.789936      0.123245      1.318401      1.092891      0.881722      1.232448
      0.825367      0.126903      1.371468      1.141707      0.928676      1.269030
      0.860798      0.130509      1.424535      1.190522      0.975629      1.305093
      0.896229      0.134066      1.477602      1.239337      1.022583      1.340664
      0.931660      0.137577      1.530669      1.288152      1.069537      1.375769
      0.967091      0.141043      1.583735      1.336967      1.116490      1.410432
      1.002522      0.144467      1.636802      1.385783      1.163444      1.444674
      1.037953      0.147851      1.689869      1.434598      1.210398      1.478515
      1.073384      0.151197      1.742936      1.483413      1.257351      1.511973
      1.108815      0.154506      1.796003      1.532228      1.304305      1.545064
      1.144246      0.157781      1.849070      1.581044      1.351259      1.577805
      1.179677      0.161021      1.902137      1.629859      1.398212      1.610210
      1.215108      0.164229      1.955203      1.678674      1.445166      1.642292
      1.250539      0.167406      2.008270      1.727489      1.492120      1.674064
      1.285970      0.170554      2.061337      1.776304      1.539073      1.705537
      1.321401      0.173672      2.114404      1.825120      1.586027      1.736722
      1.356832      0.176763      2.167471      1.873935      1.632981      1.767629
      1.392263      0.179827      2.220538      1.922750      1.679934      1.798269
      1.427694      0.182865      2.273604      1.971565      1.726888      1.828650
      1.463125      0.185878      2.326671      2.020380      1.773842      1.858780
      1.498556      0.188867      2.379738      2.069196      1.820795      1.888669
      1.533987      0.191832      2.432805      2.118011      1.867749      1.918322
      1.569418      0.194775      2.485872      2.166826      1.914703      1.947749
      1.604849      0.197695      2.538939      2.215641      1.961656      1.976954
      1.640280      0.200595      2.592006      2.264457      2.008610      2.005945
      1.675711      0.203473      2.645072      2.313272      2.055564      2.034729
