  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.34828
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      4.085019      0.368556      6.360877      5.774653      5.446138      3.685557
      4.120450      0.370684      6.415028      5.824902      5.495089      3.706837
      4.155881      0.372806      6.469178      5.875151      5.544040      3.728057
      4.191312      0.374922      6.523328      5.925400      5.592991      3.749216
      4.226743      0.377032      6.577479      5.975649      5.641941      3.770315
      4.262174      0.379136      6.631629      6.025898      5.690892      3.791356
      4.297605      0.381234      6.685779      6.076147      5.739843      3.812338
      4.333036      0.383326      6.739929      6.126396      5.788794      3.833263
      4.368467      0.385413      6.794080      6.176645      5.837745      3.854131
      4.403898      0.387494      6.848230      6.226894      5.886696      3.874942
      4.439329      0.389570      6.902380      6.277143      5.935647      3.895698
      4.474760      0.391640      6.956531      6.327392      5.984598      3.916399
      4.510191      0.393705      7.010681      6.377641      6.033549      3.937045
      4.545622      0.395764      7.064831      6.427890      6.082499      3.957637
      4.581053      0.397818      7.118981      6.478139      6.131450      3.978176
      4.616484      0.399866      7.173132      6.528388      6.180401      3.998662
      4.651915      0.401910      7.227282      6.578637      6.229352      4.019095
      4.687346      0.403948      7.281432      6.628886      6.278303      4.039477
      4.722777      0.405981      7.335582      6.679135      6.327254      4.059807
      4.758208      0.408009      7.389733      6.729384      6.376205      4.080087
      4.793639      0.410032      7.443883      6.779633      6.425156      4.100316
      4.829070      0.412050      7.498033      6.829883      6.474107      4.120495
      4.864501      0.414063      7.552184      6.880132      6.523057      4.140626
      4.899932      0.416071      7.606334      6.930381      6.572008      4.160707
      4.935363      0.418074      7.660484      6.980630      6.620959      4.180740
      4.970794      0.420073      7.714634      7.030879      6.669910      4.200725
      5.006225      0.422066      7.768785      7.081128      6.718861      4.220663
      5.041656      0.424055      7.822935      7.131377      6.767812      4.240554
      5.077087      0.426040      7.877085      7.181626      6.816763      4.260398
      5.112518      0.428020      7.931236      7.231875      6.865714      4.280196
      5.147949      0.429995      7.985386      7.282124      6.914665      4.299948
      5.183380      0.431966      8.039536      7.332373      6.963615      4.319656
      5.218811      0.433932      8.093686      7.382622      7.012566      4.339318
      5.254242      0.435894      8.147837      7.432871      7.061517      4.358936
      5.289673      0.437851      8.201987      7.483120      7.110468      4.378510
      5.325104      0.439804      8.256137      7.533369      7.159419      4.398040
      5.360535      0.441753      8.310287      7.583618      7.208370      4.417527
      5.395966      0.443697      8.364438      7.633867      7.257321      4.436971
      5.431397      0.445637      8.418588      7.684116      7.306272      4.456372
      5.466828      0.447573      8.472738      7.734365      7.355223      4.475732
      5.502259      0.449505      8.526889      7.784614      7.404173      4.495049
      5.537690      0.451433      8.581039      7.834863      7.453124      4.514325
      5.573121      0.453356      8.635189      7.885112      7.502075      4.533560
      5.608552      0.455275      8.689339      7.935361      7.551026      4.552755
      5.643983      0.457191      8.743490      7.985610      7.599977      4.571909
      5.679414      0.459102      8.797640      8.035859      7.648928      4.591023
      5.714845      0.461010      8.851790      8.086108      7.697879      4.610097
      5.750276      0.462913      8.905941      8.136357      7.746830      4.629132
      5.785707      0.464813      8.960091      8.186606      7.795780      4.648128
      5.821138      0.466708      9.014241      8.236855      7.844731      4.667085
      5.856569      0.468600      9.068391      8.287104      7.893682      4.686003
      5.892000      0.470488      9.122542      8.337353      7.942633      4.704884
      5.927431      0.472373      9.176692      8.387602      7.991584      4.723727
      5.962862      0.474253      9.230842      8.437851      8.040535      4.742532
      5.998293      0.476130      9.284992      8.488100      8.089486      4.761300
      6.033724      0.478003      9.339143      8.538349      8.138437      4.780031
      6.069155      0.479873      9.393293      8.588598      8.187388      4.798725
      6.104586      0.481738      9.447443      8.638847      8.236338      4.817384
      6.140017      0.483601      9.501594      8.689096      8.285289      4.836006
      6.175448      0.485459      9.555744      8.739345      8.334240      4.854592
      6.210879      0.487314      9.609894      8.789594      8.383191      4.873143
      6.246310      0.489166      9.664044      8.839843      8.432142      4.891658
      6.281741      0.491014      9.718195      8.890092      8.481093      4.910139
      6.317172      0.492858      9.772345      8.940341      8.530044      4.928585
      6.352603      0.494700      9.826495      8.990590      8.578995      4.946996
      6.388034      0.496537      9.880646      9.040839      8.627946      4.965373
      6.423465      0.498372      9.934797      9.091088      8.676896      4.983716
      6.458896      0.500203      9.988948      9.141337      8.725847      5.002026
      6.494327      0.502030     10.043100      9.191586      8.774798      5.020302
      6.529758      0.503855     10.097253      9.241836      8.823749      5.038545
      6.565189      0.505675     10.151406      9.292085      8.872700      5.056755
      6.600620      0.507493     10.205561      9.342334      8.921651      5.074932
      6.636051      0.509308     10.259717      9.392583      8.970602      5.093077
      6.671482      0.511119     10.313874      9.442832      9.019553      5.111189
      6.706913      0.512927     10.368032      9.493081      9.068504      5.129270
      6.742344      0.514732     10.422192      9.543330      9.117454      5.147318
      6.777775      0.516534     10.476354      9.593579      9.166405      5.165335
      6.813206      0.518332     10.530518      9.643828      9.215356      5.183321
      6.848637      0.520128     10.584683      9.694077      9.264307      5.201275
      6.884068      0.521920     10.638851      9.744326      9.313258      5.219199
      6.919499      0.523709     10.693021      9.794575      9.362209      5.237092
      6.954930      0.525495     10.747193      9.844824      9.411160      5.254954
      6.990361      0.527279     10.801368      9.895073      9.460111      5.272786
      7.025792      0.529059     10.855545      9.945322      9.509062      5.290588
      7.061223      0.530836     10.909725      9.995571      9.558012      5.308360
      7.096654      0.532610     10.963907     10.045820      9.606963      5.326102
      7.132085      0.534382     11.018093     10.096069      9.655914      5.343815
      7.167516      0.536150     11.072282     10.146318      9.704865      5.361499
      7.202947      0.537915     11.126473     10.196567      9.753816      5.379153
      7.238378      0.539678     11.180668     10.246816      9.802767      5.396778
      7.273809      0.541438     11.234867     10.297065      9.851718      5.414375
      7.309240      0.543194     11.289068     10.347314      9.900669      5.431943
      7.344671      0.544948     11.343274     10.397563      9.949620      5.449483
      7.380102      0.546699     11.397483     10.447812      9.998570      5.466995
      7.415533      0.548448     11.451695     10.498061     10.047521      5.484478
      7.450964      0.550193     11.505912     10.548310     10.096472      5.501934
      7.486395      0.551936     11.560133     10.598559     10.145423      5.519362
      7.521826      0.553676     11.614357     10.648808     10.194374      5.536763
      7.557257      0.555414     11.668586     10.699057     10.243325      5.554136
      7.592688      0.557148     11.722819     10.749306     10.292276      5.571483
      7.628119      0.558880     11.777057     10.799555     10.341227      5.588802
      7.663550      0.560609     11.831299     10.849804     10.390178      5.606095
      7.698981      0.562336     11.885545     10.900053     10.439128      5.623360
      7.734412      0.564060     11.939797     10.950302     10.488079      5.640600
      7.769843      0.565781     11.994053     11.000551     10.537030      5.657813
      7.805274      0.567500     12.048313     11.050800     10.585981      5.675000
      7.840705      0.569216     12.102579     11.101049     10.634932      5.692161
      7.876136      0.570930     12.156850     11.151298     10.683883      5.709296
      7.911567      0.572641     12.211126     11.201547     10.732834      5.726405
      7.946998      0.574349     12.265407     11.251796     10.781785      5.743489
      7.982429      0.576055     12.319694     11.302045     10.830736      5.760548
      8.017860      0.577758     12.373986     11.352294     10.879686      5.777581
      8.053291      0.579459     12.428283     11.402543     10.928637      5.794590
      8.088722      0.581157     12.482586     11.452792     10.977588      5.811573
      8.124153      0.582853     12.536895     11.503041     11.026539      5.828531
      8.159584      0.584547     12.591209     11.553290     11.075490      5.845465
      8.195015      0.586237     12.645529     11.603539     11.124441      5.862375
      8.230446      0.587926     12.699855     11.653789     11.173392      5.879260
      8.265877      0.589612     12.754187     11.704038     11.222343      5.896121
      8.301308      0.591296     12.808525     11.754287     11.271294      5.912958
      8.336739      0.592977     12.862870     11.804536     11.320244      5.929771
      8.372170      0.594656     12.917220     11.854785     11.369195      5.946560
      8.407601      0.596333     12.971577     11.905034     11.418146      5.963325
      8.443032      0.598007     13.025940     11.955283     11.467097      5.980067
      8.478463      0.599679     13.080310     12.005532     11.516048      5.996785
      8.513894      0.601348     13.134686     12.055781     11.564999      6.013481
      8.549325      0.603015     13.189069     12.106030     11.613950      6.030153
      8.584756      0.604680     13.243458     12.156279     11.662901      6.046802
      8.620187      0.606343     13.297855     12.206528     11.711852      6.063428
      8.655618      0.608003     13.352258     12.256777     11.760802      6.080031
      8.691049      0.609661     13.406668     12.307026     11.809753      6.096612
