  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.12759
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612781      0.104050      1.051983      0.847381      0.644956      1.040505
      0.648212      0.108024      1.103967      0.894763      0.689913      1.080236
      0.683643      0.111925      1.155950      0.942144      0.734869      1.119249
      0.719074      0.115759      1.207934      0.989526      0.779826      1.157594
      0.754505      0.119531      1.259917      1.036907      0.824782      1.195314
      0.789936      0.123245      1.311901      1.084289      0.869739      1.232448
      0.825367      0.126903      1.363884      1.131670      0.914695      1.269030
      0.860798      0.130509      1.415867      1.179051      0.959652      1.305093
      0.896229      0.134066      1.467851      1.226433      1.004608      1.340664
      0.931660      0.137577      1.519834      1.273814      1.049564      1.375769
      0.967091      0.141043      1.571818      1.321196      1.094521      1.410432
      1.002522      0.144467      1.623801      1.368577      1.139477      1.444674
      1.037953      0.147851      1.675785      1.415958      1.184434      1.478515
      1.073384      0.151197      1.727768      1.463340      1.229390      1.511973
      1.108815      0.154506      1.779751      1.510721      1.274347      1.545064
      1.144246      0.157781      1.831735      1.558103      1.319303      1.577805
      1.179677      0.161021      1.883718      1.605484      1.364259      1.610210
      1.215108      0.164229      1.935702      1.652866      1.409216      1.642292
      1.250539      0.167406      1.987685      1.700247      1.454172      1.674064
      1.285970      0.170554      2.039669      1.747628      1.499129      1.705537
      1.321401      0.173672      2.091652      1.795010      1.544085      1.736722
      1.356832      0.176763      2.143635      1.842391      1.589042      1.767629
      1.392263      0.179827      2.195619      1.889773      1.633998      1.798269
      1.427694      0.182865      2.247602      1.937154      1.678955      1.828650
      1.463125      0.185878      2.299586      1.984535      1.723911      1.858780
      1.498556      0.188867      2.351569      2.031917      1.768867      1.888669
      1.533987      0.191832      2.403553      2.079298      1.813824      1.918322
      1.569418      0.194775      2.455536      2.126680      1.858780      1.947749
      1.604849      0.197695      2.507519      2.174061      1.903737      1.976954
      1.640280      0.200595      2.559503      2.221443      1.948693      2.005945
      1.675711      0.203473      2.611486      2.268824      1.993650      2.034729
      1.711142      0.206331      2.663470      2.316205      2.038606      2.063310
      1.746573      0.209169      2.715453      2.363587      2.083563      2.091695
      1.782004      0.211989      2.767437      2.410968      2.128519      2.119888
      1.817435      0.214789      2.819420      2.458350      2.173475      2.147895
      1.852866      0.217572      2.871403      2.505731      2.218432      2.175721
      1.888297      0.220337      2.923387      2.553112      2.263388      2.203369
      1.923728      0.223085      2.975370      2.600494      2.308345      2.230846
      1.959159      0.225815      3.027354      2.647875      2.353301      2.258154
      1.994590      0.228530      3.079337      2.695257      2.398258      2.285298
      2.030021      0.231228      3.131321      2.742638      2.443214      2.312282
      2.065452      0.233911      3.183304      2.790020      2.488171      2.339109
      2.100883      0.236578      3.235287      2.837401      2.533127      2.365784
      2.136314      0.239231      3.287271      2.884782      2.578083      2.392308
      2.171745      0.241869      3.339254      2.932164      2.623040      2.418687
      2.207176      0.244492      3.391238      2.979545      2.667996      2.444922
      2.242607      0.247102      3.443221      3.026927      2.712953      2.471018
      2.278038      0.249698      3.495205      3.074308      2.757909      2.496976
