  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.29310
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.310332      1.513367      1.953463      1.000000
      0.612781      0.104050      1.319983      1.512587      1.919904      1.040505
      0.648212      0.108024      1.328699      1.511894      1.890970      1.080236
      0.683643      0.111925      1.336610      1.511273      1.865766      1.119249
      0.719074      0.115759      1.343822      1.510713      1.843615      1.157594
      0.754505      0.119531      1.350425      1.510207      1.823994      1.195314
      0.789936      0.123245      1.356492      1.509746      1.806493      1.232448
      0.825367      0.126903      1.362086      1.509325      1.790785      1.269030
      0.860798      0.130509      1.367260      1.508939      1.776609      1.305093
      0.896229      0.134066      1.372060      1.508584      1.763751      1.340664
      0.931660      0.137577      1.376525      1.508255      1.752035      1.375769
      0.967091      0.141043      1.380689      1.507951      1.741316      1.410432
      1.002522      0.144467      1.384581      1.507669      1.731471      1.444674
      1.037953      0.147851      1.388228      1.507406      1.722399      1.478515
      1.073384      0.151197      1.391651      1.507160      1.714010      1.511973
      1.108815      0.154506      1.394870      1.506930      1.706231      1.545064
      1.144246      0.157781      1.397904      1.506715      1.698998      1.577805
      1.179677      0.161021      1.400767      1.506512      1.692256      1.610210
      1.215108      0.164229      1.403475      1.506322      1.685955      1.642292
      1.250539      0.167406      1.406038      1.506142      1.680054      1.674064
      1.285970      0.170554      1.408469      1.505972      1.674516      1.705537
      1.321401      0.173672      1.410777      1.505811      1.669308      1.736722
      1.356832      0.176763      1.412972      1.505659      1.664402      1.767629
      1.392263      0.179827      1.415061      1.505514      1.659773      1.798269
      1.427694      0.182865      1.417053      1.505377      1.655397      1.828650
      1.463125      0.185878      1.418953      1.505246      1.651255      1.858780
      1.498556      0.188867      1.420768      1.505122      1.647327      1.888669
      1.533987      0.191832      1.422503      1.505003      1.643599      1.918322
      1.569418      0.194775      1.424164      1.504890      1.640054      1.947749
      1.604849      0.197695      1.425756      1.504781      1.636680      1.976954
      1.640280      0.200595      1.427282      1.504678      1.633465      2.005945
      1.675711      0.203473      1.428746      1.504579      1.630398      2.034729
      1.711142      0.206331      1.430153      1.504484      1.627468      2.063310
      1.746573      0.209169      1.431505      1.504392      1.624668      2.091695
      1.782004      0.211989      1.432806      1.504305      1.621987      2.119888
      1.817435      0.214789      1.434058      1.504221      1.619420      2.147895
      1.852866      0.217572      1.435265      1.504140      1.616958      2.175721
      1.888297      0.220337      1.436428      1.504062      1.614596      2.203369
      1.923728      0.223085      1.437550      1.503987      1.612327      2.230846
      1.959159      0.225815      1.438633      1.503914      1.610147      2.258154
      1.994590      0.228530      1.439680      1.503845      1.608049      2.285298
      2.030021      0.231228      1.440691      1.503777      1.606030      2.312282
      2.065452      0.233911      1.441669      1.503713      1.604085      2.339109
      2.100883      0.236578      1.442615      1.503650      1.602210      2.365784
      2.136314      0.239231      1.443531      1.503589      1.600401      2.392308
      2.171745      0.241869      1.444418      1.503530      1.598656      2.418687
      2.207176      0.244492      1.445278      1.503474      1.596970      2.444922
      2.242607      0.247102      1.446111      1.503419      1.595340      2.471018
      2.278038      0.249698      1.446920      1.503365      1.593765      2.496976
      2.313469      0.252280      1.447704      1.503314      1.592240      2.522800
      2.348900      0.254849      1.448466      1.503264      1.590765      2.548493
      2.384331      0.257406      1.449206      1.503215      1.589336      2.574057
      2.419762      0.259949      1.449925      1.503168      1.587951      2.599494
      2.455193      0.262481      1.450623      1.503122      1.586608      2.624808
      2.490624      0.265000      1.451303      1.503077      1.585306      2.650000
      2.526055      0.267507      1.451964      1.503034      1.584043      2.675073
      2.561486      0.270003      1.452608      1.502992      1.582816      2.700029
      2.596917      0.272487      1.453234      1.502951      1.581625      2.724870
      2.632348      0.274960      1.453844      1.502911      1.580467      2.749599
      2.667779      0.277422      1.454439      1.502873      1.579342      2.774216
