  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.21034
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.290471      1.480511      1.892441      1.000000
      0.612781      0.104050      1.300979      1.481624      1.864241      1.040505
      0.648212      0.108024      1.310483      1.482617      1.839821      1.080236
      0.683643      0.111925      1.319120      1.483508      1.818470      1.119249
      0.719074      0.115759      1.327005      1.484312      1.799643      1.157594
      0.754505      0.119531      1.334231      1.485041      1.782918      1.195314
      0.789936      0.123245      1.340877      1.485706      1.767962      1.232448
      0.825367      0.126903      1.347011      1.486314      1.754507      1.269030
      0.860798      0.130509      1.352690      1.486872      1.742339      1.305093
      0.896229      0.134066      1.357962      1.487387      1.731281      1.340664
      0.931660      0.137577      1.362870      1.487863      1.721189      1.375769
      0.967091      0.141043      1.367450      1.488304      1.711940      1.410432
      1.002522      0.144467      1.371734      1.488714      1.703434      1.444674
      1.037953      0.147851      1.375750      1.489097      1.695584      1.478515
      1.073384      0.151197      1.379522      1.489454      1.688318      1.511973
      1.108815      0.154506      1.383071      1.489789      1.681572      1.545064
      1.144246      0.157781      1.386418      1.490103      1.675292      1.577805
      1.179677      0.161021      1.389578      1.490398      1.669433      1.610210
      1.215108      0.164229      1.392567      1.490676      1.663952      1.642292
      1.250539      0.167406      1.395399      1.490939      1.658815      1.674064
      1.285970      0.170554      1.398085      1.491187      1.653990      1.705537
      1.321401      0.173672      1.400637      1.491422      1.649450      1.736722
      1.356832      0.176763      1.403064      1.491645      1.645170      1.767629
      1.392263      0.179827      1.405375      1.491856      1.641128      1.798269
      1.427694      0.182865      1.407579      1.492057      1.637305      1.828650
      1.463125      0.185878      1.409682      1.492249      1.633684      1.858780
      1.498556      0.188867      1.411692      1.492431      1.630248      1.888669
      1.533987      0.191832      1.413614      1.492605      1.626985      1.918322
      1.569418      0.194775      1.415454      1.492771      1.623882      1.947749
      1.604849      0.197695      1.417218      1.492930      1.620926      1.976954
      1.640280      0.200595      1.418909      1.493082      1.618109      2.005945
      1.675711      0.203473      1.420533      1.493228      1.615419      2.034729
      1.711142      0.206331      1.422093      1.493367      1.612849      2.063310
      1.746573      0.209169      1.423593      1.493501      1.610392      2.091695
      1.782004      0.211989      1.425036      1.493630      1.608039      2.119888
      1.817435      0.214789      1.426426      1.493754      1.605784      2.147895
      1.852866      0.217572      1.427765      1.493873      1.603621      2.175721
      1.888297      0.220337      1.429056      1.493987      1.601546      2.203369
      1.923728      0.223085      1.430302      1.494097      1.599551      2.230846
      1.959159      0.225815      1.431505      1.494204      1.597634      2.258154
      1.994590      0.228530      1.432667      1.494306      1.595789      2.285298
      2.030021      0.231228      1.433790      1.494405      1.594012      2.312282
      2.065452      0.233911      1.434877      1.494501      1.592300      2.339109
      2.100883      0.236578      1.435928      1.494593      1.590649      2.365784
      2.136314      0.239231      1.436946      1.494683      1.589057      2.392308
      2.171745      0.241869      1.437932      1.494769      1.587519      2.418687
      2.207176      0.244492      1.438888      1.494853      1.586033      2.444922
      2.242607      0.247102      1.439815      1.494934      1.584598      2.471018
      2.278038      0.249698      1.440714      1.495012      1.583209      2.496976
      2.313469      0.252280      1.441587      1.495088      1.581865      2.522800
      2.348900      0.254849      1.442434      1.495162      1.580564      2.548493
