  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.10000
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.263989      1.436704      1.811079      1.000000
      0.612781      0.104050      1.275594      1.440218      1.789620      1.040505
      0.648212      0.108024      1.286111      1.443362      1.770930      1.080236
      0.683643      0.111925      1.295686      1.446192      1.754506      1.119249
      0.719074      0.115759      1.304441      1.448753      1.739960      1.157594
      0.754505      0.119531      1.312476      1.451081      1.726986      1.195314
      0.789936      0.123245      1.319877      1.453207      1.715344      1.232448
      0.825367      0.126903      1.326716      1.455155      1.704837      1.269030
      0.860798      0.130509      1.333055      1.456948      1.695308      1.305093
      0.896229      0.134066      1.338946      1.458603      1.686626      1.340664
      0.931660      0.137577      1.344436      1.460136      1.678683      1.375769
      0.967091      0.141043      1.349563      1.461559      1.671389      1.410432
      1.002522      0.144467      1.354364      1.462884      1.664667      1.444674
      1.037953      0.147851      1.358868      1.464120      1.658452      1.478515
      1.073384      0.151197      1.363101      1.465277      1.652689      1.511973
      1.108815      0.154506      1.367088      1.466362      1.647331      1.545064
      1.144246      0.157781      1.370849      1.467381      1.642336      1.577805
      1.179677      0.161021      1.374403      1.468340      1.637669      1.610210
      1.215108      0.164229      1.377767      1.469244      1.633298      1.642292
      1.250539      0.167406      1.380955      1.470098      1.629196      1.674064
      1.285970      0.170554      1.383982      1.470906      1.625339      1.705537
      1.321401      0.173672      1.386858      1.471671      1.621706      1.736722
      1.356832      0.176763      1.389595      1.472398      1.618277      1.767629
      1.392263      0.179827      1.392202      1.473087      1.615036      1.798269
      1.427694      0.182865      1.394690      1.473744      1.611968      1.828650
      1.463125      0.185878      1.397065      1.474369      1.609060      1.858780
      1.498556      0.188867      1.399335      1.474964      1.606298      1.888669
      1.533987      0.191832      1.401508      1.475533      1.603673      1.918322
      1.569418      0.194775      1.403589      1.476077      1.601175      1.947749
      1.604849      0.197695      1.405583      1.476597      1.598794      1.976954
      1.640280      0.200595      1.407497      1.477095      1.596523      2.005945
      1.675711      0.203473      1.409334      1.477572      1.594354      2.034729
      1.711142      0.206331      1.411100      1.478029      1.592280      2.063310
      1.746573      0.209169      1.412799      1.478469      1.590295      2.091695
      1.782004      0.211989      1.414434      1.478891      1.588394      2.119888
      1.817435      0.214789      1.416009      1.479296      1.586571      2.147895
